TP_Pct,SL_Pct,Cooldown_Mins,Trades,Win_Rate,Net_PnL,Max_DD,Gross_PnL,Costs,Avg_Win,Avg_Loss,TP_Hits,SL_Hits,EOD_Hits
50.0,20.0,30,20,45.0,28381.70000000001,-10766.599999999995,32381.70000000001,-4000,7329.111111111111,-3052.7545454545443,7,10,3
50.0,30.0,30,20,50.0,27746.975,-13846.950000000004,31746.975,-4000,7162.675,-3987.9775,8,6,6
50.0,15.0,30,20,40.0,24377.5375,-15379.162499999999,28377.5375,-4000,7115.875,-2379.1218750000003,6,12,2
50.0,20.0,15,22,40.909090909090914,22603.60000000002,-12539.14999999999,27003.60000000002,-4400,7329.111111111111,-2996.799999999999,7,11,4
50.0,25.0,30,20,45.0,21799.3125,-11938.875,25799.3125,-4000,7329.111111111111,-3651.153409090909,7,9,4
50.0,20.0,60,18,44.44444444444444,20656.70000000001,-10766.599999999995,24256.70000000001,-3600,6846.125,-3051.229999999999,6,9,3
50.0,15.0,15,22,36.36363636363637,19708.3375,-19126.7375,24108.3375,-4400,7115.875,-2344.190178571429,6,13,3
50.0,30.0,60,18,50.0,19397.975,-15351.375,22997.975,-3600,6714.861111111111,-4159.530555555556,7,6,5
50.0,30.0,15,22,45.45454545454545,17593.074999999997,-14789.45,21993.074999999997,-4400,7162.675,-4136.139583333334,8,8,6
50.0,20.0,45,19,42.10526315789473,17505.70000000001,-10766.599999999995,21305.70000000001,-3800,6846.125,-3042.118181818181,6,10,3
50.0,30.0,45,19,47.368421052631575,17338.975,-15351.375,21138.975,-3800,6714.861111111111,-3929.4775,7,6,6
40.0,20.0,30,20,45.0,16967.699999999997,-10766.599999999995,20967.699999999997,-4000,6060.888888888888,-3052.7545454545443,8,10,2
50.0,15.0,60,18,38.88888888888889,15885.537499999995,-15379.162499999999,19485.537499999995,-3600,6533.428571428572,-2386.2238636363636,5,11,2
40.0,30.0,30,20,50.0,15200.024999999983,-13846.95,19200.024999999983,-4000,5907.98,-3987.9775,9,6,5
50.0,25.0,15,22,40.909090909090914,14912.312500000007,-16177.6875,19312.312500000007,-4400,7329.111111111111,-3588.4374999999995,7,10,5
50.0,25.0,60,18,44.44444444444444,14841.312500000007,-11938.875,18441.312500000007,-3600,6846.125,-3632.76875,6,8,4
40.0,15.0,30,20,40.0,14770.537499999984,-15379.162499999999,18770.537499999984,-4000,5914.999999999998,-2379.1218750000003,7,12,1
30.0,20.0,30,20,50.0,14185.375000000018,-8210.799999999997,18185.37500000002,-4000,4808.407500000001,-2989.869999999999,10,9,1
50.0,15.0,45,19,36.84210526315789,13472.287499999999,-15379.162499999999,17272.2875,-3800,6533.428571428572,-2371.8093750000003,5,12,2
30.0,30.0,30,20,55.00000000000001,13125.550000000003,-10957.050000000003,17125.550000000003,-4000,4680.265909090911,-3817.4861111111113,11,5,4
30.0,15.0,30,20,45.0,12874.8125,-10267.237500000007,16874.8125,-4000,4740.341666666668,-2344.3875000000003,9,11,0
50.0,25.0,45,19,42.10526315789473,12782.3125,-11938.875,16582.3125,-3800,6846.125,-3471.5170454545455,6,8,5
