entry_time,exit_time,direction,leg,strike,expiry,dte,entry_premium,exit_premium,exit_reason,lots,pnl_rs,score
2025-06-09 09:30:00+05:30,2025-06-09 15:25:00+05:30,long,CE,25100,2025-06-12,3,150.05,139.25,eod,2,-1404.0000000000014,5.0
2025-06-09 10:10:00+05:30,2025-06-09 15:25:00+05:30,long,CE,25100,2025-06-12,3,159.75,139.25,eod,1,-1332.5,4.0
2025-06-10 10:15:00+05:30,2025-06-10 15:05:00+05:30,short,PE,25150,2025-06-12,2,103.7,134.81,tp,2,4044.2999999999997,4.0
2025-06-10 11:00:00+05:30,2025-06-10 12:58:00+05:30,short,PE,25100,2025-06-12,2,96.35,67.445,sl,3,-5636.475,4.0
2025-06-13 14:25:00+05:30,2025-06-13 15:25:00+05:30,long,CE,24700,2025-06-19,6,175.45,180.15,eod,1,305.50000000000114,4.0
2025-06-16 09:40:00+05:30,2025-06-16 10:30:00+05:30,long,CE,24750,2025-06-19,3,156.45,203.385,tp,1,3050.775,4.0
2025-06-16 10:15:00+05:30,2025-06-16 10:28:00+05:30,long,CE,24800,2025-06-19,3,130.2,169.26,tp,2,5077.8,4.0
2025-06-16 10:50:00+05:30,2025-06-16 12:34:00+05:30,long,CE,24850,2025-06-19,3,165.6,215.28,tp,1,3229.2000000000003,4.0
2025-06-16 11:20:00+05:30,2025-06-16 15:25:00+05:30,long,CE,24900,2025-06-19,3,160.75,168.0,eod,1,471.25,5.0
2025-06-17 09:30:00+05:30,2025-06-17 12:44:00+05:30,long,CE,24900,2025-06-19,2,107.4,75.17999999999999,sl,2,-4188.600000000001,4.0
2025-06-17 10:30:00+05:30,2025-06-17 15:25:00+05:30,long,CE,24900,2025-06-19,2,92.3,75.75,eod,3,-3227.249999999999,4.0
2025-06-17 11:15:00+05:30,2025-06-17 15:25:00+05:30,long,CE,24850,2025-06-19,2,119.25,99.2,eod,2,-2606.4999999999995,5.0
2025-06-17 11:45:00+05:30,2025-06-17 12:53:00+05:30,long,CE,24900,2025-06-19,2,97.0,67.89999999999999,sl,3,-5674.500000000002,5.0
2025-06-20 09:30:00+05:30,2025-06-20 10:15:00+05:30,short,PE,24850,2025-06-26,6,157.9,110.53,sl,1,-3079.05,4.0
2025-06-20 10:00:00+05:30,2025-06-20 10:27:00+05:30,short,PE,24900,2025-06-26,6,159.95,111.96499999999999,sl,1,-3119.025,4.0
2025-06-23 12:05:00+05:30,2025-06-23 13:20:00+05:30,long,CE,24950,2025-06-26,3,132.75,172.57500000000002,tp,2,5177.250000000002,4.0
2025-06-23 13:10:00+05:30,2025-06-23 13:21:00+05:30,long,CE,24950,2025-06-26,3,146.25,190.125,tp,2,5703.75,4.0
2025-06-24 09:45:00+05:30,2025-06-24 09:48:00+05:30,short,PE,25150,2025-06-26,2,104.7,136.11,tp,2,4083.3000000000015,4.0
2025-06-27 09:30:00+05:30,2025-06-27 12:41:00+05:30,long,CE,25550,2025-07-03,6,171.15,222.495,tp,1,3337.4249999999997,4.0
2025-06-27 11:35:00+05:30,2025-06-27 15:25:00+05:30,long,CE,25600,2025-07-03,6,162.35,173.35,eod,1,715.0,4.0
2025-06-30 13:00:00+05:30,2025-06-30 15:25:00+05:30,long,CE,25500,2025-07-03,3,144.35,141.05,eod,2,-428.9999999999978,4.0
2025-07-01 10:05:00+05:30,2025-07-01 15:25:00+05:30,long,CE,25550,2025-07-03,2,119.85,94.85,eod,2,-3250.0,4.0
2025-07-07 09:40:00+05:30,2025-07-07 15:25:00+05:30,long,CE,25450,2025-07-10,3,139.05,126.05,eod,2,-1690.0000000000018,4.0
2025-07-08 10:00:00+05:30,2025-07-08 15:05:00+05:30,long,CE,25450,2025-07-10,2,104.35,135.655,tp,2,4069.650000000001,4.0
2025-07-08 10:30:00+05:30,2025-07-08 15:01:00+05:30,long,CE,25450,2025-07-10,2,98.9,128.57000000000002,tp,3,5785.650000000003,4.0
2025-07-08 12:15:00+05:30,2025-07-08 15:01:00+05:30,long,CE,25450,2025-07-10,2,99.2,128.96,tp,3,5803.200000000001,4.0
2025-07-15 10:25:00+05:30,2025-07-15 10:42:00+05:30,long,CE,25150,2025-07-17,2,73.1,95.03,tp,4,5701.800000000002,4.0
2025-07-15 11:20:00+05:30,2025-07-15 13:31:00+05:30,long,CE,25200,2025-07-17,2,106.65,74.655,sl,2,-4159.35,4.0
2025-07-15 12:05:00+05:30,2025-07-15 14:07:00+05:30,long,CE,25200,2025-07-17,2,97.95,68.565,sl,3,-5730.075000000001,4.0
2025-07-18 10:40:00+05:30,2025-07-18 14:34:00+05:30,short,PE,24950,2025-07-24,6,125.2,87.64,sl,2,-4882.8,4.0
2025-07-18 11:30:00+05:30,2025-07-18 15:25:00+05:30,short,PE,24950,2025-07-24,6,109.3,95.65,eod,2,-1774.4999999999989,4.0
2025-07-21 09:35:00+05:30,2025-07-21 09:47:00+05:30,long,CE,24900,2025-07-24,3,116.1,150.93,tp,2,4527.9000000000015,4.0
2025-07-21 10:25:00+05:30,2025-07-21 13:58:00+05:30,long,CE,25050,2025-07-24,3,122.7,85.89,sl,2,-4785.3,4.0
2025-07-21 11:30:00+05:30,2025-07-21 13:58:00+05:30,long,CE,25050,2025-07-24,3,121.15,84.80499999999999,sl,2,-4724.850000000001,4.0
2025-07-21 13:55:00+05:30,2025-07-21 15:05:00+05:30,long,CE,25000,2025-07-24,3,125.4,163.02,tp,2,4890.6,4.0
2025-07-22 09:30:00+05:30,2025-07-22 11:06:00+05:30,long,CE,25100,2025-07-24,2,98.95,69.265,sl,3,-5788.575000000001,5.0
2025-07-22 10:00:00+05:30,2025-07-22 11:51:00+05:30,long,CE,25100,2025-07-24,2,86.05,60.23499999999999,sl,3,-5033.925000000001,4.0
2025-07-22 12:55:00+05:30,2025-07-22 14:38:00+05:30,long,CE,25100,2025-07-24,2,80.4,56.28,sl,3,-4703.400000000001,4.0
2025-07-25 09:30:00+05:30,2025-07-25 09:44:00+05:30,short,PE,24950,2025-07-31,6,100.5,130.65,tp,3,5879.250000000002,4.0
2025-07-25 10:50:00+05:30,2025-07-25 15:25:00+05:30,short,PE,24850,2025-07-31,6,111.05,119.05,eod,2,1040.0,4.0
2025-07-28 13:10:00+05:30,2025-07-28 13:32:00+05:30,short,PE,24700,2025-07-31,3,90.0,117.0,tp,3,5265.0,4.0
2025-07-28 13:45:00+05:30,2025-07-28 15:25:00+05:30,short,PE,24700,2025-07-31,3,118.5,101.2,eod,2,-2248.9999999999995,4.0
2025-07-29 11:20:00+05:30,2025-07-29 13:08:00+05:30,short,PE,24700,2025-07-31,2,91.75,64.225,sl,3,-5367.375000000002,4.0
2025-08-01 10:00:00+05:30,2025-08-01 15:05:00+05:30,short,PE,24750,2025-08-07,6,174.3,226.59000000000003,tp,1,3398.8500000000013,4.0
2025-08-01 11:50:00+05:30,2025-08-01 15:08:00+05:30,short,PE,24650,2025-08-07,6,138.0,179.4,tp,2,5382.000000000001,4.0
2025-08-04 09:30:00+05:30,2025-08-04 09:44:00+05:30,short,PE,24650,2025-08-07,3,119.15,154.895,tp,2,4646.85,4.0
2025-08-04 12:40:00+05:30,2025-08-04 15:25:00+05:30,short,PE,24700,2025-08-07,3,117.0,98.1,eod,2,-2457.000000000001,4.0
2025-08-05 11:15:00+05:30,2025-08-05 15:25:00+05:30,long,CE,24650,2025-08-07,2,94.0,92.75,eod,3,-243.75,4.0
2025-08-05 12:10:00+05:30,2025-08-05 13:31:00+05:30,long,CE,24650,2025-08-07,2,97.75,68.425,sl,3,-5718.375000000001,4.0
2025-08-05 12:40:00+05:30,2025-08-05 14:08:00+05:30,long,CE,24650,2025-08-07,2,94.6,66.22,sl,3,-5534.099999999999,4.0
2025-08-05 13:10:00+05:30,2025-08-05 15:25:00+05:30,long,CE,24650,2025-08-07,2,85.65,92.75,eod,3,1384.499999999999,4.0
2025-08-08 09:30:00+05:30,2025-08-08 12:02:00+05:30,long,CE,24500,2025-08-14,6,155.4,108.78,sl,1,-3030.3,4.0
2025-08-08 10:00:00+05:30,2025-08-08 15:12:00+05:30,long,CE,24450,2025-08-14,6,159.6,111.71999999999998,sl,1,-3112.2000000000007,4.0
2025-08-12 10:45:00+05:30,2025-08-12 12:21:00+05:30,short,PE,24600,2025-08-14,2,106.25,74.375,sl,2,-4143.75,4.0
2025-08-12 13:15:00+05:30,2025-08-12 14:33:00+05:30,long,CE,24600,2025-08-14,2,82.2,57.54,sl,3,-4808.700000000001,4.0
2025-08-18 13:25:00+05:30,2025-08-18 15:25:00+05:30,long,CE,24950,2025-08-21,3,119.1,102.1,eod,2,-2210.0,4.0
2025-08-18 13:55:00+05:30,2025-08-18 15:25:00+05:30,long,CE,24900,2025-08-21,3,146.85,128.4,eod,2,-2398.4999999999986,4.0
2025-08-22 09:30:00+05:30,2025-08-22 10:41:00+05:30,short,PE,24950,2025-08-28,6,96.95,126.03500000000001,tp,3,5671.575000000002,4.0
2025-08-22 10:00:00+05:30,2025-08-22 14:33:00+05:30,short,PE,24950,2025-08-28,6,108.15,140.595,tp,2,4217.849999999999,4.0
2025-08-22 11:55:00+05:30,2025-08-22 14:33:00+05:30,short,PE,24950,2025-08-28,6,109.35,142.155,tp,2,4264.650000000001,4.0
2025-08-25 09:30:00+05:30,2025-08-25 12:10:00+05:30,short,PE,24950,2025-08-28,3,84.45,59.114999999999995,sl,3,-4940.325000000002,4.0
2025-08-25 10:50:00+05:30,2025-08-25 12:19:00+05:30,short,PE,24950,2025-08-28,3,79.75,55.824999999999996,sl,3,-4665.375000000001,4.0
2025-08-25 13:15:00+05:30,2025-08-25 15:25:00+05:30,short,PE,25000,2025-08-28,3,71.85,79.0,eod,4,1859.0000000000014,4.0
2025-08-26 09:40:00+05:30,2025-08-26 10:22:00+05:30,short,PE,24750,2025-08-28,2,64.7,45.29,sl,4,-5046.600000000001,4.0
