thr,tp%,sl%,sl_mode,n_trades,win_pct,pf,total_pts,max_dd_pts,net_annual_inr,return_pct
4.0,0.6,0.3,fixed,72,50.0,1.22,420.3,-576.5,54173.0,54.2
4.0,0.9,0.3,fixed,72,48.6,1.2,395.5,-576.5,47400.0,47.4
4.0,0.45,0.3,fixed,72,50.0,1.18,347.0,-576.5,34198.0,34.2
4.0,0.6,0.3,struct+0.20buf,72,51.4,1.17,339.2,-635.9,32061.0,32.1
4.0,0.6,0.3,struct+0.10buf,72,45.8,1.17,318.4,-641.2,26389.0,26.4
4.0,0.9,0.3,struct+0.20buf,72,50.0,1.15,314.3,-722.5,25288.0,25.3
4.0,0.9,0.3,struct+0.10buf,72,44.4,1.15,280.0,-741.2,15937.0,15.9
4.0,0.45,0.3,struct+0.20buf,72,51.4,1.13,265.9,-636.2,12086.0,12.1
4.0,0.45,0.3,struct+0.10buf,72,45.8,1.13,237.1,-641.2,4247.0,4.2
4.0,0.3,0.3,fixed,72,51.4,1.1,179.8,-576.5,-11366.0,-11.4
6.0,0.45,0.3,struct+0.10buf,1,0.0,0.0,-65.5,0.0,-18692.0,-18.7
6.0,0.6,0.3,struct+0.10buf,1,0.0,0.0,-65.5,0.0,-18692.0,-18.7
6.0,0.9,0.3,struct+0.10buf,1,0.0,0.0,-65.5,0.0,-18692.0,-18.7
6.0,0.3,0.3,struct+0.10buf,1,0.0,0.0,-65.5,0.0,-18692.0,-18.7
6.0,0.9,0.3,fixed,1,0.0,0.0,-74.6,0.0,-21161.0,-21.2
6.0,0.45,0.3,fixed,1,0.0,0.0,-74.6,0.0,-21161.0,-21.2
6.0,0.3,0.3,fixed,1,0.0,0.0,-74.6,0.0,-21161.0,-21.2
6.0,0.6,0.3,fixed,1,0.0,0.0,-74.6,0.0,-21161.0,-21.2
4.0,0.3,0.3,struct+0.20buf,72,52.8,1.07,134.9,-674.5,-23606.0,-23.6
6.0,0.3,0.3,struct+0.20buf,1,0.0,0.0,-90.4,0.0,-25466.0,-25.5
6.0,0.6,0.3,struct+0.20buf,1,0.0,0.0,-90.4,0.0,-25466.0,-25.5
6.0,0.45,0.3,struct+0.20buf,1,0.0,0.0,-90.4,0.0,-25466.0,-25.5
6.0,0.9,0.3,struct+0.20buf,1,0.0,0.0,-90.4,0.0,-25466.0,-25.5
5.0,0.9,0.3,struct+0.10buf,14,28.6,0.86,-64.4,-444.5,-29300.0,-29.3
4.0,0.3,0.3,struct+0.10buf,73,46.6,1.06,103.7,-641.2,-32967.0,-33.0
5.0,0.9,0.3,fixed,14,35.7,0.8,-109.0,-509.5,-41446.0,-41.4
5.0,0.6,0.3,struct+0.10buf,14,28.6,0.71,-138.6,-444.5,-49507.0,-49.5
5.0,0.45,0.3,struct+0.10buf,14,28.6,0.63,-175.0,-444.5,-59443.0,-59.4
5.0,0.6,0.3,fixed,14,35.7,0.66,-183.1,-509.5,-61653.0,-61.7
5.0,0.9,0.3,struct+0.20buf,14,35.7,0.69,-187.7,-588.2,-62899.0,-62.9
5.0,0.45,0.3,fixed,14,35.7,0.59,-219.6,-509.5,-71589.0,-71.6
5.0,0.3,0.3,struct+0.10buf,14,28.6,0.5,-240.0,-444.5,-77149.0,-77.1
5.0,0.6,0.3,struct+0.20buf,14,35.7,0.57,-261.8,-588.2,-83106.0,-83.1
5.0,0.3,0.3,fixed,14,35.7,0.47,-284.5,-509.5,-89295.0,-89.3
5.0,0.45,0.3,struct+0.20buf,14,35.7,0.51,-298.3,-588.2,-93042.0,-93.0
5.0,0.3,0.3,struct+0.20buf,14,35.7,0.41,-363.3,-588.2,-110748.0,-110.7
