entry_time,exit_time,direction,entry_price,exit_price,exit_reason,points,pnl_pct,score,pillars_fired
2025-06-09 09:30:00+05:30,2025-06-09 15:25:00+05:30,long,25091.45,25103.1,eod,11.649999999997817,0.04643015848027044,5.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-10 10:15:00+05:30,2025-06-10 15:25:00+05:30,short,25158.8,25091.5,eod,67.29999999999927,0.2675008346979954,4.0,"['sr_alignment', 'fib_alignment', 'multi_tf_confluence']"
2025-06-10 11:00:00+05:30,2025-06-10 15:25:00+05:30,short,25116.8,25091.5,eod,25.299999999999272,0.10072939227926835,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-11 09:30:00+05:30,2025-06-11 12:20:00+05:30,short,25141.85,25217.275549999995,sl,-75.42554999999629,-0.2999999999999853,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-06-11 13:50:00+05:30,2025-06-11 15:25:00+05:30,long,25108.85,25126.8,eod,17.950000000000728,0.07148873803460026,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-06-12 10:15:00+05:30,2025-06-12 12:00:00+05:30,short,25090.7,25015.427900000002,tp,75.27209999999832,0.29999999999999327,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-16 09:45:00+05:30,2025-06-16 10:15:00+05:30,long,24713.25,24787.38975,tp,74.13974999999846,0.29999999999999377,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-16 10:40:00+05:30,2025-06-16 12:35:00+05:30,long,24869.7,24944.3091,tp,74.60909999999785,0.2999999999999914,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-16 11:15:00+05:30,2025-06-16 15:25:00+05:30,long,24905.85,24940.95,eod,35.10000000000218,0.14093074518638063,4.0,"['volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-17 11:15:00+05:30,2025-06-17 15:25:00+05:30,long,24870.55,24841.5,eod,-29.049999999999272,-0.11680481533379548,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-17 11:45:00+05:30,2025-06-17 15:25:00+05:30,long,24885.9,24841.5,eod,-44.400000000001455,-0.17841428278664406,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-18 10:20:00+05:30,2025-06-18 11:30:00+05:30,long,24878.7,24804.0639,sl,-74.63609999999971,-0.2999999999999988,5.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-19 12:05:00+05:30,2025-06-19 15:25:00+05:30,short,24815.9,24744.7,eod,71.20000000000073,0.2869128260510428,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-19 14:00:00+05:30,2025-06-19 15:25:00+05:30,short,24827.3,24744.7,eod,82.59999999999854,0.3326982797162742,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-20 09:30:00+05:30,2025-06-20 10:10:00+05:30,short,24832.0,24906.495999999996,sl,-74.49599999999555,-0.29999999999998206,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-06-20 10:00:00+05:30,2025-06-20 10:15:00+05:30,short,24876.6,24951.229799999997,sl,-74.6297999999988,-0.2999999999999952,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'multi_tf_confluence']"
2025-06-23 13:30:00+05:30,2025-06-23 15:25:00+05:30,long,25031.15,24958.9,eod,-72.25,-0.288640354118768,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
