expiry,actual_winner,spot_1450,spot_1525,s1_mom30,s2_mom60,s3_dayopen,s4_vwap,s5_oi_pcr,s6_prem_pcr
10_OCT_24,PE,25008.45,25011.35,PE,PE,PE,PE,CE,PE
17_OCT_24,CE,24743.0,24751.65,CE,PE,PE,PE,PE,CE
24_OCT_24,CE,24397.45,24406.9,CE,PE,PE,PE,PE,CE
31_OCT_24,CE,24207.6,24210.1,CE,PE,PE,PE,PE,PE
07_NOV_24,CE,24184.6,24209.6,PE,PE,PE,PE,PE,CE
21_NOV_24,CE,23335.85,23356.1,PE,PE,PE,PE,PE,CE
28_NOV_24,PE,23926.05,23956.65,CE,PE,PE,PE,PE,CE
12_DEC_24,PE,24548.05,24559.5,PE,PE,PE,PE,CE,PE
02_SEP_25,PE,24595.75,24576.4,CE,PE,PE,PE,PE,CE
09_SEP_25,CE,24860.85,24879.15,PE,PE,PE,CE,PE,PE
16_SEP_25,CE,25197.45,25251.75,CE,CE,CE,CE,CE,PE
23_SEP_25,PE,25200.1,25170.15,PE,PE,PE,CE,PE,PE
30_SEP_25,PE,24620.65,24617.5,CE,PE,PE,PE,PE,PE
07_OCT_25,PE,25159.05,25107.9,PE,PE,CE,PE,,PE
14_OCT_25,PE,25165.8,25126.95,CE,CE,PE,CE,CE,PE
28_OCT_25,CE,25816.1,25961.35,PE,PE,PE,PE,CE,PE
04_NOV_25,PE,25592.2,25600.3,PE,PE,PE,PE,PE,PE
11_NOV_25,CE,25678.0,25708.65,PE,CE,CE,CE,PE,CE
18_NOV_25,PE,25951.35,25894.05,PE,PE,CE,CE,PE,CE
25_NOV_25,PE,25951.7,25871.3,PE,PE,CE,PE,PE,CE
02_DEC_25,CE,26018.05,26055.0,PE,PE,PE,PE,PE,PE
09_DEC_25,CE,25823.4,25835.25,PE,PE,PE,PE,PE,PE
16_DEC_25,PE,25872.35,25854.2,CE,PE,PE,PE,PE,PE
23_DEC_25,CE,26169.4,26170.85,PE,PE,CE,PE,PE,PE
30_DEC_25,PE,25951.85,25948.55,CE,CE,CE,CE,PE,PE
06_JAN_26,CE,26168.95,26180.95,CE,PE,PE,PE,PE,PE
13_JAN_26,CE,25698.45,25729.8,CE,CE,PE,PE,CE,PE
20_JAN_26,PE,25348.75,25185.6,PE,PE,PE,PE,PE,CE
27_JAN_26,CE,25122.3,25242.4,CE,CE,CE,CE,CE,PE
03_FEB_26,PE,25760.8,25719.95,PE,PE,PE,PE,PE,PE
10_FEB_26,CE,25927.0,25910.9,PE,CE,CE,PE,PE,CE
17_FEB_26,CE,25708.05,25724.65,CE,PE,CE,CE,PE,PE
24_FEB_26,CE,25409.7,25440.1,PE,CE,PE,PE,CE,PE
10_MAR_26,PE,24261.45,24294.4,CE,CE,CE,CE,CE,PE
17_MAR_26,PE,23611.85,23558.2,CE,CE,CE,CE,CE,PE
30_MAR_26,PE,22371.7,22370.5,PE,PE,PE,PE,PE,PE
07_APR_26,CE,23056.8,23138.1,CE,CE,CE,CE,PE,PE
21_APR_26,CE,24558.75,24573.55,CE,CE,CE,CE,CE,PE
