expiry,date,weekday,spot_open,atm,ce_file_exists,pe_file_exists,ce_rows_on_expiry_day,ce_first_ts,ce_last_ts,ce_close_min,ce_close_max,ce_oi_max,ce_stale_minutes,pe_rows_on_expiry_day,pe_close_min,pe_close_max,pe_oi_max
03_OCT_24,2024-10-03,Thursday,25545.35,25550,False,False,,,,,,,,,,,
10_OCT_24,2024-10-10,Thursday,25055.2,25050,True,True,375.0,09:15,15:29,0.05,94.0,31213150.0,19.0,375.0,24.4,96.0,12781100.0
17_OCT_24,2024-10-17,Thursday,25001.25,25000,True,True,375.0,09:15,15:29,0.05,59.6,33998000.0,65.0,375.0,57.3,253.5,7591075.0
24_OCT_24,2024-10-24,Thursday,24462.95,24450,True,True,375.0,09:15,15:29,0.05,91.85,32416925.0,40.0,375.0,39.35,132.69,10016800.0
31_OCT_24,2024-10-31,Thursday,24302.1,24300,True,True,375.0,09:15,15:29,0.05,85.7,30416250.0,33.0,375.0,31.7,113.4,15966400.0
07_NOV_24,2024-11-07,Thursday,24443.05,24450,True,True,375.0,09:15,15:29,0.05,64.2,11576000.0,83.0,375.0,72.0,272.6,4737350.0
14_NOV_24,2024-11-14,Thursday,23599.75,23600,True,True,375.0,09:15,15:29,0.05,96.65,29298525.0,25.0,375.0,43.65,131.94,13650950.0
21_NOV_24,2024-11-21,Thursday,23446.75,23450,True,True,375.0,09:15,15:29,0.05,67.59,11497275.0,42.0,375.0,98.9,209.7,3000600.0
28_NOV_24,2024-11-28,Thursday,24300.7,24300,True,True,375.0,09:15,15:29,0.1,97.95,17081175.0,34.0,375.0,42.3,454.85,16942475.0
05_DEC_24,2024-12-05,Thursday,24499.95,24500,True,True,375.0,09:15,15:29,45.05,376.55,14433625.0,1.0,375.0,0.1,262.3,12886475.0
12_DEC_24,2024-12-12,Thursday,24626.15,24650,True,True,375.0,09:15,15:29,0.05,60.55,25699300.0,33.0,375.0,33.79,117.7,12427775.0
19_DEC_24,2024-12-19,Thursday,23954.65,23950,False,False,,,,,,,,,,,
02_SEP_25,2025-09-02,Tuesday,24675.75,24700,True,True,375.0,09:15,15:29,0.05,78.8,48740400.0,15.0,375.0,8.45,171.5,59150400.0
09_SEP_25,2025-09-09,Tuesday,24867.55,24850,True,True,375.0,09:15,15:29,7.8,61.55,38659500.0,5.0,375.0,0.05,60.7,62053575.0
16_SEP_25,2025-09-16,Tuesday,25094.8,25100,True,True,375.0,09:15,15:29,32.75,139.85,27358125.0,9.0,375.0,0.05,41.75,51332475.0
23_SEP_25,2025-09-23,Tuesday,25237.5,25250,True,True,375.0,09:15,15:29,0.05,46.3,32963550.0,33.0,375.0,15.1,157.5,21446250.0
30_SEP_25,2025-09-30,Tuesday,24710.3,24700,True,True,375.0,09:15,15:29,0.05,75.55,39110925.0,26.0,375.0,32.75,120.35,21191625.0
07_OCT_25,2025-10-07,Tuesday,25122.45,25100,True,True,375.0,09:15,15:29,5.4,126.2,0.0,0.0,375.0,0.05,55.4,0.0
14_OCT_25,2025-10-14,Tuesday,25291.65,25300,True,True,375.0,09:15,15:29,0.05,55.5,47755800.0,48.0,375.0,39.3,234.65,22437225.0
20_OCT_25,2025-10-20,Monday,25905.1,25900,False,False,,,,,,,,,,,
28_OCT_25,2025-10-28,Tuesday,25986.85,26000,True,True,375.0,09:15,15:29,0.05,102.05,36544125.0,18.0,375.0,38.4,181.2,26967525.0
04_NOV_25,2025-11-04,Tuesday,25768.55,25750,True,True,375.0,09:15,15:29,0.05,84.65,32595750.0,30.0,375.0,46.1,157.5,15430200.0
11_NOV_25,2025-11-11,Tuesday,25612.75,25600,True,True,375.0,09:15,15:29,5.95,99.6,40495350.0,6.0,375.0,0.05,152.35,48661650.0
18_NOV_25,2025-11-18,Tuesday,25945.45,25950,True,True,375.0,09:15,15:29,0.05,62.85,45064200.0,14.0,375.0,6.25,90.85,48019125.0
25_NOV_25,2025-11-25,Tuesday,25935.1,25950,True,True,375.0,09:15,15:29,0.05,108.2,31161150.0,19.0,375.0,4.45,81.35,33754200.0
02_DEC_25,2025-12-02,Tuesday,26110.2,26100,True,True,375.0,09:15,15:29,0.05,88.55,56451075.0,25.0,375.0,26.45,99.05,32541750.0
09_DEC_25,2025-12-09,Tuesday,25858.3,25850,True,True,375.0,09:15,15:29,0.05,98.7,48137550.0,12.0,375.0,8.05,127.6,36166875.0
16_DEC_25,2025-12-16,Tuesday,25932.75,25950,True,True,375.0,09:15,15:29,0.05,47.65,43584225.0,28.0,375.0,35.95,94.8,18122550.0
23_DEC_25,2025-12-23,Tuesday,26169.35,26150,True,True,375.0,09:15,15:29,22.85,75.0,32753400.0,6.0,375.0,0.05,59.55,50698725.0
30_DEC_25,2025-12-30,Tuesday,25902.25,25900,True,True,375.0,09:15,15:29,14.35,88.45,38024100.0,3.0,375.0,0.05,46.9,52087275.0
06_JAN_26,2026-01-06,Tuesday,26235.75,26250,True,True,375.0,09:15,15:29,0.05,48.1,43986800.0,51.0,375.0,30.0,119.15,24295050.0
13_JAN_26,2026-01-13,Tuesday,25853.0,25850,True,True,375.0,09:15,15:29,0.05,64.25,26024310.0,52.0,375.0,48.7,238.45,9296170.0
20_JAN_26,2026-01-20,Tuesday,25558.05,25550,True,True,375.0,09:15,15:29,0.05,69.3,31741060.0,34.0,375.0,44.95,324.75,17066270.0
27_JAN_26,2026-01-27,Tuesday,25113.05,25100,True,True,375.0,09:15,15:29,12.75,140.75,29447600.0,0.0,375.0,0.05,185.55,35977175.0
03_FEB_26,2026-02-03,Tuesday,25784.45,25800,True,True,375.0,09:15,15:29,0.05,175.9,42669705.0,10.0,375.0,27.2,286.3,21816275.0
10_FEB_26,2026-02-10,Tuesday,25910.1,25900,True,True,375.0,09:15,15:29,20.1,94.9,35348560.0,4.0,375.0,0.05,47.35,66005160.0
17_FEB_26,2026-02-17,Tuesday,25605.85,25600,True,True,375.0,09:15,15:29,37.55,164.7,29462745.0,1.0,375.0,0.05,73.45,38569830.0
24_FEB_26,2026-02-24,Tuesday,25596.25,25600,True,True,375.0,09:15,15:29,0.05,67.7,35774050.0,41.0,375.0,62.25,264.4,16697265.0
02_MAR_26,2026-03-02,Monday,24858.35,24850,False,False,,,,,,,,,,,
10_MAR_26,2026-03-10,Tuesday,24195.8,24200,True,True,375.0,09:15,15:29,26.4,117.25,30038710.0,4.0,375.0,0.05,156.05,39620620.0
17_MAR_26,2026-03-17,Tuesday,23400.75,23400,True,True,375.0,09:15,15:29,48.4,248.0,18166330.0,3.0,375.0,0.05,111.65,27493050.0
24_MAR_26,2026-03-24,Tuesday,22851.25,22850,False,False,,,,,,,,,,,
30_MAR_26,2026-03-30,Monday,22487.95,22500,True,True,375.0,09:15,15:29,0.05,258.8,27745055.0,11.0,375.0,42.2,205.55,26957515.0
07_APR_26,2026-04-07,Tuesday,22762.8,22750,True,True,375.0,09:15,15:29,92.2,377.5,5084625.0,1.0,375.0,0.05,107.6,13905840.0
13_APR_26,2026-04-13,Monday,23629.05,23650,True,True,375.0,09:15,15:29,47.05,249.0,9984390.0,1.0,375.0,0.05,127.45,21702785.0
21_APR_26,2026-04-21,Tuesday,24427.2,24450,True,True,375.0,09:15,15:29,56.65,138.35,13428285.0,1.0,375.0,0.05,91.35,30922840.0
