ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,23020.35,51.05,23980320,0,23.5,23242115,0,26.1,21493095,0,48.7,5680350,0,11.75,26659360,0,84.85,3329105,0
14:31,23046.6,76.9,20516925,-3463395,13.9,24868155,1626040,44.35,19739005,-1754090,31.2,8042645,2362295,22.3,25352275,-1307085,59.55,4214535,885430
14:32,23041.45,70.05,20516925,-3463395,14.9,24868155,1626040,38.35,19739005,-1754090,33.2,8042645,2362295,18.2,25352275,-1307085,63.55,4214535,885430
14:33,23043.3,69.45,20516925,-3463395,14.7,24868155,1626040,37.75,19739005,-1754090,33.2,8042645,2362295,17.75,25352275,-1307085,63.7,4214535,885430
14:34,23034.2,60.05,20516925,-3463395,16.35,24868155,1626040,30.6,20236515,-1256580,36.9,8177455,2497105,13.4,25352275,-1307085,69.95,4214535,885430
14:35,23016.6,43.25,21228025,-2752295,24.0,26538005,3295890,19.45,20236515,-1256580,50.65,8177455,2497105,7.55,26561925,-97435,88.4,4434300,1105195
14:36,23005.6,37.0,21228025,-2752295,29.75,26538005,3295890,16.1,20236515,-1256580,58.9,8177455,2497105,6.05,26561925,-97435,98.7,4434300,1105195
14:37,22999.75,32.25,24477960,497640,32.9,24215230,973115,13.4,23627760,2134665,64.2,8177455,2497105,5.1,27350895,691535,105.95,3374020,44915
14:38,23009.7,34.95,24477960,497640,27.8,24215230,973115,14.65,23627760,2134665,57.45,6238310,557960,5.4,27350895,691535,98.05,3374020,44915
14:39,23001.3,32.95,24477960,497640,31.0,24215230,973115,13.4,23627760,2134665,61.6,6238310,557960,4.85,27350895,691535,103.3,3374020,44915
14:40,23016.5,39.15,25180025,1199705,24.25,25725830,2483715,16.7,24824345,3331250,52.2,6238310,557960,6.05,27350895,691535,91.6,3374020,44915
14:41,23011.7,37.15,25180025,1199705,25.1,25725830,2483715,15.45,24824345,3331250,53.65,6420245,739895,5.5,27725945,1066585,93.9,3683680,354575
14:42,23018.55,38.75,25180025,1199705,20.65,25725830,2483715,15.85,24824345,3331250,47.8,6420245,739895,5.35,27725945,1066585,87.55,3683680,354575
14:43,23011.1,40.45,23057970,-922350,21.1,27005875,3763760,16.7,24824345,3331250,47.7,6420245,739895,5.65,27546805,887445,86.8,3683680,354575
14:44,23028.6,47.4,23057970,-922350,15.75,27005875,3763760,20.5,24572210,3079115,38.95,7062250,1381900,7.0,27546805,887445,75.45,4068610,739505
14:45,23032.5,49.75,23057970,-922350,13.85,27005875,3763760,21.75,24572210,3079115,36.05,7062250,1381900,7.45,27546805,887445,72.25,4068610,739505
14:46,23029.05,46.4,23057970,-922350,14.05,27005875,3763760,19.4,25358775,3865680,37.1,7062250,1381900,6.35,27546805,887445,74.5,4068610,739505
14:47,23040.85,55.7,22079785,-1900535,9.8,30425590,7183475,24.8,25358775,3865680,28.8,8885760,3205410,8.6,28972775,2313415,63.0,4539665,1210560
14:48,23040.5,60.6,22079785,-1900535,8.05,30425590,7183475,27.2,25358775,3865680,24.45,8885760,3205410,9.1,28972775,2313415,57.0,4539665,1210560
14:49,23044.55,61.8,22079785,-1900535,7.55,34199230,10957115,28.25,25358775,3865680,23.85,13756275,8075925,10.0,29204825,2545465,55.95,4539665,1210560
14:50,23056.8,72.55,18331690,-5648630,5.5,34199230,10957115,35.4,22790495,1297400,18.05,13756275,8075925,13.05,29204825,2545465,46.25,6191835,2862730
14:51,23051.5,68.3,18331690,-5648630,5.25,34199230,10957115,32.0,22790495,1297400,18.35,13756275,8075925,10.65,29204825,2545465,47.65,6191835,2862730
14:52,23056.85,70.95,18331690,-5648630,4.35,34199230,10957115,32.95,21782930,289835,15.85,13756275,8075925,10.8,30871100,4211740,44.25,6191835,2862730
14:53,23057.15,71.7,16018860,-7961460,4.25,35064575,11822460,32.75,21782930,289835,15.35,18958615,13278265,10.65,30871100,4211740,43.45,8055450,4726345
14:54,23060.05,78.8,16018860,-7961460,3.75,35064575,11822460,38.4,21782930,289835,13.35,18958615,13278265,12.95,30871100,4211740,38.1,8055450,4726345
14:55,23085.9,98.2,12174955,-11805365,2.2,35064575,11822460,52.95,15182310,-6310785,6.65,24154585,18474235,19.2,28260180,1600820,22.95,14011335,10682230
14:56,23093.65,101.0,12174955,-11805365,1.85,30905485,7663370,55.15,15182310,-6310785,5.45,24154585,18474235,19.9,28260180,1600820,20.35,14011335,10682230
14:57,23093.4,96.55,12174955,-11805365,1.7,30905485,7663370,50.55,15182310,-6310785,5.15,24154585,18474235,16.9,28260180,1600820,21.55,14011335,10682230
14:58,23084.3,92.9,12174955,-11805365,1.75,30905485,7663370,47.2,13933725,-7559370,5.8,24154585,18474235,14.7,28260180,1600820,23.35,14011335,10682230
14:59,23096.7,102.2,11027250,-12953070,1.05,30090255,6848140,55.35,13933725,-7559370,3.65,27596725,21916375,18.7,32534970,5875610,17.05,17763785,14434680
15:00,23109.65,117.25,11027250,-12953070,0.45,30090255,6848140,68.25,13933725,-7559370,1.05,27596725,21916375,24.5,32534970,5875610,7.1,17763785,14434680
15:01,23112.45,113.0,9274720,-14705600,0.35,30090255,6848140,63.95,10878725,-10614370,0.75,23149490,17469140,20.75,26514995,-144365,7.5,29753230,26424125
15:02,23122.25,117.7,9274720,-14705600,0.3,24543480,1301365,68.25,10878725,-10614370,0.45,23149490,17469140,23.2,26514995,-144365,5.25,29753230,26424125
15:03,23117.8,114.25,9274720,-14705600,0.3,24543480,1301365,64.7,10878725,-10614370,0.45,23149490,17469140,19.55,26514995,-144365,5.3,29753230,26424125
15:04,23118.55,120.75,9274720,-14705600,0.25,21731840,-1510275,70.9,10878725,-10614370,0.45,23149490,17469140,23.75,27135745,476385,3.1,37498630,34169525
15:05,23113.05,118.9,8618415,-15361905,0.25,21731840,-1510275,69.5,10911550,-10581545,0.4,23149490,17469140,21.9,27135745,476385,3.2,37498630,34169525
15:06,23124.45,123.85,8618415,-15361905,0.25,21731840,-1510275,74.05,10911550,-10581545,0.25,20949305,15268955,25.45,27135745,476385,1.5,37498630,34169525
15:07,23125.15,127.25,7882485,-16097835,0.2,21731840,-1510275,77.95,10911550,-10581545,0.3,20949305,15268955,28.75,23312900,-3346460,1.15,42681665,39352560
15:08,23120.6,123.25,7882485,-16097835,0.2,20146165,-3095950,73.75,10911550,-10581545,0.3,20949305,15268955,25.1,23312900,-3346460,1.9,42681665,39352560
15:09,23127.0,122.3,7882485,-16097835,0.2,20146165,-3095950,72.5,9014655,-12478440,0.2,18171920,12491570,23.65,23312900,-3346460,1.1,42681665,39352560
15:10,23118.45,119.15,7882485,-16097835,0.15,20146165,-3095950,69.55,9014655,-12478440,0.25,18171920,12491570,21.05,23312900,-3346460,1.8,42681665,39352560
15:11,23117.5,120.3,7614100,-16366220,0.2,19061185,-4180930,70.6,9014655,-12478440,0.2,18171920,12491570,21.75,23753535,-2905825,1.2,45010485,41681380
15:12,23115.95,117.95,7614100,-16366220,0.2,19061185,-4180930,68.25,8120060,-13373035,0.15,17326920,11646570,19.3,23753535,-2905825,1.3,45010485,41681380
15:13,23099.35,106.9,7614100,-16366220,0.15,19061185,-4180930,57.55,8120060,-13373035,0.2,17326920,11646570,10.25,24478870,-2180490,3.1,46321990,42992885
15:14,23109.25,112.8,7614100,-16366220,0.15,19061185,-4180930,63.25,7371260,-14121835,0.2,16408730,10728380,14.25,24478870,-2180490,1.5,46321990,42992885
15:15,23111.55,115.7,6578650,-17401670,0.1,19092190,-4149925,65.8,7371260,-14121835,0.2,16408730,10728380,16.85,24478870,-2180490,1.1,46321990,42992885
15:16,23107.6,117.85,6578650,-17401670,0.15,19092190,-4149925,68.2,7371260,-14121835,0.2,16408730,10728380,18.6,24478870,-2180490,0.8,51469275,48140170
15:17,23124.5,120.95,6028425,-17951895,0.15,19092190,-4149925,71.4,7371260,-14121835,0.15,16408730,10728380,21.4,22597055,-4062305,0.35,51469275,48140170
15:18,23130.2,120.4,6028425,-17951895,0.1,17250545,-5991570,70.55,6860165,-14632930,0.1,15162290,9481940,20.75,22597055,-4062305,0.25,51469275,48140170
15:19,23123.45,121.1,6028425,-17951895,0.1,17250545,-5991570,71.5,6860165,-14632930,0.15,15162290,9481940,21.8,19551350,-7108010,0.2,41845310,38516205
15:20,23136.35,122.55,6028425,-17951895,0.05,17250545,-5991570,72.85,6860165,-14632930,0.05,15162290,9481940,22.9,19551350,-7108010,0.15,41845310,38516205
15:21,23126.45,121.35,5638100,-18342220,0.1,15690025,-7552090,71.8,5617235,-15875860,0.05,13706225,8025875,21.8,19551350,-7108010,0.05,41845310,38516205
15:22,23127.5,121.5,5638100,-18342220,0.05,15690025,-7552090,71.65,5617235,-15875860,0.05,13706225,8025875,21.95,19551350,-7108010,0.1,36667540,33338435
15:23,23127.25,121.8,5638100,-18342220,0.1,15690025,-7552090,72.35,5617235,-15875860,0.1,13706225,8025875,22.35,16714100,-9945260,0.05,36667540,33338435
15:24,23135.35,122.55,5423730,-18556590,0.05,14675505,-8566610,73.0,4999345,-16493750,0.05,12353770,6673420,23.05,16714100,-9945260,0.05,36667540,33338435
15:25,23138.1,123.0,5423730,-18556590,0.05,14675505,-8566610,73.15,4999345,-16493750,0.05,12353770,6673420,23.1,12943840,-13715520,0.05,36667540,33338435
15:26,23144.6,123.55,5423730,-18556590,0.05,14675505,-8566610,74.2,4999345,-16493750,0.05,12353770,6673420,24.0,12943840,-13715520,0.05,27822340,24493235
15:27,23146.65,124.05,5052255,-18928065,0.1,14429805,-8812310,74.45,4341610,-17151485,0.05,10337990,4657640,24.3,12943840,-13715520,0.05,27822340,24493235
15:28,23139.45,123.7,5052255,-18928065,0.1,14429805,-8812310,73.7,4341610,-17151485,0.05,10337990,4657640,23.75,10674235,-15985125,0.05,27822340,24493235
15:29,23129.95,123.35,5052255,-18928065,0.05,14429805,-8812310,73.5,4341610,-17151485,0.05,10337990,4657640,23.6,10674235,-15985125,0.05,26661440,23332335
15:30,,,,,,,,,,,,,,,,,,,
