ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,24886.95,81.0,12760125,0,2.9,39396150,0,37.7,29123400,0,9.2,46403775,0,13.75,47639775,0,35.15,18695175,0
14:31,24879.6,78.05,12606525,-153600,3.15,39396150,0,35.25,29123400,0,10.05,46403775,0,12.2,49166400,1526625,36.8,18695175,0
14:32,24881.2,76.75,12606525,-153600,3.1,39396150,0,34.3,29123400,0,10.3,46403775,0,11.7,49166400,1526625,37.6,18695175,0
14:33,24868.0,72.55,12448425,-311700,3.7,40045425,649275,31.5,28384050,-739350,12.5,47545275,1141500,9.8,49632975,1993200,40.8,18398175,-297000
14:34,24872.0,69.75,12448425,-311700,3.85,40045425,649275,28.85,28384050,-739350,12.95,47545275,1141500,8.85,49632975,1993200,42.8,18398175,-297000
14:35,24845.7,54.6,12448425,-311700,6.5,40045425,649275,18.0,28384050,-739350,19.95,47545275,1141500,4.8,49632975,1993200,56.85,18398175,-297000
14:36,24841.75,50.9,14203725,1443600,6.8,41850375,2454225,14.45,33500775,4377375,19.95,39916725,-6487050,3.45,45456150,-2183625,59.1,18398175,-297000
14:37,24862.15,61.95,14203725,1443600,3.0,41850375,2454225,20.2,33500775,4377375,11.25,39916725,-6487050,4.7,45456150,-2183625,45.65,13205400,-5489775
14:38,24856.25,50.75,14203725,1443600,4.4,41850375,2454225,13.35,33500775,4377375,17.05,39916725,-6487050,3.15,45456150,-2183625,56.85,13205400,-5489775
14:39,24857.0,52.15,14461125,1701000,4.2,44989425,5593275,14.2,34726200,5602800,16.35,41492250,-4911525,3.55,45456150,-2183625,55.8,13828425,-4866750
14:40,24856.7,51.25,14461125,1701000,4.1,44989425,5593275,13.8,34726200,5602800,16.5,41492250,-4911525,3.0,46759275,-880500,55.9,13828425,-4866750
14:41,24860.9,53.5,14461125,1701000,3.25,44989425,5593275,14.55,34726200,5602800,14.3,41492250,-4911525,3.5,46759275,-880500,53.4,13828425,-4866750
14:42,24856.9,52.55,14461125,1701000,3.85,45742425,6346275,14.1,34726200,5602800,15.5,42462450,-3941325,2.5,47512725,-127050,54.0,13827525,-4867650
14:43,24860.25,50.9,14405400,1645275,4.1,45742425,6346275,13.15,35804775,6681375,16.25,42462450,-3941325,2.55,47512725,-127050,55.85,13827525,-4867650
14:44,24839.95,41.7,14405400,1645275,6.2,45742425,6346275,8.45,35804775,6681375,23.1,42462450,-3941325,1.55,47512725,-127050,66.25,13827525,-4867650
14:45,24832.35,40.6,15216525,2456400,5.9,48516525,9120375,7.8,35804775,6681375,23.1,42462450,-3941325,1.3,41642175,-5997600,66.65,13827525,-4867650
14:46,24849.6,48.4,15216525,2456400,3.25,48516525,9120375,10.15,38659500,9536100,14.9,39607875,-6795900,1.8,41642175,-5997600,56.7,12835350,-5859825
14:47,24852.8,49.9,15216525,2456400,2.95,48516525,9120375,10.75,38659500,9536100,13.9,39607875,-6795900,1.7,41642175,-5997600,54.7,12835350,-5859825
14:48,24855.8,52.95,14299950,1539825,2.8,48486150,9090000,12.4,36973500,7850100,12.25,39607875,-6795900,2.15,43148475,-4491300,51.9,13232100,-5463075
14:49,24858.15,52.35,14299950,1539825,2.25,48486150,9090000,12.05,36973500,7850100,12.0,42409500,-3994275,2.0,43148475,-4491300,52.05,13232100,-5463075
14:50,24860.85,55.35,14299950,1539825,1.85,48486150,9090000,13.6,36973500,7850100,10.05,42409500,-3994275,2.25,43148475,-4491300,48.95,13232100,-5463075
14:51,24851.95,50.55,14299950,1539825,2.5,46657200,7261050,10.5,37450125,8326725,12.55,44872725,-1531050,1.65,44186250,-3453525,53.8,13736850,-4958325
14:52,24855.0,50.9,14414025,1653900,2.2,46657200,7261050,10.0,37450125,8326725,11.3,44872725,-1531050,1.45,44186250,-3453525,52.95,13736850,-4958325
14:53,24856.05,57.75,14414025,1653900,1.65,46657200,7261050,13.9,37450125,8326725,7.85,44872725,-1531050,1.85,44186250,-3453525,46.0,13736850,-4958325
14:54,24875.35,68.2,14414025,1653900,1.15,46657200,7261050,21.8,30999375,1875975,4.6,47578650,1174875,3.15,48375450,735675,36.0,16030125,-2665050
14:55,24879.85,67.4,11701575,-1058550,0.85,46657200,7261050,21.1,30999375,1875975,4.25,47578650,1174875,3.6,48375450,735675,36.65,16030125,-2665050
14:56,24862.45,62.05,11701575,-1058550,0.95,39592275,196125,15.95,30999375,1875975,4.8,47578650,1174875,1.75,48375450,735675,40.45,16030125,-2665050
14:57,24862.25,59.95,11701575,-1058550,0.95,39592275,196125,14.4,32917275,3793875,5.5,47578650,1174875,2.0,48375450,735675,43.0,16030125,-2665050
14:58,24858.8,59.7,11723700,-1036425,1.1,39239400,-156750,13.35,32917275,3793875,4.8,50343225,3939450,1.25,49044675,1404900,42.75,14765475,-3929700
14:59,24860.15,60.15,11723700,-1036425,0.85,39239400,-156750,13.5,32917275,3793875,4.4,50343225,3939450,1.75,49044675,1404900,42.45,14765475,-3929700
15:00,24865.4,63.25,11723700,-1036425,0.5,39239400,-156750,15.5,32917275,3793875,2.8,55743300,9339525,1.0,45738000,-1901775,38.3,14765475,-3929700
15:01,24861.9,63.2,11986800,-773325,0.55,36040650,-3355500,14.8,33202200,4078800,2.35,55743300,9339525,0.55,45738000,-1901775,38.2,15382275,-3312900
15:02,24869.85,66.8,11986800,-773325,0.3,36040650,-3355500,17.75,33202200,4078800,1.25,55743300,9339525,0.7,45738000,-1901775,34.15,15382275,-3312900
15:03,24862.7,63.95,11986800,-773325,0.3,36040650,-3355500,15.45,33768300,4644900,1.85,56665950,10262175,0.35,42817275,-4822500,36.95,15682725,-3012450
15:04,24865.0,64.25,11986800,-773325,0.2,32684175,-6711975,15.25,33768300,4644900,1.1,56665950,10262175,0.25,42817275,-4822500,36.2,15682725,-3012450
15:05,24869.55,63.45,11078100,-1682025,0.2,32684175,-6711975,15.2,33768300,4644900,1.85,56665950,10262175,0.25,42817275,-4822500,37.0,15682725,-3012450
15:06,24859.4,56.75,11078100,-1682025,0.2,32684175,-6711975,8.9,31892850,2769450,2.55,62053575,15649800,0.2,39181725,-8458050,43.65,15682725,-3012450
15:07,24865.3,63.6,11078100,-1682025,0.15,32684175,-6711975,14.75,31892850,2769450,1.35,62053575,15649800,0.15,39181725,-8458050,36.5,14485950,-4209225
15:08,24861.4,63.5,10431075,-2329050,0.2,29396925,-9999225,14.35,31892850,2769450,1.25,62053575,15649800,0.15,39181725,-8458050,37.1,14485950,-4209225
15:09,24857.7,61.0,10431075,-2329050,0.2,29396925,-9999225,11.6,31892850,2769450,1.05,62053575,15649800,0.15,39181725,-8458050,39.7,14485950,-4209225
15:10,24870.95,66.3,10431075,-2329050,0.15,27288975,-12107175,16.4,30182025,1058625,0.3,60320700,13916925,0.15,37300350,-10339425,33.85,14615550,-4079625
15:11,24875.35,68.65,9650550,-3109575,0.15,27288975,-12107175,18.75,30182025,1058625,0.1,60320700,13916925,0.15,37300350,-10339425,31.75,14615550,-4079625
15:12,24863.3,65.95,9650550,-3109575,0.05,27288975,-12107175,16.35,30182025,1058625,0.15,53681550,7277775,0.1,37300350,-10339425,33.95,14120625,-4574550
15:13,24856.45,63.55,9650550,-3109575,0.1,25238625,-14157525,13.75,25318425,-3804975,0.3,53681550,7277775,0.15,33764175,-13875600,36.65,14120625,-4574550
15:14,24870.35,66.5,9163500,-3596625,0.15,25238625,-14157525,16.65,25318425,-3804975,0.3,53681550,7277775,0.1,33764175,-13875600,33.6,14120625,-4574550
15:15,24871.0,65.65,9163500,-3596625,0.1,25238625,-14157525,16.0,25318425,-3804975,0.25,51464175,5060400,0.1,33764175,-13875600,34.35,14120625,-4574550
15:16,24873.6,66.0,9163500,-3596625,0.1,23327850,-16068300,16.15,24288450,-4834950,0.15,51464175,5060400,0.1,32406225,-15233550,34.4,14425350,-4269825
15:17,24861.1,64.95,8358150,-4401975,0.05,23327850,-16068300,15.15,24288450,-4834950,0.15,51464175,5060400,0.1,32406225,-15233550,35.1,14425350,-4269825
15:18,24867.55,66.55,8358150,-4401975,0.05,23327850,-16068300,16.9,20667075,-8456325,0.1,47875275,1471500,0.05,32406225,-15233550,33.35,14425350,-4269825
15:19,24868.0,66.2,8358150,-4401975,0.1,23327850,-16068300,16.35,20667075,-8456325,0.05,47875275,1471500,0.05,32146725,-15493050,33.8,12364650,-6330525
15:20,24867.95,66.05,7463025,-5297100,0.1,22491525,-16904625,16.05,20667075,-8456325,0.1,47875275,1471500,0.1,32146725,-15493050,34.3,12364650,-6330525
15:21,24870.2,66.45,7463025,-5297100,0.05,22491525,-16904625,16.5,17865375,-11258025,0.05,44341875,-2061900,0.05,32146725,-15493050,33.6,12364650,-6330525
