ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,25685.05,42.4,9854520,0,8.95,37570065,0,13.35,36674365,0,30.0,34463715,0,2.95,41383225,0,69.85,9669400,0
14:31,25677.7,35.7,11087830,1233310,11.8,38809160,1239095,10.5,39902005,3227640,36.9,31982600,-2481115,2.5,39892775,-1490450,78.8,8752835,-916565
14:32,25685.7,42.35,11087830,1233310,7.9,38809160,1239095,12.9,39902005,3227640,28.55,31982600,-2481115,2.7,39892775,-1490450,68.55,8752835,-916565
14:33,25692.55,51.0,11087830,1233310,5.15,38809160,1239095,16.85,39902005,3227640,21.15,31982600,-2481115,3.65,39892775,-1490450,57.85,8752835,-916565
14:34,25696.05,53.45,10869105,1014585,4.55,40348945,2778880,18.2,41795780,5121415,19.35,33583485,-880230,3.95,40036165,-1347060,54.95,8717085,-952315
14:35,25695.0,52.0,10869105,1014585,4.95,40348945,2778880,17.2,41795780,5121415,20.45,33583485,-880230,3.7,40036165,-1347060,57.1,8717085,-952315
14:36,25701.3,62.5,10869105,1014585,3.6,40348945,2778880,23.65,41795780,5121415,14.9,33583485,-880230,5.5,40036165,-1347060,47.0,8717085,-952315
14:37,25704.9,67.3,9127235,-727285,2.9,40348945,2778880,26.75,35032335,-1642030,12.5,39128765,4665050,6.15,41092740,-290485,42.0,10344230,674830
14:38,25715.35,77.25,9127235,-727285,2.25,39364065,1794000,34.0,35032335,-1642030,9.25,39128765,4665050,8.3,41092740,-290485,33.7,10344230,674830
14:39,25724.25,81.05,9127235,-727285,1.85,39364065,1794000,36.95,35032335,-1642030,7.85,39128765,4665050,9.7,41092740,-290485,30.55,10344230,674830
14:40,25728.0,77.1,9127235,-727285,1.55,39364065,1794000,33.6,26267670,-10406695,8.2,43805385,9341670,8.55,38707110,-2676115,33.2,13191100,3521700
14:41,25724.15,78.3,6880510,-2974010,1.4,34382400,-3187665,34.25,26267670,-10406695,7.6,43805385,9341670,8.25,38707110,-2676115,31.7,13191100,3521700
14:42,25729.3,81.25,6880510,-2974010,1.45,34382400,-3187665,36.55,26267670,-10406695,6.85,43805385,9341670,8.9,38707110,-2676115,29.3,13191100,3521700
14:43,25725.15,76.4,6880510,-2974010,1.7,34382400,-3187665,32.6,26114595,-10559770,7.95,44889585,10425870,7.55,41293395,-89830,33.1,13982150,4312750
14:44,25717.3,71.15,6638190,-3216330,1.7,32296355,-5273710,28.2,26114595,-10559770,8.75,44889585,10425870,5.95,41293395,-89830,36.55,13982150,4312750
14:45,25712.9,69.4,6638190,-3216330,1.8,32296355,-5273710,26.65,26114595,-10559770,9.05,44889585,10425870,5.2,41293395,-89830,37.65,13982150,4312750
14:46,25712.85,69.45,6638190,-3216330,1.75,32969755,-4600310,26.45,26114595,-10559770,8.9,47921445,13457730,4.75,41882815,499590,37.45,13871325,4201925
14:47,25713.4,69.95,7011680,-2842840,1.4,32969755,-4600310,26.3,26976495,-9697870,7.85,47921445,13457730,4.5,41882815,499590,36.3,13871325,4201925
14:48,25709.4,61.4,7011680,-2842840,1.8,32969755,-4600310,20.0,26976495,-9697870,10.6,47921445,13457730,2.95,41882815,499590,43.75,13871325,4201925
14:49,25708.95,65.1,7011680,-2842840,1.5,32969755,-4600310,22.4,28091050,-8583315,8.9,48435205,13971490,3.25,43825860,2442635,39.8,13871325,4201925
14:50,25708.05,64.0,7202455,-2652065,1.6,33107945,-4462120,21.6,28091050,-8583315,9.2,48435205,13971490,3.2,43825860,2442635,40.95,12888005,3218605
14:51,25711.45,70.15,7202455,-2652065,1.3,33107945,-4462120,25.85,28091050,-8583315,7.0,48435205,13971490,4.2,43825860,2442635,35.55,12888005,3218605
14:52,25713.0,70.95,7202455,-2652065,0.85,31195255,-6374810,26.3,28091050,-8583315,6.25,49361455,14897740,4.05,46401550,5018325,34.3,12888005,3218605
14:53,25711.5,70.4,6997250,-2857270,0.95,31195255,-6374810,25.6,28480595,-8193770,6.1,49361455,14897740,3.7,46401550,5018325,34.4,12806885,3137485
14:54,25717.15,74.95,6997250,-2857270,0.85,31195255,-6374810,28.55,28480595,-8193770,4.75,49361455,14897740,4.45,46401550,5018325,30.75,12806885,3137485
14:55,25710.95,64.8,7135375,-2719145,1.05,31195255,-6374810,20.35,30611295,-6063070,6.55,47296795,12833080,2.25,46220330,4837105,38.35,11849045,2179645
14:56,25693.25,53.5,7135375,-2719145,2.25,31211050,-6359015,14.0,30611295,-6063070,13.1,47296795,12833080,1.5,46220330,4837105,50.7,11849045,2179645
14:57,25699.45,50.75,7135375,-2719145,1.7,31211050,-6359015,10.8,30611295,-6063070,12.1,47296795,12833080,1.15,46220330,4837105,52.35,11849045,2179645
14:58,25709.05,67.1,6843135,-3011385,0.9,31211050,-6359015,20.9,30457505,-6216860,4.85,48699170,14235455,1.7,45993480,4610255,35.55,10635885,966485
14:59,25711.9,66.4,6843135,-3011385,1.0,32240780,-5329285,20.45,30457505,-6216860,5.3,48699170,14235455,1.9,45993480,4610255,36.85,10635885,966485
15:00,25730.7,82.15,6843135,-3011385,0.55,32240780,-5329285,33.0,30457505,-6216860,1.5,48699170,14235455,2.65,45993480,4610255,21.15,10635885,966485
15:01,25741.1,87.5,6843135,-3011385,0.6,25976080,-11593985,38.05,23107500,-13566865,0.95,51540840,17077125,3.35,45993480,4610255,16.55,10635885,966485
15:02,25723.75,78.8,5425225,-4429295,0.45,25976080,-11593985,29.4,23107500,-13566865,1.15,51540840,17077125,1.2,51444250,10061025,23.0,16197805,6528405
15:03,25717.6,79.1,5425225,-4429295,0.5,25976080,-11593985,29.6,23107500,-13566865,1.15,51540840,17077125,0.7,51444250,10061025,22.45,16197805,6528405
15:04,25709.75,71.4,5425225,-4429295,0.5,25976080,-11593985,22.7,23107500,-13566865,1.95,57478200,23014485,0.6,51444250,10061025,29.95,16197805,6528405
15:05,25717.25,76.95,6901115,-2953405,0.4,24184615,-13385450,27.1,24028680,-12645685,0.8,57478200,23014485,0.55,46561515,5178290,24.3,14694940,5025540
15:06,25730.25,80.85,6901115,-2953405,0.2,24184615,-13385450,31.35,24028680,-12645685,0.55,57478200,23014485,0.9,46561515,5178290,20.3,14694940,5025540
15:07,25732.85,77.75,6901115,-2953405,0.15,24184615,-13385450,27.9,22760660,-13913705,0.3,50912485,16448770,0.55,46561515,5178290,22.9,14694940,5025540
15:08,25732.9,78.65,5207475,-4647045,0.2,22189375,-15380690,28.75,22760660,-13913705,0.3,50912485,16448770,0.35,50224720,8841495,22.0,16497715,6828315
15:09,25741.85,80.1,5207475,-4647045,0.1,22189375,-15380690,30.35,22760660,-13913705,0.2,50912485,16448770,0.65,50224720,8841495,20.6,16497715,6828315
15:10,25718.1,73.9,5207475,-4647045,0.1,21323835,-16246230,23.95,22760660,-13913705,0.2,50912485,16448770,0.25,50224720,8841495,26.45,16497715,6828315
15:11,25719.05,77.2,4612920,-5241600,0.15,21323835,-16246230,27.25,22760660,-13913705,0.2,50912485,16448770,0.2,47358415,5975190,23.2,16497715,6828315
15:12,25724.7,78.45,4612920,-5241600,0.1,21323835,-16246230,28.35,20696000,-15978365,0.2,47876400,13412685,0.15,47358415,5975190,21.95,14254825,4585425
