ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,23337.6,42.05,13082475,0,3.15,50868150,0,4.59,43786000,0,15.35,23473400,0,2.45,24674200,0,63.9,7985125,0
14:31,23336.2,38.29,13072175,-10300,3.8,50790400,-77750,3.95,44933900,1147900,18.7,22978825,-494575,2.29,24098875,-575325,67.5,7872275,-112850
14:32,23333.9,38.0,13072175,-10300,3.75,50790400,-77750,3.7,44933900,1147900,18.64,22978825,-494575,1.95,24098875,-575325,67.9,7872275,-112850
14:33,23331.35,35.79,13072175,-10300,4.3,50790400,-77750,3.4,44933900,1147900,21.75,22978825,-494575,1.95,24098875,-575325,70.5,7872275,-112850
14:34,23334.0,37.95,13057625,-24850,3.15,51727175,859025,3.45,45090750,1304750,18.25,23228825,-244575,1.85,23144750,-1529450,67.34,8118225,133100
14:35,23329.4,34.54,13057625,-24850,4.0,51727175,859025,2.8,45090750,1304750,21.6,23228825,-244575,1.6,23144750,-1529450,70.75,8118225,133100
14:36,23332.35,36.04,13057625,-24850,3.4,51727175,859025,3.0,45090750,1304750,19.6,23228825,-244575,1.65,23144750,-1529450,68.4,8118225,133100
14:37,23332.15,35.9,13278625,196150,3.25,53101250,2233100,2.75,45943825,2157825,19.85,23969800,496400,1.45,22915725,-1758475,68.5,8126550,141425
14:38,23329.25,34.95,13278625,196150,3.75,53101250,2233100,2.35,45943825,2157825,20.85,23969800,496400,1.4,22915725,-1758475,70.09,8126550,141425
14:39,23330.0,35.5,13278625,196150,3.45,53101250,2233100,2.6,45943825,2157825,20.0,23969800,496400,1.55,22915725,-1758475,69.25,8126550,141425
14:40,23327.85,34.54,13488700,406225,3.9,54227800,3359650,2.29,47427525,3641525,21.5,23978350,504950,1.35,22814525,-1859675,70.7,8097675,112550
14:41,23330.1,34.7,13488700,406225,3.55,54227800,3359650,2.15,47427525,3641525,20.35,23978350,504950,1.25,22814525,-1859675,69.95,8097675,112550
14:42,23336.4,39.29,13488700,406225,1.95,54227800,3359650,2.8,47427525,3641525,15.05,23978350,504950,1.35,22814525,-1859675,63.9,8097675,112550
14:43,23339.6,41.3,13539250,456775,1.5,53576675,2708525,3.0,48818175,5032175,12.5,24962925,1489525,1.45,22267200,-2407000,61.5,7807525,-177600
14:44,23338.5,41.8,13539250,456775,1.14,53576675,2708525,3.25,48818175,5032175,12.2,24962925,1489525,1.65,22267200,-2407000,61.0,7807525,-177600
14:45,23339.25,42.55,13539250,456775,1.1,53576675,2708525,3.7,48818175,5032175,11.95,24962925,1489525,2.0,22267200,-2407000,60.7,7807525,-177600
14:46,23331.95,40.04,13495450,412975,1.35,51456425,588275,2.7,50019975,6233975,13.6,25107850,1634450,1.65,22322875,-2351325,63.0,7512950,-472175
14:47,23320.1,33.4,13495450,412975,1.95,51456425,588275,1.45,50019975,6233975,19.95,25107850,1634450,1.2,22322875,-2351325,69.75,7512950,-472175
14:48,23333.8,38.9,13495450,412975,1.6,51456425,588275,1.85,50019975,6233975,14.4,25107850,1634450,1.5,22322875,-2351325,64.2,7512950,-472175
14:49,23333.95,38.4,13495450,412975,1.8,52693725,1825575,1.95,49961650,6175650,14.95,25453525,1980125,1.35,21607225,-3066975,64.34,7613525,-371600
14:50,23335.85,39.54,13495450,412975,1.45,52693725,1825575,2.2,49961650,6175650,13.75,25453525,1980125,1.35,21607225,-3066975,63.1,7613525,-371600
14:51,23337.1,39.75,13495450,412975,1.35,52693725,1825575,2.29,49961650,6175650,13.8,25453525,1980125,1.4,21607225,-3066975,62.95,7613525,-371600
14:52,23340.75,40.6,13486325,403850,1.14,52316700,1448550,2.65,50968300,7182300,12.75,25801075,2327675,1.45,21532400,-3141800,62.2,7670550,-314575
14:53,23342.55,42.8,13486325,403850,1.05,52316700,1448550,3.1,50968300,7182300,11.15,25801075,2327675,1.65,21532400,-3141800,59.8,7670550,-314575
14:54,23339.6,40.1,13486325,403850,1.25,52316700,1448550,2.29,50968300,7182300,13.05,25801075,2327675,1.35,21532400,-3141800,62.5,7670550,-314575
14:55,23338.75,40.5,13318400,235925,1.25,51947500,1079350,2.29,51106800,7320800,12.65,26674650,3201250,1.3,21024800,-3649400,61.85,7649175,-335950
14:56,23336.2,39.29,13318400,235925,1.2,51947500,1079350,1.85,51106800,7320800,13.35,26674650,3201250,1.1,21024800,-3649400,63.15,7649175,-335950
14:57,23333.55,38.54,13318400,235925,1.3,51947500,1079350,2.0,51106800,7320800,14.15,26674650,3201250,1.14,21024800,-3649400,63.9,7649175,-335950
14:58,23334.75,38.1,13563075,480600,1.4,52774775,1906625,1.7,52978700,9192700,15.25,26715050,3241650,1.05,20877725,-3796475,64.4,7513975,-471150
14:59,23339.95,41.0,13563075,480600,1.35,52774775,1906625,1.9,52978700,9192700,12.3,26715050,3241650,1.05,20877725,-3796475,61.4,7513975,-471150
15:00,23345.45,44.65,13563075,480600,0.65,52774775,1906625,2.95,52978700,9192700,7.9,26715050,3241650,0.85,20877725,-3796475,56.6,7513975,-471150
15:01,23354.05,46.8,12771975,-310500,0.3,49351075,-1517075,3.2,52941625,9155625,5.95,29693900,6220500,1.14,20481725,-4192475,54.25,6893475,-1091650
15:02,23337.65,42.6,12771975,-310500,0.35,49351075,-1517075,1.2,52941625,9155625,8.44,29693900,6220500,0.5,20481725,-4192475,58.4,6893475,-1091650
15:03,23329.75,39.2,12771975,-310500,0.45,49351075,-1517075,0.8,52941625,9155625,11.65,29693900,6220500,0.45,20481725,-4192475,61.6,6893475,-1091650
15:04,23335.45,40.79,12565975,-516500,0.45,46289600,-4578550,0.95,53754225,9968225,9.3,29133550,5660150,0.45,19755350,-4918850,60.4,6793125,-1192000
15:05,23334.95,42.15,12565975,-516500,0.4,46289600,-4578550,0.5,53754225,9968225,8.44,29133550,5660150,0.3,19755350,-4918850,58.3,6793125,-1192000
15:06,23344.1,44.1,12565975,-516500,0.3,46289600,-4578550,0.8,53754225,9968225,6.6,29133550,5660150,0.35,19755350,-4918850,56.15,6793125,-1192000
15:07,23347.4,45.45,12354525,-727950,0.3,41601675,-9266475,1.05,52358200,8572200,5.6,29853575,6380175,0.35,18568550,-6105650,55.15,6577950,-1407175
15:08,23358.3,48.25,12354525,-727950,0.3,41601675,-9266475,1.5,52358200,8572200,3.45,29853575,6380175,0.35,18568550,-6105650,52.1,6577950,-1407175
15:09,23354.7,47.75,12354525,-727950,0.25,41601675,-9266475,1.3,52358200,8572200,3.6,29853575,6380175,0.45,18568550,-6105650,52.7,6577950,-1407175
15:10,23361.3,50.45,11944950,-1137525,0.15,37129800,-13738350,1.8,50530300,6744300,1.8,29838125,6364725,0.4,18249625,-6424575,50.3,6260300,-1724825
15:11,23356.65,49.3,11944950,-1137525,0.1,37129800,-13738350,1.35,50530300,6744300,2.1,29838125,6364725,0.4,18249625,-6424575,51.05,6260300,-1724825
15:12,23354.25,48.35,11944950,-1137525,0.1,37129800,-13738350,1.14,50530300,6744300,2.75,29838125,6364725,0.3,18249625,-6424575,52.0,6260300,-1724825
15:13,23353.4,48.9,11394850,-1687625,0.1,33740725,-17127425,1.05,49109125,5323125,2.25,30877100,7403700,0.3,18535000,-6139200,51.35,5863325,-2121800
15:14,23355.75,48.2,11394850,-1687625,0.15,33740725,-17127425,0.55,49109125,5323125,2.5,30877100,7403700,0.2,18535000,-6139200,52.1,5863325,-2121800
15:15,23353.1,48.3,11394850,-1687625,0.15,33740725,-17127425,0.7,49109125,5323125,2.4,30877100,7403700,0.2,18535000,-6139200,51.8,5863325,-2121800
15:16,23359.25,50.0,10318125,-2764350,0.1,28716775,-22151375,1.1,45064325,1278325,1.25,30115500,6642100,0.25,17145475,-7528725,50.0,5195875,-2789250
15:17,23366.7,51.15,10318125,-2764350,0.1,28716775,-22151375,1.65,45064325,1278325,0.5,30115500,6642100,0.2,17145475,-7528725,48.9,5195875,-2789250
15:18,23356.35,50.0,10318125,-2764350,0.05,28716775,-22151375,0.7,45064325,1278325,0.75,30115500,6642100,0.15,17145475,-7528725,49.95,5195875,-2789250
15:19,23349.4,48.6,9962475,-3120000,0.1,26632700,-24235450,0.3,44398275,612275,1.4,28293800,4820400,0.1,16561375,-8112825,51.2,4511000,-3474125
15:20,23356.85,49.15,9962475,-3120000,0.05,26632700,-24235450,0.25,44398275,612275,0.8,28293800,4820400,0.1,16561375,-8112825,50.5,4511000,-3474125
15:21,23358.95,49.8,9962475,-3120000,0.1,26632700,-24235450,0.3,44398275,612275,0.55,28293800,4820400,0.05,16561375,-8112825,50.3,4511000,-3474125
15:22,23362.05,50.0,9427400,-3655075,0.1,24426225,-26441925,0.4,41017500,-2768500,0.25,27772950,4299550,0.05,14843650,-9830550,49.75,3834950,-4150175
15:23,23354.45,49.65,9427400,-3655075,0.05,24426225,-26441925,0.2,41017500,-2768500,0.3,27772950,4299550,0.05,14843650,-9830550,50.1,3834950,-4150175
15:24,23354.9,49.55,9427400,-3655075,0.05,24426225,-26441925,0.1,41017500,-2768500,0.35,27772950,4299550,0.05,14843650,-9830550,50.25,3834950,-4150175
15:25,23356.1,49.65,9104450,-3978025,0.05,23048450,-27819700,0.15,35753125,-8032875,0.35,25785675,2312275,0.05,12725975,-11948225,50.05,3295250,-4689875
15:26,23354.8,49.85,9104450,-3978025,0.05,23048450,-27819700,0.05,35753125,-8032875,0.1,25785675,2312275,0.05,12725975,-11948225,50.0,3295250,-4689875
15:27,23353.25,49.9,9104450,-3978025,0.05,23048450,-27819700,0.05,35753125,-8032875,0.05,25785675,2312275,0.05,12725975,-11948225,50.0,3295250,-4689875
15:28,23347.45,49.95,8621900,-4460575,0.05,21591725,-29276425,0.05,33477250,-10308750,0.05,24212775,739375,0.05,12078275,-12595925,50.0,2809650,-5175475
