ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,25040.85,37.8,16263650,0,35.1,13061620,0,17.95,28045225,0,65.05,10817235,0,8.1,18211375,0,104.95,3342950,0
14:31,25042.95,34.4,16263650,0,35.65,13232245,170625,15.75,29076255,1031030,67.1,11420435,603200,6.9,19991270,1779895,107.9,3342950,0
14:32,25048.35,38.3,17058275,794625,32.8,13232245,170625,17.75,29076255,1031030,62.4,11420435,603200,7.9,19991270,1779895,102.05,3278990,-63960
14:33,25033.75,29.6,17058275,794625,38.9,13232245,170625,12.75,29076255,1031030,71.8,11420435,603200,5.65,19991270,1779895,114.2,3278990,-63960
14:34,25041.75,32.2,17474145,1210495,34.65,13232245,170625,13.95,29447600,1402375,66.2,11487905,670670,5.95,20375225,2163850,108.4,3278990,-63960
14:35,25042.95,36.3,17474145,1210495,31.55,13279630,218010,16.45,29447600,1402375,61.65,11487905,670670,7.2,20375225,2163850,102.15,3313440,-29510
14:36,25045.95,40.55,17474145,1210495,30.3,13279630,218010,19.6,29447600,1402375,59.35,11487905,670670,8.95,20375225,2163850,97.95,3313440,-29510
14:37,25047.15,42.55,14584115,-1679535,28.15,14945645,1884025,20.5,27709695,-335530,56.1,11487905,670670,9.45,20375225,2163850,94.9,3313440,-29510
14:38,25071.0,59.2,14584115,-1679535,17.15,14945645,1884025,30.1,27709695,-335530,38.05,12166570,1349335,13.85,21042775,2831400,71.85,3426930,83980
14:39,25092.4,78.4,14584115,-1679535,10.85,14945645,1884025,42.9,27709695,-335530,25.65,12166570,1349335,20.5,21042775,2831400,52.95,3426930,83980
14:40,25097.55,81.4,9227725,-7035925,11.85,14945645,1884025,45.75,22415640,-5629585,26.45,17081415,6264180,22.6,17071080,-1140295,53.1,3426930,83980
14:41,25089.9,75.45,9227725,-7035925,11.5,16633630,3572010,40.7,22415640,-5629585,26.6,17081415,6264180,18.6,17071080,-1140295,54.4,4332055,989105
14:42,25105.5,90.25,9227725,-7035925,8.5,16633630,3572010,52.05,22415640,-5629585,20.25,17081415,6264180,26.1,17071080,-1140295,44.25,4332055,989105
14:43,25098.45,81.0,7981935,-8281715,8.2,19498635,6437015,43.85,21405410,-6639815,21.1,20122635,9305400,20.1,18100160,-111215,47.25,4332055,989105
14:44,25087.6,62.3,7981935,-8281715,10.1,19498635,6437015,29.1,21405410,-6639815,26.65,20122635,9305400,11.4,18100160,-111215,58.8,5117255,1774305
14:45,25108.1,88.25,7981935,-8281715,6.3,19498635,6437015,49.0,21405410,-6639815,17.05,20122635,9305400,22.65,18100160,-111215,40.7,5117255,1774305
14:46,25109.8,86.4,7395960,-8867690,4.9,20537855,7476235,46.85,21405410,-6639815,15.35,20122635,9305400,21.2,18100160,-111215,39.5,5117255,1774305
14:47,25101.2,70.8,7395960,-8867690,7.65,20537855,7476235,34.95,21078915,-6966310,21.75,22983545,12166310,13.85,18100160,-111215,50.65,6001125,2658175
14:48,25109.5,81.8,7395960,-8867690,5.55,20537855,7476235,42.9,21078915,-6966310,16.7,22983545,12166310,18.2,20043400,1832025,41.75,6001125,2658175
14:49,25115.2,84.35,7049380,-9214270,4.35,19049290,5987670,44.9,20679360,-7365865,14.6,26036075,15218840,19.25,20043400,1832025,38.95,6001125,2658175
14:50,25122.3,91.45,7049380,-9214270,2.7,19049290,5987670,50.1,20679360,-7365865,11.1,26036075,15218840,22.5,20043400,1832025,33.6,7149740,3806790
14:51,25132.25,103.6,7049380,-9214270,2.8,19049290,5987670,60.4,20679360,-7365865,9.15,26036075,15218840,28.75,21115445,2904070,27.55,7149740,3806790
14:52,25136.8,110.5,6065475,-10198175,2.25,16379415,3317795,65.85,20679360,-7365865,7.25,26036075,15218840,31.2,21115445,2904070,22.55,7149740,3806790
14:53,25137.15,110.3,6065475,-10198175,2.05,16379415,3317795,65.05,15653950,-12391275,6.45,28946060,18128825,30.8,17633265,-578110,22.05,12221950,8879000
14:54,25142.5,118.1,6065475,-10198175,1.9,16379415,3317795,72.75,15653950,-12391275,6.0,28946060,18128825,36.05,17633265,-578110,19.4,12221950,8879000
14:55,25143.55,116.75,6065475,-10198175,1.65,16379415,3317795,71.15,15653950,-12391275,5.55,28946060,18128825,34.1,17633265,-578110,18.7,12221950,8879000
14:56,25130.75,100.4,5490355,-10773295,1.95,16379415,3317795,56.7,13546715,-14498510,7.45,30970225,20152990,23.8,15454855,-2756520,24.55,15031120,11688170
14:57,25127.95,103.65,5490355,-10773295,2.35,15364050,2302430,59.6,13546715,-14498510,7.7,30970225,20152990,25.65,15454855,-2756520,23.85,15031120,11688170
14:58,25134.9,110.2,5490355,-10773295,2.25,15364050,2302430,64.9,13546715,-14498510,6.45,30970225,20152990,28.9,15454855,-2756520,20.6,15031120,11688170
14:59,25139.45,115.85,5177445,-11086205,2.0,15850055,2788435,69.35,13298350,-14746875,5.25,33307690,22490455,31.25,16830580,-1380795,17.2,16348020,13005070
15:00,25118.0,77.7,5177445,-11086205,2.05,15850055,2788435,34.6,13298350,-14746875,8.85,33307690,22490455,8.1,16830580,-1380795,32.2,16348020,13005070
15:01,25120.1,90.4,5177445,-11086205,0.9,15850055,2788435,42.95,13298350,-14746875,3.6,33307690,22490455,9.2,16830580,-1380795,19.85,16348020,13005070
