ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,25835.05,90.85,2062950,0,4.9,12026775,0,50.2,10907400,0,14.65,24806775,0,21.45,19939275,0,36.0,15142125,0
14:31,25826.7,85.8,2062950,0,4.9,13008000,981225,46.05,10907400,0,15.35,27460875,2654100,18.45,20951250,1011975,38.2,16828800,1686675
14:32,25827.75,89.75,1918950,-144000,4.2,13008000,981225,48.7,10670325,-237075,13.5,27460875,2654100,20.0,20951250,1011975,35.3,16828800,1686675
14:33,25830.25,92.65,1918950,-144000,4.2,13008000,981225,50.9,10670325,-237075,13.1,27460875,2654100,21.05,20951250,1011975,33.45,16828800,1686675
14:34,25830.95,89.4,1918950,-144000,3.75,13008000,981225,48.2,10670325,-237075,12.7,27460875,2654100,19.1,20951250,1011975,34.05,16828800,1686675
14:35,25840.15,97.35,1991250,-71700,2.75,13848600,1821825,54.15,11117475,210075,9.75,29318550,4511775,22.0,22064625,2125350,28.1,17360100,2217975
14:36,25842.0,95.1,1991250,-71700,2.7,13848600,1821825,51.15,11117475,210075,8.85,29318550,4511775,19.45,22064625,2125350,27.6,17360100,2217975
14:37,25829.15,85.0,1991250,-71700,3.5,13848600,1821825,42.95,11117475,210075,11.6,29318550,4511775,14.5,23910000,3970725,33.45,17735100,2592975
14:38,25827.8,83.3,2081175,18225,3.2,13272525,1245750,41.8,11305200,397800,11.85,29297100,4490325,13.9,23910000,3970725,34.35,17735100,2592975
14:39,25833.15,90.4,2081175,18225,2.5,13272525,1245750,46.75,11305200,397800,9.05,29297100,4490325,16.2,23910000,3970725,29.0,17735100,2592975
14:40,25842.45,99.45,1883175,-179775,2.1,13272525,1245750,53.75,10506900,-400500,6.5,29297100,4490325,19.45,24337200,4397925,22.65,18672375,3530250
14:41,25836.05,94.8,1883175,-179775,2.15,13012875,986100,50.0,10506900,-400500,7.25,30652650,5845875,17.15,24337200,4397925,24.9,18672375,3530250
14:42,25832.5,91.2,1883175,-179775,2.05,13012875,986100,46.7,10506900,-400500,7.45,30652650,5845875,15.05,24337200,4397925,26.3,18672375,3530250
14:43,25833.7,90.3,1929675,-133275,1.85,13012875,986100,45.5,10583475,-323925,7.2,32536350,7729575,14.2,24591750,4652475,26.25,18991875,3849750
14:44,25826.75,89.8,1929675,-133275,2.0,13102200,1075425,46.0,10583475,-323925,7.9,32536350,7729575,14.3,24591750,4652475,27.0,18991875,3849750
14:45,25849.7,104.15,1929675,-133275,1.3,13102200,1075425,57.2,10583475,-323925,4.4,32536350,7729575,21.1,24591750,4652475,18.65,18991875,3849750
14:46,25848.6,102.85,1929675,-133275,1.35,13102200,1075425,55.95,10004850,-902550,4.25,31913250,7106475,19.75,24177900,4238625,18.65,20040150,4898025
14:47,25840.9,91.95,1850100,-212850,1.9,12153300,126525,47.3,10004850,-902550,7.05,31913250,7106475,15.8,24177900,4238625,25.9,20040150,4898025
14:48,25827.75,88.0,1850100,-212850,2.0,12153300,126525,43.7,10004850,-902550,7.65,31913250,7106475,13.35,24177900,4238625,27.8,20040150,4898025
14:49,25817.75,77.35,2061150,-1800,2.2,12934275,907500,34.7,11931000,1023600,9.45,32723775,7917000,8.85,25836375,5897100,34.0,18206700,3064575
14:50,25816.1,78.6,2061150,-1800,2.1,12934275,907500,35.35,11931000,1023600,9.0,32723775,7917000,8.75,25836375,5897100,32.7,18206700,3064575
14:51,25835.2,90.85,2061150,-1800,1.35,12934275,907500,44.65,11931000,1023600,4.85,32723775,7917000,11.25,25836375,5897100,21.7,18206700,3064575
14:52,25837.1,92.55,1806900,-256050,1.2,12934275,907500,45.85,11931000,1023600,4.65,32900700,8093925,12.35,26108625,6169350,21.35,19561725,4419600
14:53,25832.9,94.15,1806900,-256050,1.0,12435975,409200,46.9,10629525,-277875,3.85,32900700,8093925,12.25,26108625,6169350,19.3,19561725,4419600
14:54,25834.25,90.0,1806900,-256050,0.85,12435975,409200,42.95,10629525,-277875,3.85,32900700,8093925,9.35,26108625,6169350,20.65,19561725,4419600
14:55,25837.15,99.75,1582575,-480375,0.7,12435975,409200,51.4,10629525,-277875,2.5,31547775,6741000,14.55,25266600,5327325,15.65,20762550,5620425
14:56,25853.75,111.5,1582575,-480375,0.65,10875000,-1151775,62.8,9403800,-1503600,1.65,31547775,6741000,20.55,25266600,5327325,9.55,20762550,5620425
14:57,25864.8,125.1,1582575,-480375,0.75,10875000,-1151775,76.05,9403800,-1503600,1.85,31547775,6741000,30.65,25266600,5327325,6.6,20762550,5620425
14:58,25853.1,107.9,1582575,-480375,0.55,10875000,-1151775,58.7,7761525,-3145875,1.45,31547775,6741000,15.6,19994550,55275,8.5,24523575,9381450
14:59,25850.6,107.75,1458375,-604575,0.55,9806250,-2220525,58.8,7761525,-3145875,1.5,28561125,3754350,15.9,19994550,55275,8.65,24523575,9381450
15:00,25885.6,147.7,1458375,-604575,0.3,9806250,-2220525,97.8,7761525,-3145875,0.5,28561125,3754350,48.7,19994550,55275,1.65,24523575,9381450
