ts,spot,ATM-50_CE_close,ATM-50_CE_OI,ATM-50_CE_OI_chg_vs_1430,ATM-50_PE_close,ATM-50_PE_OI,ATM-50_PE_OI_chg_vs_1430,ATM_CE_close,ATM_CE_OI,ATM_CE_OI_chg_vs_1430,ATM_PE_close,ATM_PE_OI,ATM_PE_OI_chg_vs_1430,ATM+50_CE_close,ATM+50_CE_OI,ATM+50_CE_OI_chg_vs_1430,ATM+50_PE_close,ATM+50_PE_OI,ATM+50_PE_OI_chg_vs_1430
14:30,22384.4,101.1,3537430,0,10.85,20830745,0,63.35,3668470,0,23.6,13404690,0,35.7,15063165,0,46.1,17732000,0
14:31,22395.75,109.15,3537430,0,8.6,20864480,33735,68.75,3414970,-253500,19.15,13656435,251745,39.05,15728115,664950,39.35,17567225,-164775
14:32,22390.3,102.85,3371355,-166075,8.4,20864480,33735,63.3,3414970,-253500,19.3,13656435,251745,33.8,15728115,664950,40.3,17567225,-164775
14:33,22381.65,95.0,3371355,-166075,9.95,20864480,33735,57.4,3414970,-253500,22.85,13656435,251745,30.55,15728115,664950,46.05,17567225,-164775
14:34,22362.5,79.7,3371355,-166075,13.05,20199660,-631085,45.1,3414970,-253500,29.15,13656435,251745,22.35,15728115,664950,56.4,14281865,-3450135
14:35,22361.05,74.35,4491435,954005,13.45,20199660,-631085,41.3,5922800,2254330,30.75,12857520,-547170,20.4,18731960,3668795,59.8,14281865,-3450135
14:36,22371.5,80.7,4491435,954005,10.8,20199660,-631085,45.3,5922800,2254330,25.95,12857520,-547170,22.45,18731960,3668795,53.2,14281865,-3450135
14:37,22365.95,81.7,4491435,954005,10.8,21584485,753740,46.1,6605235,2936765,26.05,14553435,1148745,23.1,18731960,3668795,53.05,14281865,-3450135
14:38,22366.0,80.8,4737395,1199965,10.6,21584485,753740,45.5,6605235,2936765,25.9,14553435,1148745,22.25,20570875,5507710,53.0,14700725,-3031275
14:39,22362.9,79.9,4737395,1199965,10.25,21584485,753740,44.65,6605235,2936765,25.45,14553435,1148745,21.55,20570875,5507710,52.6,14700725,-3031275
14:40,22365.1,80.65,4737395,1199965,10.35,22181705,1350960,45.6,6605235,2936765,25.8,14553435,1148745,22.8,21393710,6330545,53.5,14442740,-3289260
14:41,22360.3,77.5,4979000,1441570,11.15,22181705,1350960,43.1,6963060,3294590,27.2,14853670,1448980,20.75,21393710,6330545,55.25,14442740,-3289260
14:42,22371.6,88.15,4979000,1441570,8.1,22181705,1350960,50.8,6963060,3294590,21.2,14853670,1448980,25.75,21393710,6330545,46.15,14442740,-3289260
14:43,22372.65,87.1,4979000,1441570,8.55,22181705,1350960,49.95,6963060,3294590,21.9,14853670,1448980,25.1,21105500,6042335,47.35,15222220,-2509780
14:44,22366.8,81.5,4668365,1130935,9.25,22562670,1731925,45.5,6901050,3232580,23.85,15505100,2100410,22.3,21105500,6042335,50.7,15222220,-2509780
14:45,22368.55,83.0,4668365,1130935,8.7,22562670,1731925,46.55,6901050,3232580,22.85,15505100,2100410,22.6,21105500,6042335,49.1,15222220,-2509780
