expiry,status,atm,spot_at_1450,spot_at_1530,spot_move,ce_atm_at_1450,ce_atm_at_1530,pe_atm_at_1450,pe_atm_at_1530,ce_change_pct,pe_change_pct
03_OCT_24,ok,25250,25247.4,,0,,,,,,
10_OCT_24,ok,25000,25008.45,,0,12.2,,4.34,,,
17_OCT_24,ok,24750,24743.0,,0,5.5,,6.6,,,
24_OCT_24,ok,24400,24397.45,,0,3.7,,5.6,,,
31_OCT_24,ok,24200,24207.6,,0,9.65,,5.95,,,
07_NOV_24,ok,24200,24184.6,,0,3.75,,8.69,,,
14_NOV_24,ok,23550,23531.85,,0,,,,,,
21_NOV_24,ok,23350,23335.85,,0,2.2,,13.75,,,
28_NOV_24,ok,23950,23926.05,,0,15.7,,42.1,,,
05_DEC_24,ok,24750,24752.55,,0,,,,,,
12_DEC_24,ok,24550,24548.05,,0,8.25,,4.9,,,
19_DEC_24,ok,23950,23951.25,,0,,,,,,
02_SEP_25,ok,24600,24595.75,,0,19.2,,20.95,,,
09_SEP_25,ok,24850,24860.85,,0,13.6,,10.05,,,
16_SEP_25,ok,25200,25197.45,,0,11.55,,7.6,,,
23_SEP_25,ok,25200,25200.1,,0,14.25,,11.5,,,
30_SEP_25,ok,24600,24620.65,,0,31.25,,7.7,,,
07_OCT_25,ok,25150,25159.05,,0,11.65,,9.85,,,
14_OCT_25,ok,25150,25165.8,,0,20.4,,6.9,,,
20_OCT_25,ok,25800,25813.75,,0,,,,,,
28_OCT_25,ok,25800,25816.1,,0,35.35,,9.0,,,
04_NOV_25,ok,25600,25592.2,,0,18.65,,15.55,,,
11_NOV_25,ok,25700,25678.0,,0,5.25,,28.9,,,
18_NOV_25,ok,25950,25951.35,,0,11.9,,13.7,,,
25_NOV_25,ok,25950,25951.7,,0,9.6,,22.1,,,
02_DEC_25,ok,26000,26018.05,,0,24.25,,6.4,,,
09_DEC_25,ok,25800,25823.4,,0,23.85,,7.5,,,
16_DEC_25,ok,25850,25872.35,,0,31.35,,2.8,,,
23_DEC_25,ok,26150,26169.4,,0,26.9,,3.4,,,
30_DEC_25,ok,25950,25951.85,,0,16.75,,8.85,,,
06_JAN_26,ok,26150,26168.95,,0,24.0,,2.45,,,
13_JAN_26,ok,25700,25698.45,,0,18.14,,12.8,,,
20_JAN_26,ok,25350,25348.75,,0,13.9,,15.7,,,
27_JAN_26,ok,25100,25122.3,,0,50.1,,11.1,,,
03_FEB_26,ok,25750,25760.8,,0,31.5,,21.9,,,
10_FEB_26,ok,25950,25927.0,,0,4.2,,27.65,,,
17_FEB_26,ok,25700,25708.05,,0,21.6,,9.2,,,
24_FEB_26,ok,25400,25409.7,,0,25.6,,12.0,,,
02_MAR_26,ok,24850,24873.9,,0,,,,,,
10_MAR_26,ok,24250,24261.45,,0,41.05,,15.35,,,
17_MAR_26,ok,23600,23611.85,,0,31.0,,18.75,,,
24_MAR_26,ok,22900,22909.05,,0,,,,,,
30_MAR_26,ok,22350,22371.7,,0,48.1,,18.75,,,
07_APR_26,ok,23050,23056.8,,0,35.4,,18.05,,,
13_APR_26,ok,23900,23879.65,,0,,,,,,
21_APR_26,ok,24550,24558.75,,0,20.5,,7.15,,,
