expiry,entry_ts,direction,atm_strike,entry_spot,entry_premium,qty,lots,exit_ts,exit_premium,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held,ce_oi_above,pe_oi_above,oi_ratio
21_NOV_24,2024-11-21T14:50:00+05:30,PE,23350,23335.85,13.75,1430,22,2024-11-21T15:01:00+05:30,5.95,23354.05,ADVERSE_SPOT,-11297.0,-11357.0,-57.25,11,49961650,25453525,1.96
28_NOV_24,2024-11-28T15:00:00+05:30,CE,23900,23890.3,11.7,1690,26,2024-11-28T15:01:00+05:30,9.75,23893.8,ADVERSE_SPOT,-3464.5,-3524.5,-17.45,1,9255500,15176375,1.64
09_SEP_25,2025-09-09T15:00:00+05:30,CE,24850,24865.4,15.5,1235,19,2025-09-09T15:25:00+05:30,19.15,24879.15,TIME_EXIT,4384.25,4324.25,22.83,25,32917275,55743300,1.69
30_SEP_25,2025-09-30T15:00:00+05:30,PE,24650,24631.45,19.8,975,15,2025-09-30T15:25:00+05:30,37.95,24617.5,TIME_EXIT,17598.75,17538.75,90.93,25,34280175,17962275,1.91
28_OCT_25,2025-10-28T15:00:00+05:30,PE,25900,25885.6,12.65,1560,24,2025-10-28T15:01:00+05:30,6.55,25904.1,ADVERSE_SPOT,-9672.0,-9732.0,-48.82,1,32339325,11082750,2.92
04_NOV_25,2025-11-04T14:50:00+05:30,CE,25600,25592.2,18.65,1040,16,2025-11-04T14:51:00+05:30,15.8,25586.75,ADVERSE_SPOT,-3068.0,-3128.0,-15.78,1,27800250,42589350,1.53
11_NOV_25,2025-11-11T15:00:00+05:30,PE,25700,25691.3,12.05,1625,25,2025-11-11T15:03:00+05:30,7.0,25702.15,ADVERSE_SPOT,-8368.75,-8428.75,-42.56,3,53179425,23082150,2.3
25_NOV_25,2025-11-25T15:00:00+05:30,CE,25900,25894.5,5.75,3445,53,2025-11-25T15:01:00+05:30,2.0,25881.0,ADVERSE_SPOT,-13263.25,-13323.25,-66.38,1,18255750,31254600,1.71
02_DEC_25,2025-12-02T15:00:00+05:30,CE,26000,26011.85,15.0,1300,20,2025-12-02T15:25:00+05:30,32.5,26055.0,TIME_EXIT,22620.0,22560.0,115.61,25,34039650,59308650,1.74
09_DEC_25,2025-12-09T15:00:00+05:30,PE,25850,25840.25,12.15,1625,25,2025-12-09T15:25:00+05:30,10.85,25835.25,TIME_EXIT,-2275.0,-2335.0,-11.48,25,45109275,19630875,2.3
16_DEC_25,2025-12-16T15:00:00+05:30,PE,25900,25884.1,18.85,1040,16,2025-12-16T15:25:00+05:30,38.65,25854.2,TIME_EXIT,20488.0,20428.0,104.23,25,62202675,31589325,1.97
23_DEC_25,2025-12-23T15:00:00+05:30,PE,26200,26204.2,8.15,2405,37,2025-12-23T15:25:00+05:30,22.4,26170.85,TIME_EXIT,34030.75,33970.75,172.56,25,58012350,32145375,1.8
13_JAN_26,2026-01-13T15:00:00+05:30,PE,25750,25754.0,8.15,2405,37,2026-01-13T15:01:00+05:30,8.75,25751.1,ADVERSE_SPOT,1202.5,1142.5,6.1,1,39392210,10452130,3.77
20_JAN_26,2026-01-20T15:00:00+05:30,CE,25300,25287.4,11.85,1625,25,2026-01-20T15:01:00+05:30,10.0,25272.4,ADVERSE_SPOT,-3168.75,-3228.75,-16.39,1,14958450,44558605,2.98
03_FEB_26,2026-02-03T15:00:00+05:30,CE,25750,25742.25,14.75,1300,20,2026-02-03T15:01:00+05:30,13.5,25745.7,ADVERSE_SPOT,-1755.0,-1815.0,-9.12,1,12237355,24572015,2.01
10_FEB_26,2026-02-10T15:00:00+05:30,PE,25950,25943.0,14.3,1365,21,2026-02-10T15:01:00+05:30,3.2,25964.1,ADVERSE_SPOT,-15288.0,-15348.0,-78.05,1,53664845,27451060,1.95
10_MAR_26,2026-03-10T15:00:00+05:30,CE,24250,24232.5,8.1,2405,37,2026-03-10T15:01:00+05:30,4.2,24223.55,ADVERSE_SPOT,-9620.0,-9680.0,-49.08,1,16855345,28060305,1.66
07_APR_26,2026-04-07T14:50:00+05:30,PE,23050,23056.8,18.05,1105,17,2026-04-07T14:51:00+05:30,18.35,23051.5,ADVERSE_SPOT,221.0,161.0,1.1,1,22790495,13756275,1.66
21_APR_26,2026-04-21T15:00:00+05:30,PE,24600,24592.8,18.1,1040,16,2026-04-21T15:25:00+05:30,23.0,24573.55,TIME_EXIT,4992.0,4932.0,26.45,25,49688015,16384030,3.03
