expiry,entry_ts,direction,atm_strike,entry_spot,entry_premium,qty,lots,exit_ts,exit_premium,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held,ce_oi_above,pe_oi_above,oi_ratio
17_OCT_24,2024-10-17T14:50:00+05:30,PE,24750,24743.0,6.6,2990,46,2024-10-17T15:25:00+05:30,0.05,24751.65,TIME_EXIT,-19883.5,-19943.5,-100.0,35,38917150,11253450,3.46
24_OCT_24,2024-10-24T14:50:00+05:30,PE,24400,24397.45,5.6,3510,54,2024-10-24T15:25:00+05:30,0.25,24406.9,TIME_EXIT,-19129.5,-19189.5,-96.46,35,28917200,8224350,3.52
31_OCT_24,2024-10-31T14:50:00+05:30,PE,24200,24207.6,5.95,3315,51,2024-10-31T15:25:00+05:30,0.1,24210.1,TIME_EXIT,-19724.25,-19784.25,-99.17,35,28628700,8876800,3.23
07_NOV_24,2024-11-07T14:50:00+05:30,PE,24200,24184.6,8.69,2275,35,2024-11-07T15:25:00+05:30,0.3,24209.6,TIME_EXIT,-19314.75,-19374.75,-97.14,35,26327875,7522625,3.5
21_NOV_24,2024-11-21T14:50:00+05:30,PE,23350,23335.85,13.75,1430,22,2024-11-21T15:25:00+05:30,0.35,23356.1,TIME_EXIT,-19305.0,-19365.0,-97.83,35,21607225,7613525,2.84
12_DEC_24,2024-12-12T15:00:00+05:30,PE,24550,24532.65,5.7,3445,53,2024-12-12T15:25:00+05:30,0.7,24559.5,TIME_EXIT,-17569.5,-17629.5,-88.7,25,35826825,9304275,3.85
02_SEP_25,2025-09-02T15:00:00+05:30,PE,24550,24572.85,5.15,3835,59,2025-09-02T15:05:00+05:30,0.7,24580.35,ADVERSE_SPOT,-17449.25,-17509.25,-87.5,5,40958700,18573975,2.21
09_SEP_25,2025-09-09T14:50:00+05:30,PE,24850,24860.85,10.05,1950,30,2025-09-09T15:23:00+05:30,0.05,24880.6,ADVERSE_SPOT,-19695.0,-19755.0,-100.0,33,43148475,13232100,3.26
16_SEP_25,2025-09-16T14:50:00+05:30,PE,25200,25197.45,7.6,2600,40,2025-09-16T15:02:00+05:30,0.35,25233.9,ADVERSE_SPOT,-19110.0,-19170.0,-96.08,12,36261675,12310950,2.95
23_SEP_25,2025-09-23T14:50:00+05:30,PE,25200,25200.1,11.5,1690,26,2025-09-23T15:25:00+05:30,30.05,25170.15,TIME_EXIT,31180.5,31120.5,159.74,35,31445100,10316550,3.05
30_SEP_25,2025-09-30T14:50:00+05:30,PE,24600,24620.65,7.7,2535,39,2025-09-30T14:53:00+05:30,4.8,24630.7,ADVERSE_SPOT,-7605.0,-7665.0,-38.71,3,31700550,15551925,2.04
14_OCT_25,2025-10-14T14:50:00+05:30,PE,25150,25165.8,6.9,2860,44,2025-10-14T15:25:00+05:30,4.0,25126.95,TIME_EXIT,-8580.0,-8640.0,-43.17,35,45114450,12219075,3.69
28_OCT_25,2025-10-28T15:00:00+05:30,PE,25900,25885.6,12.65,1560,24,2025-10-28T15:07:00+05:30,0.9,25931.3,ADVERSE_SPOT,-18486.0,-18546.0,-93.31,7,17907300,4292100,4.17
