expiry,entry_ts,direction,atm_strike,entry_spot,entry_premium,qty,lots,exit_ts,exit_premium,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held,ce_oi_above,pe_oi_above,oi_ratio
17_OCT_24,2024-10-17T14:50:00+05:30,PE,24750,24743.0,6.6,2990,46,2024-10-17T15:08:00+05:30,1.45,24750.35,ADVERSE_SPOT,-15697.5,-15757.5,-78.95,18,38917150,11253450,3.46
24_OCT_24,2024-10-24T14:50:00+05:30,PE,24400,24397.45,5.6,3510,54,2024-10-24T14:51:00+05:30,4.55,24404.8,ADVERSE_SPOT,-4036.5,-4096.5,-20.35,1,28917200,8224350,3.52
31_OCT_24,2024-10-31T14:50:00+05:30,PE,24200,24207.6,5.95,3315,51,2024-10-31T14:51:00+05:30,5.2,24211.95,ADVERSE_SPOT,-2817.75,-2877.75,-14.17,1,28628700,8876800,3.23
07_NOV_24,2024-11-07T14:50:00+05:30,PE,24200,24184.6,8.69,2275,35,2024-11-07T14:59:00+05:30,3.25,24201.9,ADVERSE_SPOT,-12603.5,-12663.5,-63.39,9,26327875,7522625,3.5
21_NOV_24,2024-11-21T14:50:00+05:30,PE,23350,23335.85,13.75,1430,22,2024-11-21T15:01:00+05:30,5.95,23354.05,ADVERSE_SPOT,-11297.0,-11357.0,-57.25,11,21607225,7613525,2.84
12_DEC_24,2024-12-12T15:00:00+05:30,PE,24550,24532.65,5.7,3445,53,2024-12-12T15:06:00+05:30,1.2,24557.65,ADVERSE_SPOT,-15847.0,-15907.0,-80.0,6,35826825,9304275,3.85
02_SEP_25,2025-09-02T15:00:00+05:30,PE,24550,24572.85,5.15,3835,59,2025-09-02T15:01:00+05:30,4.15,24573.95,ADVERSE_SPOT,-4218.5,-4278.5,-21.15,1,40958700,18573975,2.21
09_SEP_25,2025-09-09T14:50:00+05:30,PE,24850,24860.85,10.05,1950,30,2025-09-09T14:51:00+05:30,12.55,24851.95,ADVERSE_SPOT,4680.0,4620.0,23.76,1,43148475,13232100,3.26
16_SEP_25,2025-09-16T14:50:00+05:30,PE,25200,25197.45,7.6,2600,40,2025-09-16T14:52:00+05:30,3.95,25208.0,ADVERSE_SPOT,-9750.0,-9810.0,-49.02,2,36261675,12310950,2.95
23_SEP_25,2025-09-23T14:50:00+05:30,PE,25200,25200.1,11.5,1690,26,2025-09-23T14:51:00+05:30,11.0,25200.5,ADVERSE_SPOT,-1014.0,-1074.0,-5.19,1,31445100,10316550,3.05
30_SEP_25,2025-09-30T14:50:00+05:30,PE,24600,24620.65,7.7,2535,39,2025-09-30T14:51:00+05:30,7.3,24621.9,ADVERSE_SPOT,-1267.5,-1327.5,-6.45,1,31700550,15551925,2.04
14_OCT_25,2025-10-14T14:50:00+05:30,PE,25150,25165.8,6.9,2860,44,2025-10-14T14:51:00+05:30,7.75,25164.6,ADVERSE_SPOT,2145.0,2085.0,10.79,1,45114450,12219075,3.69
28_OCT_25,2025-10-28T15:00:00+05:30,PE,25900,25885.6,12.65,1560,24,2025-10-28T15:01:00+05:30,6.55,25904.1,ADVERSE_SPOT,-9672.0,-9732.0,-48.82,1,17907300,4292100,4.17
04_NOV_25,2025-11-04T14:50:00+05:30,PE,25600,25592.2,15.55,1235,19,2025-11-04T14:52:00+05:30,10.35,25611.35,ADVERSE_SPOT,-6545.5,-6605.5,-33.97,2,45065100,15398925,2.93
11_NOV_25,2025-11-11T15:00:00+05:30,PE,25700,25691.3,12.05,1625,25,2025-11-11T15:03:00+05:30,7.0,25702.15,ADVERSE_SPOT,-8368.75,-8428.75,-42.56,3,22423125,3341400,6.71
18_NOV_25,2025-11-18T14:50:00+05:30,PE,25950,25951.35,13.7,1430,22,2025-11-18T14:51:00+05:30,12.75,25953.25,ADVERSE_SPOT,-1501.5,-1561.5,-7.64,1,54685575,16505475,3.31
02_DEC_25,2025-12-02T14:50:00+05:30,PE,26000,26018.05,6.4,3120,48,2025-12-02T14:51:00+05:30,5.95,26018.65,ADVERSE_SPOT,-1716.0,-1776.0,-8.53,1,47221800,20851500,2.26
09_DEC_25,2025-12-09T14:50:00+05:30,PE,25800,25823.4,7.5,2665,41,2025-12-09T14:51:00+05:30,7.05,25823.2,ADVERSE_SPOT,-1465.75,-1525.75,-7.28,1,40857150,20663100,1.98
16_DEC_25,2025-12-16T15:00:00+05:30,PE,25900,25884.1,18.85,1040,16,2025-12-16T15:25:00+05:30,38.65,25854.2,TIME_EXIT,20488.0,20428.0,104.23,25,24122850,6341175,3.8
23_DEC_25,2025-12-23T15:00:00+05:30,PE,26200,26204.2,8.15,2405,37,2025-12-23T15:25:00+05:30,22.4,26170.85,TIME_EXIT,34030.75,33970.75,172.56,25,19870125,5278200,3.76
30_DEC_25,2025-12-30T14:50:00+05:30,PE,25950,25951.85,8.85,2210,34,2025-12-30T14:51:00+05:30,9.15,25951.45,ADVERSE_SPOT,442.0,382.0,2.25,1,42031125,15070025,2.79
13_JAN_26,2026-01-13T14:50:00+05:30,PE,25700,25698.45,12.8,1560,24,2026-01-13T14:51:00+05:30,11.55,25701.8,ADVERSE_SPOT,-2106.0,-2166.0,-10.51,1,30937920,7290465,4.24
20_JAN_26,2026-01-20T14:50:00+05:30,PE,25350,25348.75,15.7,1235,19,2026-01-20T15:25:00+05:30,121.0,25185.6,TIME_EXIT,129922.0,129862.0,667.94,35,46666490,15518620,3.01
