expiry,spot_entry,spot_exit,spot_move,atm,ce_entry,ce_exit,pe_entry,pe_exit,ce_only_qty,pe_only_qty,straddle_qty,ce_only_pnl,pe_only_pnl,perfect_pick,perfect_pnl,straddle_pnl,capture_pct
10_OCT_24,25008.45,25011.35,2.9,25000,12.2,0.1,4.34,1.3,1625,4550,1170,-19885.0,-14347.0,PE,-14347.0,-18068.0,0.0
17_OCT_24,24743.0,24751.65,8.65,24750,5.5,0.6,6.6,0.05,3575,2990,1625,-17935.0,-19944.0,CE,-17935.0,-19051.0,0.0
24_OCT_24,24397.45,24406.9,9.45,24400,3.7,0.3,5.6,0.25,5395,3510,2145,-18942.0,-19189.0,CE,-18942.0,-19318.0,0.0
31_OCT_24,24207.6,24210.1,2.5,24200,9.65,4.05,5.95,0.1,2015,3315,1235,-11546.0,-19784.0,CE,-11546.0,-14508.0,0.0
07_NOV_24,24184.6,24209.6,25.0,24200,3.75,0.25,8.69,0.3,5330,2275,1560,-19248.0,-19375.0,CE,-19248.0,-18980.0,0.0
21_NOV_24,23335.85,23356.1,20.25,23350,2.2,0.15,13.75,0.35,9035,1430,1235,-19485.0,-19365.0,PE,-19365.0,-19448.0,0.0
28_NOV_24,23926.05,23956.65,30.6,23950,15.7,0.35,42.1,35.7,1235,455,325,-19141.0,-3017.0,PE,-3017.0,-7254.0,0.0
12_DEC_24,24548.05,24559.5,11.45,24550,8.25,0.05,4.9,0.7,2405,4030,1495,-20022.0,-17389.0,PE,-17389.0,-18957.0,0.0
02_SEP_25,24595.75,24576.4,-19.35,24600,19.2,0.05,20.95,19.05,1040,910,455,-20080.0,-1880.0,PE,-1880.0,-9789.0,0.0
09_SEP_25,24860.85,24879.15,18.3,24850,13.6,19.15,10.05,0.05,1430,1950,845,7733.0,-19755.0,CE,7733.0,-4049.0,-52.4
16_SEP_25,25197.45,25251.75,54.3,25200,11.55,38.8,7.6,0.05,1690,2600,1040,45824.0,-19950.0,CE,45824.0,20160.0,44.0
23_SEP_25,25200.1,25170.15,-29.95,25200,14.25,0.05,11.5,30.05,1365,1690,715,-19580.0,31120.0,PE,31120.0,2847.0,9.1
30_SEP_25,24620.65,24617.5,-3.15,24600,31.25,12.0,7.7,0.05,585,2535,455,-11380.0,-19706.0,CE,-11380.0,-12450.0,0.0
07_OCT_25,25159.05,25107.9,-51.15,25150,11.65,0.05,9.85,42.2,1690,2015,910,-19833.0,64924.0,PE,64924.0,18580.0,28.6
14_OCT_25,25165.8,25126.95,-38.85,25150,20.4,0.05,6.9,4.0,975,2860,715,-19999.0,-8640.0,PE,-8640.0,-16887.0,0.0
