expiry,entry_ts,atm_strike,entry_spot,ce_entry,pe_entry,combined_entry,lots,qty,exit_ts,ce_exit,pe_exit,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held
04_OCT_24,2024-10-04T14:50:00+05:30,81700,81680.65,38.5,33.65,72.15,13,260,2024-10-04T15:25:00+05:30,2.85,9.25,81803.12,TIME_EXIT,-15665.0,-15785.0,-83.39,35
11_OCT_24,2024-10-11T14:50:00+05:30,81400,81386.74,23.85,15.0,38.85,25,500,2024-10-11T15:25:00+05:30,0.3,14.85,81437.97,TIME_EXIT,-11950.0,-12070.0,-61.36,35
18_OCT_24,2024-10-18T14:50:00+05:30,81300,81339.52,22.6,16.8,39.4,25,500,2024-10-18T15:07:00+05:30,1.85,63.8,81205.27,TP,13025.0,12905.0,65.95,17
31_OCT_24,2024-10-31T14:50:00+05:30,79400,79406.48,36.7,33.29,69.99,14,280,2024-10-31T15:25:00+05:30,0.95,10.65,79426.83,TIME_EXIT,-16405.2,-16525.2,-83.59,35
08_NOV_24,2024-11-08T14:50:00+05:30,79500,79497.8,14.4,25.95,40.35,24,480,2024-11-08T15:25:00+05:30,0.1,11.8,79397.8,TIME_EXIT,-13752.0,-13872.0,-70.83,35
29_NOV_24,2024-11-29T14:50:00+05:30,79800,79839.58,47.1,23.8,70.9,14,280,2024-11-29T15:25:00+05:30,2.4,1.7,79735.89,TIME_EXIT,-18760.0,-18880.0,-94.37,35
06_DEC_24,2024-12-06T14:50:00+05:30,81700,81697.83,30.3,24.85,55.15,18,360,2024-12-06T15:25:00+05:30,8.44,0.35,81660.38,TIME_EXIT,-16761.6,-16881.6,-84.27,35
13_DEC_24,2024-12-13T15:00:00+05:30,82000,82037.11,43.6,18.6,62.2,16,320,2024-12-13T15:06:00+05:30,96.3,5.3,82125.45,TP,12544.0,12424.0,62.92,6
27_DEC_24,2024-12-27T14:50:00+05:30,78700,78698.61,34.85,24.25,59.1,16,320,2024-12-27T15:25:00+05:30,1.4,3.8,78761.75,TIME_EXIT,-17312.0,-17432.0,-91.39,35
03_JAN_25,2025-01-03T15:00:00+05:30,79300,79288.33,30.6,26.25,56.85,17,340,2025-01-03T15:07:00+05:30,6.3,79.59,79176.61,TP,9805.6,9685.6,50.64,7
07_JAN_25,2025-01-07T14:50:00+05:30,78100,78112.36,42.7,24.25,66.95,14,280,2025-01-07T15:00:00+05:30,112.8,3.7,78239.02,TP,13818.0,13698.0,73.6,10
14_JAN_25,2025-01-14T14:50:00+05:30,76500,76531.0,35.6,10.5,46.1,21,420,2025-01-14T15:25:00+05:30,2.95,0.9,76588.09,TIME_EXIT,-17829.0,-17949.0,-91.88,35
11_MAR_25,2025-03-11T14:50:00+05:30,74100,74094.21,15.95,20.6,36.55,27,540,2025-03-11T15:25:00+05:30,4.05,0.5,74132.26,TIME_EXIT,-17388.0,-17508.0,-87.86,35
18_MAR_25,2025-03-18T14:50:00+05:30,75200,75167.74,22.35,49.2,71.55,13,260,2025-03-18T15:25:00+05:30,104.7,0.1,75352.15,TIME_EXIT,8593.0,8473.0,46.13,35
01_APR_25,2025-04-01T15:00:00+05:30,76000,76029.85,31.15,18.2,49.35,20,400,2025-04-01T15:25:00+05:30,19.8,0.1,76072.93,TIME_EXIT,-11860.0,-11980.0,-59.96,25
15_APR_25,2025-04-15T15:00:00+05:30,76700,76695.82,11.7,11.35,23.05,43,860,2025-04-15T15:25:00+05:30,28.05,0.05,76796.41,TIME_EXIT,4171.0,4051.0,20.95,25
29_APR_25,2025-04-29T15:00:00+05:30,80300,80319.58,15.75,13.75,29.5,33,660,2025-04-29T15:25:00+05:30,0.35,10.3,80291.17,TIME_EXIT,-12573.0,-12693.0,-64.36,25
06_MAY_25,2025-05-06T14:50:00+05:30,80600,80605.41,29.95,17.65,47.6,21,420,2025-05-06T15:01:00+05:30,82.4,6.15,80678.8,TP,17115.0,16995.0,85.43,11
