date,ts,tactic,direction,blocked_by,blocker_detail,hypothetical_strike,hypothetical_entry_premium,hypothetical_exit_premium,hypothetical_pnl,hypothetical_outcome,hypothetical_explanation,sl_pct,tp_pct,time_stop_min,poll_count,regime,spot,vix_level,focus_pcr,state_snapshot_json
2026-05-08,2026-05-08T10:07:49.934757+05:30,ief,CE,enough_history,history bars 10 >= 25,77300,795.4,782.0,-328.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.795 -> Rs.782, P&L Rs.-328; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77398.59,13.5,1.0233980753432697,"{""spot"": 77398.59, ""vwap"": 77398.59, ""ema9_5m"": 77404.65505622016, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0233980753432697, ""ce_oi_change"": 1218120.0, ""pe_oi_change"": 1050060.0}"
2026-05-08,2026-05-08T10:07:49.934757+05:30,ief,PE,enough_history,history bars 10 >= 25,77500,717.15,683.05,-742.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.717 -> Rs.683, P&L Rs.-742; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77398.59,13.5,1.0233980753432697,"{""spot"": 77398.59, ""vwap"": 77398.59, ""ema9_5m"": 77404.65505622016, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0233980753432697, ""ce_oi_change"": 1218120.0, ""pe_oi_change"": 1050060.0}"
2026-05-08,2026-05-08T10:13:01.120298+05:30,ief,CE,enough_history,history bars 11 >= 25,77300,769.85,753.15,-394.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.770 -> Rs.753, P&L Rs.-394; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77356.9,13.5,1.049626568051628,"{""spot"": 77356.9, ""vwap"": 77356.9, ""ema9_5m"": 77404.56404497613, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.049626568051628, ""ce_oi_change"": 1233860.0, ""pe_oi_change"": 1102340.0}"
2026-05-08,2026-05-08T10:13:01.120298+05:30,ief,PE,enough_history,history bars 11 >= 25,77500,738.0,716.8,-484.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.738 -> Rs.717, P&L Rs.-484; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77356.9,13.5,1.049626568051628,"{""spot"": 77356.9, ""vwap"": 77356.9, ""ema9_5m"": 77404.56404497613, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.049626568051628, ""ce_oi_change"": 1233860.0, ""pe_oi_change"": 1102340.0}"
2026-05-08,2026-05-08T10:14:03.010582+05:30,ief,CE,enough_history,history bars 11 >= 25,77200,818.45,806.7,-295.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.818 -> Rs.807, P&L Rs.-295; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77340.8,13.5,1.3714910414251544,"{""spot"": 77340.8, ""vwap"": 77340.8, ""ema9_5m"": 77404.56404497613, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.3714910414251544, ""ce_oi_change"": 1116280.0, ""pe_oi_change"": 1377400.0}"
2026-05-08,2026-05-08T10:14:03.010582+05:30,ief,PE,enough_history,history bars 11 >= 25,77400,689.0,666.6,-508.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.689 -> Rs.667, P&L Rs.-508; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77340.8,13.5,1.3714910414251544,"{""spot"": 77340.8, ""vwap"": 77340.8, ""ema9_5m"": 77404.56404497613, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.3714910414251544, ""ce_oi_change"": 1116280.0, ""pe_oi_change"": 1377400.0}"
2026-05-08,2026-05-08T10:37:49.209964+05:30,ief,CE,enough_history,history bars 16 >= 25,77400,819.0,678.6,-2868.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.819 -> Rs.679, P&L Rs.-2,868; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77528.15,13.5,1.0755460855363888,"{""spot"": 77528.15, ""vwap"": 77528.15, ""ema9_5m"": 77460.98410945779, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0755460855363888, ""ce_oi_change"": 1357420.0, ""pe_oi_change"": 1274780.0}"
2026-05-08,2026-05-08T10:37:49.209964+05:30,ief,PE,enough_history,history bars 16 >= 25,77600,680.0,791.1,2162.0,WIN,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.680 -> Rs.791, P&L Rs.+2,162; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77528.15,13.5,1.0755460855363888,"{""spot"": 77528.15, ""vwap"": 77528.15, ""ema9_5m"": 77460.98410945779, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0755460855363888, ""ce_oi_change"": 1357420.0, ""pe_oi_change"": 1274780.0}"
2026-05-08,2026-05-08T10:42:52.298851+05:30,ief,CE,enough_history,history bars 17 >= 25,77400,818.45,667.75,-3074.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.818 -> Rs.668, P&L Rs.-3,074; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77526.78,13.5,1.0798410312587572,"{""spot"": 77526.78, ""vwap"": 77526.78, ""ema9_5m"": 77473.46328756624, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0798410312587572, ""ce_oi_change"": 1360020.0, ""pe_oi_change"": 1284320.0}"
2026-05-08,2026-05-08T10:42:52.298851+05:30,ief,PE,enough_history,history bars 17 >= 25,77600,678.3,796.2,2298.0,WIN,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.678 -> Rs.796, P&L Rs.+2,298; SL -30% / TP +50% / time 120m).",0.3,0.5,120,117,RANGE,77526.78,13.5,1.0798410312587572,"{""spot"": 77526.78, ""vwap"": 77526.78, ""ema9_5m"": 77473.46328756624, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0798410312587572, ""ce_oi_change"": 1360020.0, ""pe_oi_change"": 1284320.0}"
