date,ts,tactic,direction,blocked_by,blocker_detail,hypothetical_strike,hypothetical_entry_premium,hypothetical_exit_premium,hypothetical_pnl,hypothetical_outcome,hypothetical_explanation,sl_pct,tp_pct,time_stop_min,poll_count,regime,spot,vix_level,focus_pcr,state_snapshot_json
2026-05-22,2026-05-22T10:01:00.172212+05:30,ief,CE,enough_history,history bars 9 >= 10,75500,673.85,709.9,661.0,WIN,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.674 -> Rs.710, P&L Rs.+661; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75624.71,13.5,1.1950901923306654,"{""spot"": 75624.71, ""vwap"": 75624.71, ""ema9_5m"": 75544.92648775682, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.1950901923306654, ""ce_oi_change"": 809140.0, ""pe_oi_change"": 1509280.0}"
2026-05-22,2026-05-22T10:01:00.172212+05:30,ief,PE,enough_history,history bars 9 >= 10,75700,598.35,531.6,-1395.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.598 -> Rs.532, P&L Rs.-1,395; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75624.71,13.5,1.1950901923306654,"{""spot"": 75624.71, ""vwap"": 75624.71, ""ema9_5m"": 75544.92648775682, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.1950901923306654, ""ce_oi_change"": 809140.0, ""pe_oi_change"": 1509280.0}"
2026-05-22,2026-05-22T10:03:04.396583+05:30,ief,CE,enough_history,history bars 9 >= 10,75600,628.8,630.25,-31.0,BREAKEVEN,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.629 -> Rs.630, P&L Rs.-31; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75650.78,13.5,0.9684186090681749,"{""spot"": 75650.78, ""vwap"": 75650.78, ""ema9_5m"": 75544.92648775682, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.9684186090681749, ""ce_oi_change"": 907640.0, ""pe_oi_change"": 1344260.0}"
2026-05-22,2026-05-22T10:03:04.396583+05:30,ief,PE,enough_history,history bars 9 >= 10,75800,645.7,589.35,-1187.0,LOSS,"If the enough_history gate had allowed entry, the trade would have hit EOD (premium Rs.646 -> Rs.589, P&L Rs.-1,187; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75650.78,13.5,0.9684186090681749,"{""spot"": 75650.78, ""vwap"": 75650.78, ""ema9_5m"": 75544.92648775682, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.9684186090681749, ""ce_oi_change"": 907640.0, ""pe_oi_change"": 1344260.0}"
2026-05-22,2026-05-22T10:05:09.075999+05:30,ief,CE,choch_present,value=no threshold=yes,75500,676.4,682.0,52.0,BREAKEVEN,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.676 -> Rs.682, P&L Rs.+52; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75627.0,13.5,1.2293373222214308,"{""spot"": 75627.0, ""vwap"": 75627.0, ""ema9_5m"": 75561.34119020545, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.2293373222214308, ""ce_oi_change"": 819620.0, ""pe_oi_change"": 1579500.0}"
2026-05-22,2026-05-22T10:05:09.075999+05:30,ief,PE,choch_present,value=no threshold=yes,75700,602.85,548.7,-1143.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.603 -> Rs.549, P&L Rs.-1,143; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75627.0,13.5,1.2293373222214308,"{""spot"": 75627.0, ""vwap"": 75627.0, ""ema9_5m"": 75561.34119020545, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.2293373222214308, ""ce_oi_change"": 819620.0, ""pe_oi_change"": 1579500.0}"
2026-05-22,2026-05-22T10:09:16.897469+05:30,ief,CE,choch_present,value=no threshold=yes,75600,643.45,636.05,-208.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.643 -> Rs.636, P&L Rs.-208; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75659.68,13.5,0.9503367436121536,"{""spot"": 75659.68, ""vwap"": 75659.68, ""ema9_5m"": 75561.34119020545, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.9503367436121536, ""ce_oi_change"": 957320.0, ""pe_oi_change"": 1357200.0}"
2026-05-22,2026-05-22T10:09:16.897469+05:30,ief,PE,choch_present,value=no threshold=yes,75800,621.7,588.65,-721.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.622 -> Rs.589, P&L Rs.-721; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75659.68,13.5,0.9503367436121536,"{""spot"": 75659.68, ""vwap"": 75659.68, ""ema9_5m"": 75561.34119020545, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 0.9503367436121536, ""ce_oi_change"": 957320.0, ""pe_oi_change"": 1357200.0}"
2026-05-22,2026-05-22T10:14:27.476359+05:30,ief,CE,choch_present,value=no threshold=yes,75600,664.7,653.6,-282.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.665 -> Rs.654, P&L Rs.-282; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75710.57,13.5,1.0234293138857453,"{""spot"": 75710.57, ""vwap"": 75710.57, ""ema9_5m"": 75582.83095216437, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0234293138857453, ""ce_oi_change"": 920940.0, ""pe_oi_change"": 1462140.0}"
2026-05-22,2026-05-22T10:14:27.476359+05:30,ief,PE,choch_present,value=no threshold=yes,75800,612.05,573.5,-831.0,LOSS,"If the choch_present gate had allowed entry, the trade would have hit EOD (premium Rs.612 -> Rs.574, P&L Rs.-831; SL -30% / TP +50% / time 120m).",0.3,0.5,120,103,RANGE,75710.57,13.5,1.0234293138857453,"{""spot"": 75710.57, ""vwap"": 75710.57, ""ema9_5m"": 75582.83095216437, ""vix_level"": 13.5, ""regime"": ""RANGE"", ""focus_pcr"": 1.0234293138857453, ""ce_oi_change"": 920940.0, ""pe_oi_change"": 1462140.0}"
