trade_date,expiry,dte,vix_close,vix_regime,spot_at_0930,spot_at_1525,spot_move,atm,ce_at_0930,pe_at_0930,straddle_in,straddle_peak,straddle_peak_ts,straddle_trough,straddle_out,lots,qty,pnl_hold_to_1525,pnl_peak_exit,peak_uplift_pct
2024-09-23,03_OCT_24,10,13.8,Normal,25897.5,25931.6,34.1,25900,236.15,206.0,442.15,453.44,09:52,406.3,413.0,0,0,0,0,2.6
2024-09-24,03_OCT_24,9,13.36,Normal,25930.0,25950.25,20.25,25950,207.0,195.0,402.0,410.75,09:46,377.0,378.8,0,0,0,0,2.2
2024-09-25,03_OCT_24,8,12.41,Normal,25940.05,26015.85,75.8,25950,188.15,175.1,363.25,363.9,09:31,335.65,337.2,0,0,0,0,0.2
2024-09-26,03_OCT_24,7,11.84,Low,26043.7,26203.4,159.7,26050,178.2,142.5,320.7,362.2,14:50,311.0,323.9,0,0,0,0,12.9
2024-09-27,03_OCT_24,6,11.93,Low,26219.5,26161.95,-57.55,26200,165.3,127.5,292.8,300.95,09:50,252.89,252.89,1,65,-2720,403,2.8
2024-09-30,03_OCT_24,3,12.81,Normal,26039.15,25802.7,-236.45,26050,140.55,103.25,243.8,334.5,14:45,237.5,293.65,1,65,3113,5769,37.2
2024-10-01,03_OCT_24,2,11.97,Low,25836.8,25806.65,-30.15,25850,108.95,98.8,207.75,215.34,10:35,145.0,145.0,1,65,-4205,366,3.7
2024-10-04,10_OCT_24,6,14.0,Normal,25122.3,25041.85,-80.45,25100,272.89,149.5,422.39,554.35,12:26,359.15,359.15,0,0,0,0,31.2
2024-10-07,10_OCT_24,3,14.99,Normal,25072.2,24822.9,-249.3,25050,207.85,146.85,354.7,466.95,13:49,342.4,362.7,0,0,0,0,31.6
2024-10-08,10_OCT_24,2,14.66,Normal,24820.25,25035.6,215.35,24800,206.2,163.69,369.89,370.55,09:57,299.45,330.7,0,0,0,0,0.2
2024-10-09,10_OCT_24,1,14.09,Normal,25047.3,25015.35,-31.95,25050,106.1,145.55,251.65,262.24,09:46,171.8,174.35,1,65,-5151,561,4.2
2024-10-10,10_OCT_24,0,13.47,Normal,25057.75,25011.35,-46.4,25050,65.15,71.8,136.95,141.55,09:33,39.6,51.35,2,130,-11260,465,3.4
2024-10-11,17_OCT_24,6,13.33,Normal,24982.65,24975.6,-7.05,25000,166.85,153.0,319.85,321.85,09:31,279.85,286.3,0,0,0,0,0.6
2024-10-14,17_OCT_24,3,12.93,Normal,25048.0,25137.6,89.6,25050,127.15,129.1,256.25,269.55,10:00,234.03,239.99,1,65,-1183,738,5.2
2024-10-15,17_OCT_24,2,12.93,Normal,25171.55,25075.25,-96.3,25150,112.65,86.7,199.35,260.1,10:30,198.84,205.9,1,65,299,3822,30.5
2024-10-16,17_OCT_24,1,13.09,Normal,25027.5,24959.3,-68.2,25050,73.7,95.2,168.9,209.95,11:48,133.6,144.24,1,65,-1729,2541,24.3
2024-10-17,17_OCT_24,0,13.43,Normal,24933.95,24751.65,-182.3,24950,42.9,65.8,108.7,204.4,14:47,101.95,199.2,2,130,11632,12308,88.0
2024-10-18,24_OCT_24,6,12.96,Normal,24616.0,24875.55,259.55,24600,198.1,148.65,346.75,432.55,13:46,330.05,397.85,0,0,0,0,24.7
2024-10-21,24_OCT_24,3,13.88,Normal,24889.3,24762.55,-126.75,24900,119.05,137.0,256.05,337.5,09:51,243.34,274.6,1,65,1079,5167,31.8
2024-10-22,24_OCT_24,2,14.34,Normal,24808.1,24481.3,-326.8,24800,115.35,106.75,222.1,376.5,15:12,211.75,355.6,1,65,8550,9909,69.5
2024-10-23,24_OCT_24,1,14.59,Normal,24477.6,24429.95,-47.65,24500,113.0,116.0,229.0,251.85,09:41,155.55,161.05,1,65,-4543,1358,10.0
2024-10-24,24_OCT_24,0,13.92,Normal,24418.25,24406.9,-11.35,24400,64.75,52.45,117.2,127.15,09:40,0.45,0.55,2,130,-15297,1160,8.5
2024-10-25,31_OCT_24,6,14.53,Normal,24402.5,24223.25,-179.25,24400,168.55,139.6,308.15,419.25,14:23,308.15,324.35,0,0,0,0,36.1
