expiry_date,weekday,phase_rule,shifted_from_holiday,regular_day_was
2024-05-10,Friday,Friday-weekly,False,
2024-05-17,Friday,Friday-weekly,False,
2024-05-24,Friday,Friday-weekly,False,
2024-05-31,Friday,Friday-weekly,False,
2024-06-07,Friday,Friday-weekly,False,
2024-06-14,Friday,Friday-weekly,False,
2024-06-21,Friday,Friday-weekly,False,
2024-06-28,Friday,Friday-weekly,False,
2024-07-05,Friday,Friday-weekly,False,
2024-07-12,Friday,Friday-weekly,False,
2024-07-19,Friday,Friday-weekly,False,
2024-07-26,Friday,Friday-weekly,False,
2024-08-02,Friday,Friday-weekly,False,
2024-08-09,Friday,Friday-weekly,False,
2024-08-16,Friday,Friday-weekly,False,
2024-08-23,Friday,Friday-weekly,False,
2024-08-30,Friday,Friday-weekly,False,
2024-09-06,Friday,Friday-weekly,False,
2024-09-13,Friday,Friday-weekly,False,
2024-09-20,Friday,Friday-weekly,False,
2024-09-27,Friday,Friday-weekly,False,
2024-10-04,Friday,Friday-weekly,False,
2024-10-11,Friday,Friday-weekly,False,
2024-10-18,Friday,Friday-weekly,False,
2024-10-25,Friday,Friday-weekly,False,
2024-10-31,Thursday,Friday-weekly,True,2024-11-01
2024-11-08,Friday,Friday-weekly,False,
2024-11-14,Thursday,Friday-weekly,True,2024-11-15
2024-11-26,Tuesday,Tuesday-weekly,False,
2024-12-03,Tuesday,Tuesday-weekly,False,
2024-12-10,Tuesday,Tuesday-weekly,False,
2024-12-17,Tuesday,Tuesday-weekly,False,
2024-12-24,Tuesday,Tuesday-weekly,False,
2024-12-31,Tuesday,Tuesday-weekly,False,
2025-01-07,Tuesday,Tuesday-weekly,False,
2025-01-14,Tuesday,Tuesday-weekly,False,
2025-01-21,Tuesday,Tuesday-weekly,False,
2025-01-28,Tuesday,Tuesday-weekly,False,
2025-02-04,Tuesday,Tuesday-weekly,False,
2025-02-11,Tuesday,Tuesday-weekly,False,
2025-02-18,Tuesday,Tuesday-weekly,False,
2025-02-25,Tuesday,Tuesday-weekly,False,
2025-03-04,Tuesday,Tuesday-weekly,False,
2025-03-11,Tuesday,Tuesday-weekly,False,
2025-03-18,Tuesday,Tuesday-weekly,False,
2025-03-25,Tuesday,Tuesday-weekly,False,
2025-04-01,Tuesday,Tuesday-weekly,False,
2025-04-08,Tuesday,Tuesday-weekly,False,
2025-04-15,Tuesday,Tuesday-weekly,False,
2025-04-22,Tuesday,Tuesday-weekly,False,
2025-04-29,Tuesday,Tuesday-weekly,False,
2025-05-06,Tuesday,Tuesday-weekly,False,
2025-05-13,Tuesday,Tuesday-weekly,False,
2025-05-20,Tuesday,Tuesday-weekly,False,
2025-05-27,Tuesday,Tuesday-weekly,False,
2025-06-03,Tuesday,Tuesday-weekly,False,
2025-06-10,Tuesday,Tuesday-weekly,False,
2025-06-17,Tuesday,Tuesday-weekly,False,
2025-06-24,Tuesday,Tuesday-weekly,False,
2025-07-01,Tuesday,Tuesday-weekly,False,
2025-07-08,Tuesday,Tuesday-weekly,False,
2025-07-15,Tuesday,Tuesday-weekly,False,
2025-07-22,Tuesday,Tuesday-weekly,False,
2025-07-29,Tuesday,Tuesday-weekly,False,
2025-08-05,Tuesday,Tuesday-weekly,False,
2025-08-12,Tuesday,Tuesday-weekly,False,
2025-08-19,Tuesday,Tuesday-weekly,False,
2025-08-26,Tuesday,Tuesday-weekly,False,
2025-09-04,Thursday,Thursday-weekly,False,
2025-09-11,Thursday,Thursday-weekly,False,
2025-09-18,Thursday,Thursday-weekly,False,
2025-09-25,Thursday,Thursday-weekly,False,
2025-10-01,Wednesday,Thursday-weekly,True,2025-10-02
2025-10-09,Thursday,Thursday-weekly,False,
2025-10-16,Thursday,Thursday-weekly,False,
2025-10-23,Thursday,Thursday-weekly,False,
2025-10-30,Thursday,Thursday-weekly,False,
2025-11-06,Thursday,Thursday-weekly,False,
2025-11-13,Thursday,Thursday-weekly,False,
2025-11-20,Thursday,Thursday-weekly,False,
2025-11-27,Thursday,Thursday-weekly,False,
2025-12-04,Thursday,Thursday-weekly,False,
2025-12-11,Thursday,Thursday-weekly,False,
2025-12-18,Thursday,Thursday-weekly,False,
2025-12-24,Wednesday,Thursday-weekly,True,2025-12-25
2026-01-01,Thursday,Thursday-weekly,False,
2026-01-08,Thursday,Thursday-weekly,False,
2026-01-15,Thursday,Thursday-weekly,False,
2026-01-22,Thursday,Thursday-weekly,False,
2026-01-29,Thursday,Thursday-weekly,False,
2026-02-05,Thursday,Thursday-weekly,False,
2026-02-12,Thursday,Thursday-weekly,False,
2026-02-19,Thursday,Thursday-weekly,False,
2026-02-26,Thursday,Thursday-weekly,False,
2026-03-05,Thursday,Thursday-weekly,False,
2026-03-12,Thursday,Thursday-weekly,False,
2026-03-19,Thursday,Thursday-weekly,False,
2026-03-26,Thursday,Thursday-weekly,False,
2026-04-02,Thursday,Thursday-weekly,False,
2026-04-09,Thursday,Thursday-weekly,False,
2026-04-16,Thursday,Thursday-weekly,False,
2026-04-23,Thursday,Thursday-weekly,False,
2026-04-30,Thursday,Thursday-weekly,False,
