ts,spot,atm_frozen_at_1450,ATM-2_K78300_CE_close,ATM-2_K78300_CE_OI,ATM-2_K78300_CE_OI_chg_vs_1430,ATM-2_K78300_PE_close,ATM-2_K78300_PE_OI,ATM-2_K78300_PE_OI_chg_vs_1430,ATM-1_K78400_CE_close,ATM-1_K78400_CE_OI,ATM-1_K78400_CE_OI_chg_vs_1430,ATM-1_K78400_PE_close,ATM-1_K78400_PE_OI,ATM-1_K78400_PE_OI_chg_vs_1430,ATM_K78500_CE_close,ATM_K78500_CE_OI,ATM_K78500_CE_OI_chg_vs_1430,ATM_K78500_PE_close,ATM_K78500_PE_OI,ATM_K78500_PE_OI_chg_vs_1430,ATM+1_K78600_CE_close,ATM+1_K78600_CE_OI,ATM+1_K78600_CE_OI_chg_vs_1430,ATM+1_K78600_PE_close,ATM+1_K78600_PE_OI,ATM+1_K78600_PE_OI_chg_vs_1430,ATM+2_K78700_CE_close,ATM+2_K78700_CE_OI,ATM+2_K78700_CE_OI_chg_vs_1430,ATM+2_K78700_PE_close,ATM+2_K78700_PE_OI,ATM+2_K78700_PE_OI_chg_vs_1430
14:30,78280.67,78500,224.5,778440,0,220.4,549110,0,168.05,809220,0,267.55,330540,0,130.15,1808320,0,323.89,327260,0,94.25,1277500,0,391.1,126660,0,63.85,924020,0,462.45,99060,0
14:31,78281.02,78500,220.85,778440,0,202.15,549110,0,171.75,809220,0,253.35,330540,0,127.15,1808320,0,308.75,327260,0,93.75,1277500,0,374.95,126660,0,64.84,924020,0,450.55,99060,0
14:32,78286.23,78500,195.4,778440,0,212.7,549110,0,147.6,809220,0,265.0,330540,0,110.0,1808320,0,327.5,327260,0,80.34,1277500,0,395.05,126660,0,55.25,924020,0,472.6,99060,0
14:33,78252.57,78500,167.55,738660,-39780,221.95,517680,-31430,120.55,784160,-25060,278.55,336820,6280,86.35,1837940,29620,342.4,321000,-6260,61.4,1266720,-10780,416.1,148140,21480,40.45,921560,-2460,500.7,94500,-4560
14:34,78259.63,78500,151.25,738660,-39780,203.7,517680,-31430,110.45,784160,-25060,260.7,336820,6280,78.34,1837940,29620,329.45,321000,-6260,53.15,1266720,-10780,405.95,148140,21480,34.1,921560,-2460,484.25,94500,-4560
14:35,78271.3,78500,142.44,738660,-39780,157.25,517680,-31430,97.15,784160,-25060,211.9,336820,6280,65.5,1837940,29620,281.5,321000,-6260,43.75,1266720,-10780,359.2,148140,21480,27.05,921560,-2460,446.15,94500,-4560
14:36,78308.21,78500,177.95,912340,133900,144.8,758060,208950,130.05,828140,18920,192.8,454260,123720,90.2,1925480,117160,256.05,405500,78240,63.55,1389520,112020,324.39,167040,40380,39.79,1015120,91100,404.5,101600,2540
14:37,78362.16,78500,206.25,912340,133900,115.75,758060,208950,151.19,828140,18920,160.6,454260,123720,108.1,1925480,117160,216.15,405500,78240,75.3,1389520,112020,282.2,167040,40380,49.6,1015120,91100,358.35,101600,2540
14:38,78356.21,78500,188.4,912340,133900,129.6,758060,208950,137.85,828140,18920,177.3,454260,123720,95.45,1925480,117160,236.5,405500,78240,65.09,1389520,112020,304.3,167040,40380,41.8,1015120,91100,383.05,101600,2540
14:39,78373.69,78500,194.8,964000,185560,124.15,969000,419890,142.4,871240,62020,172.8,562420,231880,101.5,1949580,141260,234.6,506760,179500,69.2,1416080,138580,298.25,163140,36480,45.05,1076140,152120,372.8,118900,19840
14:40,78388.68,78500,206.8,964000,185560,129.69,969000,419890,156.55,871240,62020,175.9,562420,231880,111.25,1949580,141260,234.95,506760,179500,78.3,1416080,138580,300.0,163140,36480,51.7,1076140,152120,371.45,118900,19840
14:41,78396.89,78500,219.85,964000,185560,108.45,969000,419890,160.94,871240,62020,151.4,562420,231880,116.05,1949580,141260,202.85,506760,179500,80.4,1416080,138580,265.5,163140,36480,51.9,1076140,152120,341.25,118900,19840
14:42,78383.52,78500,194.55,1026800,248360,109.6,1095880,546770,140.3,1005240,196020,158.8,689740,359200,97.25,2060120,251800,215.45,576020,248760,66.65,1463960,186460,281.1,194240,67580,41.6,1174300,250280,355.75,119080,20020
14:43,78389.51,78500,183.8,1026800,248360,92.05,1095880,546770,128.5,1005240,196020,133.8,689740,359200,83.5,2060120,251800,189.65,576020,248760,55.9,1463960,186460,260.85,194240,67580,32.79,1174300,250280,341.15,119080,20020
14:44,78383.38,78500,177.75,1026800,248360,94.05,1095880,546770,116.0,1005240,196020,137.75,689740,359200,74.84,2060120,251800,197.8,576020,248760,46.7,1463960,186460,270.89,194240,67580,27.15,1174300,250280,350.15,119080,20020
14:45,78350.21,78500,135.05,993560,215120,124.55,1136720,587610,86.15,995820,186600,172.1,801880,471340,53.0,2066900,258580,241.65,648060,320800,31.3,1508200,230700,316.35,234520,107860,17.35,1242260,318240,406.45,132320,33260
14:46,78387.57,78500,179.65,993560,215120,68.75,1136720,587610,113.5,995820,186600,106.85,801880,471340,70.09,2066900,258580,164.25,648060,320800,41.4,1508200,230700,234.9,234520,107860,24.0,1242260,318240,318.75,132320,33260
14:47,78447.76,78500,226.15,993560,215120,57.75,1136720,587610,159.85,995820,186600,87.9,801880,471340,109.0,2066900,258580,136.4,648060,320800,64.84,1508200,230700,197.6,234520,107860,38.9,1242260,318240,268.89,132320,33260
14:48,78458.5,78500,215.45,966300,187860,42.1,1442500,893390,143.0,1173800,364580,70.55,1018860,688320,93.0,2172560,364240,116.4,681520,354260,53.65,1584980,307480,179.45,245280,118620,28.0,1337040,413020,257.1,145420,46360
