ts,spot,atm_frozen_at_1450,ATM-2_K77900_CE_close,ATM-2_K77900_CE_OI,ATM-2_K77900_CE_OI_chg_vs_1430,ATM-2_K77900_PE_close,ATM-2_K77900_PE_OI,ATM-2_K77900_PE_OI_chg_vs_1430,ATM-1_K78000_CE_close,ATM-1_K78000_CE_OI,ATM-1_K78000_CE_OI_chg_vs_1430,ATM-1_K78000_PE_close,ATM-1_K78000_PE_OI,ATM-1_K78000_PE_OI_chg_vs_1430,ATM_K78100_CE_close,ATM_K78100_CE_OI,ATM_K78100_CE_OI_chg_vs_1430,ATM_K78100_PE_close,ATM_K78100_PE_OI,ATM_K78100_PE_OI_chg_vs_1430,ATM+1_K78200_CE_close,ATM+1_K78200_CE_OI,ATM+1_K78200_CE_OI_chg_vs_1430,ATM+1_K78200_PE_close,ATM+1_K78200_PE_OI,ATM+1_K78200_PE_OI_chg_vs_1430,ATM+2_K78300_CE_close,ATM+2_K78300_CE_OI,ATM+2_K78300_CE_OI_chg_vs_1430,ATM+2_K78300_PE_close,ATM+2_K78300_PE_OI,ATM+2_K78300_PE_OI_chg_vs_1430
14:30,77992.52,78100,175.7,3734880,0,42.75,4217820,0,112.1,9233720,0,77.9,3528140,0,65.2,5566460,0,131.4,802220,0,38.55,7275500,0,204.25,1020100,0,22.4,6205600,0,286.05,536980,0
14:31,78042.5,78100,216.15,3734880,0,31.3,4217820,0,147.0,9233720,0,61.0,3528140,0,89.25,5566460,0,104.1,802220,0,49.7,7275500,0,174.25,1020100,0,30.65,6205600,0,243.1,536980,0
14:32,78063.89,78100,215.45,2638840,-1096040,28.45,4507540,289720,144.7,6764560,-2469160,57.15,4981340,1453200,93.1,4916740,-649720,99.55,1363580,561360,55.05,6645840,-629660,165.85,1436780,416680,32.65,5960580,-245020,242.65,583760,46780
14:33,78047.74,78100,224.4,2638840,-1096040,27.25,4507540,289720,151.3,6764560,-2469160,54.65,4981340,1453200,93.65,4916740,-649720,95.85,1363580,561360,56.5,6645840,-629660,159.75,1436780,416680,31.55,5960580,-245020,233.1,583760,46780
14:34,78111.03,78100,244.15,2075500,-1659380,22.2,5449300,1231480,165.0,5580740,-3652980,45.45,6375000,2846860,104.0,4726120,-840340,82.65,2119700,1317480,62.55,6350580,-924920,141.05,1652900,632800,35.65,5944680,-260920,213.3,656000,119020
14:35,78060.02,78100,222.1,2075500,-1659380,24.55,5449300,1231480,146.15,5580740,-3652980,50.2,6375000,2846860,89.2,4726120,-840340,91.75,2119700,1317480,52.3,6350580,-924920,155.8,1652900,632800,28.0,5944680,-260920,229.8,656000,119020
14:36,78078.73,78100,228.55,2075500,-1659380,22.6,5449300,1231480,153.6,5580740,-3652980,47.45,6375000,2846860,95.7,4726120,-840340,88.5,2119700,1317480,56.45,6350580,-924920,150.9,1652900,632800,32.0,5944680,-260920,225.25,656000,119020
14:37,78054.42,78100,216.5,1676340,-2058540,23.45,5697440,1479620,142.8,4887080,-4346640,49.45,6769720,3241580,83.0,5063140,-503320,90.5,2734420,1932200,47.9,7085540,-189960,155.65,1923160,903060,25.45,6276600,71000,236.55,705700,168720
14:38,78093.08,78100,227.1,1676340,-2058540,20.2,5697440,1479620,149.9,4887080,-4346640,43.15,6769720,3241580,91.0,5063140,-503320,82.3,2734420,1932200,51.45,7085540,-189960,144.4,1923160,903060,28.35,6276600,71000,219.8,705700,168720
14:39,78097.78,78100,225.45,1676340,-2058540,21.95,5697440,1479620,147.15,4887080,-4346640,45.2,6769720,3241580,88.55,5063140,-503320,84.85,2734420,1932200,50.85,7085540,-189960,150.7,1923160,903060,27.25,6276600,71000,222.6,705700,168720
14:40,78098.4,78100,232.65,1622560,-2112320,17.3,6144560,1926740,153.8,4753700,-4480020,39.5,7355760,3827620,94.0,5182340,-384120,76.3,3064700,2262480,53.25,7478040,202540,138.1,2049880,1029780,29.0,6636200,430600,211.4,722900,185920
14:41,78118.06,78100,248.3,1622560,-2112320,13.9,6144560,1926740,166.75,4753700,-4480020,33.7,7355760,3827620,102.0,5182340,-384120,66.45,3064700,2262480,59.0,7478040,202540,123.55,2049880,1029780,31.3,6636200,430600,196.45,722900,185920
14:42,78095.1,78100,251.7,1622560,-2112320,13.15,6144560,1926740,167.8,4499040,-4734680,32.75,7633800,4105660,102.0,5042620,-523840,65.9,3064700,2262480,58.85,7478040,202540,121.0,2049880,1029780,30.55,6636200,430600,192.2,722900,185920
14:43,78147.66,78100,251.15,1458380,-2276500,12.65,6080220,1862400,167.5,4499040,-4734680,30.95,7633800,4105660,101.9,5042620,-523840,64.95,3716960,2914740,57.65,7575300,299800,121.9,2415500,1395400,30.0,6885080,679480,196.25,752320,215340
