ts,spot,atm_frozen_at_1450,ATM-2_K81300_CE_close,ATM-2_K81300_CE_OI,ATM-2_K81300_CE_OI_chg_vs_1430,ATM-2_K81300_PE_close,ATM-2_K81300_PE_OI,ATM-2_K81300_PE_OI_chg_vs_1430,ATM-1_K81400_CE_close,ATM-1_K81400_CE_OI,ATM-1_K81400_CE_OI_chg_vs_1430,ATM-1_K81400_PE_close,ATM-1_K81400_PE_OI,ATM-1_K81400_PE_OI_chg_vs_1430,ATM_K81500_CE_close,ATM_K81500_CE_OI,ATM_K81500_CE_OI_chg_vs_1430,ATM_K81500_PE_close,ATM_K81500_PE_OI,ATM_K81500_PE_OI_chg_vs_1430,ATM+1_K81600_CE_close,ATM+1_K81600_CE_OI,ATM+1_K81600_CE_OI_chg_vs_1430,ATM+1_K81600_PE_close,ATM+1_K81600_PE_OI,ATM+1_K81600_PE_OI_chg_vs_1430,ATM+2_K81700_CE_close,ATM+2_K81700_CE_OI,ATM+2_K81700_CE_OI_chg_vs_1430,ATM+2_K81700_PE_close,ATM+2_K81700_PE_OI,ATM+2_K81700_PE_OI_chg_vs_1430
14:30,81586.43,81500,289.95,315780,0,5.25,2235440,0,192.15,707700,0,7.2,4336060,0,100.15,3280320,0,15.1,9105140,0,26.7,10535060,0,41.45,5011380,0,11.5,5531040,0,126.45,1227440,0
14:31,81595.17,81500,298.5,315780,0,5.25,2235440,0,198.8,707700,0,6.9,4336060,0,106.35,3280320,0,13.3,9105140,0,28.85,10535060,0,36.25,5011380,0,12.6,5531040,0,119.3,1227440,0
14:32,81578.43,81500,293.65,315780,0,4.85,2235440,0,195.75,707700,0,6.6,4336060,0,103.1,3280320,0,13.5,9105140,0,27.5,10535060,0,37.75,5011380,0,11.85,5531040,0,121.55,1227440,0
14:33,81582.43,81500,295.8,316780,1000,4.05,2205220,-30220,196.8,702620,-5080,5.5,4397420,61360,103.0,3170660,-109660,11.9,9550700,445560,28.2,10754700,219640,37.1,5282560,271180,11.75,5567240,36200,120.2,1246660,19220
14:34,81580.11,81500,278.55,316780,1000,4.35,2205220,-30220,181.25,702620,-5080,5.95,4397420,61360,89.2,3170660,-109660,13.6,9550700,445560,21.65,10754700,219640,45.9,5282560,271180,8.95,5567240,36200,132.65,1246660,19220
14:35,81567.48,81500,267.15,316780,1000,4.65,2205220,-30220,168.8,702620,-5080,6.7,4397420,61360,78.6,3170660,-109660,16.5,9550700,445560,16.05,10754700,219640,52.2,5282560,271180,6.35,5567240,36200,141.95,1246660,19220
14:36,81553.49,81500,239.95,311600,-4180,6.2,2047920,-187520,139.9,691240,-16460,10.65,4324500,-11560,59.5,3008900,-271420,25.35,9631040,525900,13.6,11385480,850420,78.7,5309980,298600,5.3,5855040,324000,169.6,1217480,-9960
14:37,81532.95,81500,234.15,311600,-4180,6.85,2047920,-187520,138.45,691240,-16460,11.3,4324500,-11560,55.55,3008900,-271420,28.6,9631040,525900,12.4,11385480,850420,85.5,5309980,298600,5.4,5855040,324000,178.35,1217480,-9960
14:38,81571.69,81500,248.8,311600,-4180,4.85,2047920,-187520,152.7,691240,-16460,7.1,4324500,-11560,64.0,3008900,-271420,19.65,9631040,525900,14.0,11385480,850420,68.9,5309980,298600,5.5,5855040,324000,160.15,1217480,-9960
14:39,81515.9,81500,236.15,322560,6780,5.95,2281460,46020,139.25,796660,88960,9.4,4604940,268880,54.65,3527760,247440,24.55,8936940,-168200,10.45,11662700,1127640,80.5,3977500,-1033880,4.25,5178380,-352660,173.0,999340,-228100
14:40,81543.14,81500,242.35,322560,6780,5.3,2281460,46020,145.15,796660,88960,8.35,4604940,268880,57.85,3527760,247440,21.45,8936940,-168200,12.1,11662700,1127640,75.15,3977500,-1033880,4.6,5178380,-352660,167.75,999340,-228100
14:41,81548.62,81500,248.2,322560,6780,4.7,2281460,46020,149.85,796660,88960,6.8,4604940,268880,61.1,3527760,247440,17.85,8936940,-168200,12.8,11662700,1127640,69.7,3977500,-1033880,4.05,5178380,-352660,161.1,999340,-228100
14:42,81557.16,81500,245.0,319060,3280,3.7,2446760,211320,146.1,814760,107060,5.75,5070860,734800,58.2,3849220,568900,17.4,9877860,772720,11.6,11958100,1423040,70.35,4025000,-986380,3.5,5010540,-520500,161.5,988860,-238580
14:43,81567.37,81500,263.55,319060,3280,2.75,2446760,211320,164.8,814760,107060,3.85,5070860,734800,72.9,3849220,568900,11.7,9877860,772720,14.6,11958100,1423040,55.75,4025000,-986380,3.8,5010540,-520500,142.35,988860,-238580
14:44,81577.05,81500,277.05,319060,3280,2.85,2446760,211320,179.0,814760,107060,3.9,5070860,734800,85.15,3849220,568900,10.45,9877860,772720,16.9,11958100,1423040,42.85,4025000,-986380,4.8,5010540,-520500,129.5,988860,-238580
