ts,spot,atm_frozen_at_1450,ATM-2_K82700_CE_close,ATM-2_K82700_CE_OI,ATM-2_K82700_CE_OI_chg_vs_1430,ATM-2_K82700_PE_close,ATM-2_K82700_PE_OI,ATM-2_K82700_PE_OI_chg_vs_1430,ATM-1_K82800_CE_close,ATM-1_K82800_CE_OI,ATM-1_K82800_CE_OI_chg_vs_1430,ATM-1_K82800_PE_close,ATM-1_K82800_PE_OI,ATM-1_K82800_PE_OI_chg_vs_1430,ATM_K82900_CE_close,ATM_K82900_CE_OI,ATM_K82900_CE_OI_chg_vs_1430,ATM_K82900_PE_close,ATM_K82900_PE_OI,ATM_K82900_PE_OI_chg_vs_1430,ATM+1_K83000_CE_close,ATM+1_K83000_CE_OI,ATM+1_K83000_CE_OI_chg_vs_1430,ATM+1_K83000_PE_close,ATM+1_K83000_PE_OI,ATM+1_K83000_PE_OI_chg_vs_1430,ATM+2_K83100_CE_close,ATM+2_K83100_CE_OI,ATM+2_K83100_CE_OI_chg_vs_1430,ATM+2_K83100_PE_close,ATM+2_K83100_PE_OI,ATM+2_K83100_PE_OI_chg_vs_1430
14:30,82764.2,82900,114.1,2126400,0,26.3,8355160,0,47.2,5928720,0,58.25,6784920,0,14.9,9338500,0,127.4,3055200,0,5.85,10350300,0,215.0,1963220,0,3.55,5979160,0,313.5,1273980,0
14:31,82766.68,82900,121.75,2126400,0,22.4,8355160,0,50.7,5928720,0,52.6,6784920,0,16.25,9338500,0,116.9,3055200,0,6.25,10350300,0,207.5,1963220,0,3.75,5979160,0,304.3,1273980,0
14:32,82782.75,82900,122.9,2126400,0,20.45,8355160,0,50.55,5928720,0,48.75,6784920,0,16.05,9338500,0,113.55,3055200,0,6.15,10350300,0,203.85,1963220,0,3.75,5979160,0,301.2,1273980,0
14:33,82786.92,82900,119.8,2244280,117880,21.4,8733900,378740,49.7,6202520,273800,52.35,6951300,166380,15.85,9429620,91120,118.7,2928120,-127080,6.2,10026100,-324200,209.05,1931720,-31500,3.9,5868320,-110840,305.65,1263980,-10000
14:34,82746.66,82900,95.5,2244280,117880,28.35,8733900,378740,33.75,6202520,273800,67.7,6951300,166380,10.2,9429620,91120,142.2,2928120,-127080,4.55,10026100,-324200,236.75,1931720,-31500,3.35,5868320,-110840,334.35,1263980,-10000
14:35,82708.89,82900,83.05,2244280,117880,35.35,8733900,378740,28.9,6202520,273800,81.15,6951300,166380,9.0,9429620,91120,161.0,2928120,-127080,4.25,10026100,-324200,256.1,1931720,-31500,3.15,5868320,-110840,351.8,1263980,-10000
14:36,82745.79,82900,87.85,2494640,368240,29.6,8066080,-289080,30.15,7205820,1277100,72.75,5567980,-1216940,8.7,9378820,40320,151.6,2354000,-701200,4.3,9355660,-994640,246.0,1687140,-276080,3.05,5616700,-362460,343.65,1210600,-63380
14:37,82761.12,82900,90.0,2494640,368240,29.05,8066080,-289080,31.5,7205820,1277100,70.5,5567980,-1216940,8.8,9378820,40320,148.15,2354000,-701200,3.7,9355660,-994640,241.95,1687140,-276080,2.2,5616700,-362460,340.5,1210600,-63380
14:38,82747.65,82900,83.75,2494640,368240,29.2,8066080,-289080,27.15,7205820,1277100,72.3,5567980,-1216940,6.4,9378820,40320,153.2,2354000,-701200,3.05,9355660,-994640,248.55,1687140,-276080,2.2,5616700,-362460,347.15,1210600,-63380
14:39,82740.4,82900,80.6,2862020,735620,30.4,8822840,467680,24.35,7991920,2063200,73.1,5722440,-1062480,6.3,9741580,403080,156.45,2298900,-756300,2.9,9088860,-1261440,252.2,1672230,-290990,2.2,5217760,-761400,351.45,1197180,-76800
14:40,82756.07,82900,83.25,2862020,735620,28.75,8822840,467680,26.6,7991920,2063200,73.7,5722440,-1062480,7.0,9741580,403080,153.2,2298900,-756300,3.15,9088860,-1261440,249.25,1672230,-290990,2.3,5217760,-761400,347.55,1197180,-76800
14:41,82779.6,82900,81.2,2862020,735620,29.05,8822840,467680,26.35,7991920,2063200,73.75,5722440,-1062480,6.8,9741580,403080,154.85,2298900,-756300,3.05,9088860,-1261440,248.85,1672230,-290990,2.3,5217760,-761400,347.95,1197180,-76800
14:42,82742.85,82900,83.7,3184420,1058020,25.95,9465900,1110740,25.65,8589040,2660320,68.15,5796960,-987960,5.95,9256920,-81580,149.3,2233240,-821960,2.5,8619400,-1730900,244.35,1642360,-320860,1.8,5108940,-870220,343.05,1194300,-79680
14:43,82734.76,82900,85.35,3184420,1058020,22.65,9465900,1110740,25.55,8589040,2660320,63.0,5796960,-987960,5.75,9256920,-81580,142.8,2233240,-821960,2.4,8619400,-1730900,239.0,1642360,-320860,1.8,5108940,-870220,337.9,1194300,-79680
14:44,82760.08,82900,87.0,3184420,1058020,22.4,9465900,1110740,27.05,8589040,2660320,62.55,5796960,-987960,6.3,9256920,-81580,142.65,2233240,-821960,2.9,8619400,-1730900,238.65,1642360,-320860,2.05,5108940,-870220,338.0,1194300,-79680
14:45,82774.36,82900,104.95,3167580,1041180,15.7,9674160,1319000,37.1,9049920,3121200,47.95,5856560,-928360,10.2,9267060,-71440,118.6,2271740,-783460,4.05,8443440,-1906860,213.75,1638820,-324400,2.65,5010160,-969000,312.45,1190440,-83540
14:46,82779.78,82900,96.6,3167580,1041180,16.95,9674160,1319000,31.2,9049920,3121200,51.9,5856560,-928360,8.05,9267060,-71440,128.4,2271740,-783460,3.7,8443440,-1906860,224.25,1638820,-324400,2.65,5010160,-969000,323.15,1190440,-83540
14:47,82790.96,82900,109.25,3167580,1041180,11.55,9674160,1319000,38.0,9049920,3121200,37.95,5856560,-928360,9.1,9267060,-71440,108.15,2271740,-783460,3.6,8443440,-1906860,206.45,1638820,-324400,2.65,5010160,-969000,299.0,1190440,-83540
14:48,82821.02,82900,146.0,2787070,660670,7.35,10959180,2604020,62.6,9288100,3359380,24.85,6669160,-115760,18.15,9832560,494060,80.1,2476900,-578300,6.3,8336180,-2014120,167.0,1634420,-328800,3.2,4943200,-1035960,263.25,1167060,-106920
14:49,82854.48,82900,145.0,2787070,660670,6.1,10959180,2604020,61.1,9288100,3359380,21.85,6669160,-115760,17.35,9832560,494060,77.65,2476900,-578300,5.6,8336180,-2014120,168.2,1634420,-328800,3.3,4943200,-1035960,262.8,1167060,-106920
14:50,82873.25,82900,146.0,2787070,660670,4.9,10959180,2604020,63.6,9288100,3359380,22.05,6669160,-115760,21.4,9832560,494060,80.05,2476900,-578300,6.7,8336180,-2014120,164.8,1634420,-328800,3.15,4943200,-1035960,260.45,1167060,-106920
14:51,82831.23,82900,150.25,1969900,-156500,5.25,10115820,1760660,63.15,7369360,1440640,19.3,8529080,1744160,18.45,10823280,1484780,72.4,3055960,760,5.45,9197280,-1153020,159.9,1677700,-285520,2.5,5121360,-857800,255.85,1167280,-106700
14:52,82865.92,82900,181.85,1969900,-156500,3.6,10115820,1760660,90.25,7369360,1440640,12.4,8529080,1744160,28.7,10823280,1484780,50.7,3055960,760,7.35,9197280,-1153020,129.15,1677700,-285520,2.75,5121360,-857800,224.15,1167280,-106700
14:53,82895.62,82900,229.4,1969900,-156500,3.6,10115820,1760660,133.5,7369360,1440640,7.3,8529080,1744160,51.9,10823280,1484780,26.35,3055960,760,13.7,9197280,-1153020,90.75,1677700,-285520,4.25,5121360,-857800,178.8,1167280,-106700
14:54,82902.99,82900,229.05,1557880,-568520,2.7,9414600,1059440,129.95,5502180,-426540,5.8,9818600,3033680,50.95,9653440,314940,24.55,3704340,649140,14.3,9617660,-732640,87.5,1833220,-130000,4.0,5217180,-761980,177.3,1174320,-99660
