ts,spot,atm_frozen_at_1450,ATM-2_K81400_CE_close,ATM-2_K81400_CE_OI,ATM-2_K81400_CE_OI_chg_vs_1430,ATM-2_K81400_PE_close,ATM-2_K81400_PE_OI,ATM-2_K81400_PE_OI_chg_vs_1430,ATM-1_K81500_CE_close,ATM-1_K81500_CE_OI,ATM-1_K81500_CE_OI_chg_vs_1430,ATM-1_K81500_PE_close,ATM-1_K81500_PE_OI,ATM-1_K81500_PE_OI_chg_vs_1430,ATM_K81600_CE_close,ATM_K81600_CE_OI,ATM_K81600_CE_OI_chg_vs_1430,ATM_K81600_PE_close,ATM_K81600_PE_OI,ATM_K81600_PE_OI_chg_vs_1430,ATM+1_K81700_CE_close,ATM+1_K81700_CE_OI,ATM+1_K81700_CE_OI_chg_vs_1430,ATM+1_K81700_PE_close,ATM+1_K81700_PE_OI,ATM+1_K81700_PE_OI_chg_vs_1430,ATM+2_K81800_CE_close,ATM+2_K81800_CE_OI,ATM+2_K81800_CE_OI_chg_vs_1430,ATM+2_K81800_PE_close,ATM+2_K81800_PE_OI,ATM+2_K81800_PE_OI_chg_vs_1430
14:30,81612.37,81600,213.05,1289960,0,7.65,7566860,0,125.2,3569820,0,20.4,10052680,0,60.1,6630700,0,54.3,4671000,0,25.8,8062800,0,120.75,1592040,0,10.6,5701760,0,207.35,483040,0
14:31,81587.49,81600,214.85,1289960,0,7.95,7566860,0,127.1,3569820,0,19.95,10052680,0,60.6,6630700,0,53.25,4671000,0,26.25,8062800,0,118.25,1592040,0,10.8,5701760,0,203.4,483040,0
14:32,81599.8,81600,205.1,1289960,0,7.35,7566860,0,117.85,3569820,0,19.3,10052680,0,52.95,6630700,0,53.95,4671000,0,22.3,8062800,0,122.75,1592040,0,8.95,5701760,0,211.0,483040,0
14:33,81622.79,81600,225.2,1289960,0,5.8,7299160,-267700,133.35,3481060,-88760,14.35,10366300,313620,63.45,6669460,38760,43.4,5263480,592480,28.15,8329780,266980,107.85,1934320,342280,11.7,5800040,98280,192.5,534860,51820
14:34,81628.24,81600,242.75,1289960,0,5.0,7299160,-267700,150.5,3481060,-88760,11.15,10366300,313620,73.15,6669460,38760,35.15,5263480,592480,31.9,8329780,266980,93.45,1934320,342280,12.85,5800040,98280,174.15,534860,51820
14:35,81662.97,81600,278.0,1289960,0,4.75,7299160,-267700,183.85,3481060,-88760,10.0,10366300,313620,101.65,6669460,38760,27.9,5263480,592480,46.35,8329780,266980,72.9,1934320,342280,19.7,5800040,98280,147.0,534860,51820
14:36,81670.91,81600,281.3,1081040,-208920,4.55,7299160,-267700,186.15,3481060,-88760,9.25,9965180,-87500,103.05,4656140,-1974560,25.7,6596640,1925640,46.75,8329780,266980,68.7,2435540,843500,18.85,5929000,227240,142.7,534860,51820
14:37,81666.98,81600,269.9,1081040,-208920,4.6,7299160,-267700,174.9,3481060,-88760,10.3,9965180,-87500,94.35,4656140,-1974560,28.6,6596640,1925640,41.4,8329780,266980,75.5,2435540,843500,16.9,5929000,227240,151.75,534860,51820
14:38,81661.65,81600,267.9,1081040,-208920,4.7,7299160,-267700,173.05,3481060,-88760,10.5,9965180,-87500,92.4,4656140,-1974560,29.25,6596640,1925640,39.2,8329780,266980,76.1,2435540,843500,15.15,5929000,227240,152.7,534860,51820
14:39,81662.45,81600,270.75,1041600,-248360,4.75,5883540,-1683320,176.35,2341080,-1228740,10.25,9582320,-470360,94.25,3946660,-2684040,28.65,7087500,2416500,41.0,7598120,-464680,75.55,3005540,1413500,16.0,6836560,1134800,150.6,902220,419180
14:40,81660.56,81600,284.65,1041600,-248360,4.6,5883540,-1683320,181.5,2341080,-1228740,10.0,9582320,-470360,105.45,3946660,-2684040,27.65,7087500,2416500,44.05,7598120,-464680,67.1,3005540,1413500,18.15,6836560,1134800,148.0,902220,419180
14:41,81671.81,81600,281.65,1041600,-248360,4.2,5883540,-1683320,188.1,2341080,-1228740,8.85,9582320,-470360,103.65,3946660,-2684040,24.5,7087500,2416500,46.55,7598120,-464680,67.1,3005540,1413500,18.35,6836560,1134800,140.2,902220,419180
14:42,81668.02,81600,274.0,1011080,-278880,4.2,5933120,-1633740,178.55,2264280,-1305540,8.55,9694350,-358330,98.4,3946660,-2684040,25.0,7489090,2818090,42.6,7858300,-204500,70.05,3005540,1413500,16.05,6983720,1281960,145.5,929780,446740
14:43,81626.28,81600,229.7,1011080,-278880,5.05,5933120,-1633740,137.1,2264280,-1305540,12.35,9694350,-358330,61.25,3946660,-2684040,36.5,7489090,2818090,20.9,7858300,-204500,96.15,3005540,1413500,6.6,6983720,1281960,182.95,929780,446740
14:44,81620.03,81600,199.35,1011080,-278880,5.8,5933120,-1633740,109.75,2264280,-1305540,15.15,9694350,-358330,41.65,3946660,-2684040,46.1,7489090,2818090,13.25,7858300,-204500,118.0,3005540,1413500,4.65,6983720,1281960,210.45,929780,446740
14:45,81571.66,81600,181.05,998160,-291800,6.6,5674420,-1892440,93.6,2160800,-1409020,18.8,9312140,-740540,30.9,3946660,-2684040,55.9,7748520,3077520,9.4,8017740,-45060,134.1,3598660,2006620,3.55,7136040,1434280,227.2,1032240,549200
14:46,81584.22,81600,217.9,998160,-291800,3.25,5674420,-1892440,125.9,2160800,-1409020,8.35,9312140,-740540,44.3,3946660,-2684040,28.2,7748520,3077520,12.15,8017740,-45060,96.3,3598660,2006620,3.95,7136040,1434280,188.3,1032240,549200
14:47,81609.41,81600,221.6,998160,-291800,3.85,5674420,-1892440,126.8,2160800,-1409020,10.0,9312140,-740540,50.8,3946660,-2684040,31.35,7748520,3077520,15.2,8017740,-45060,95.05,3598660,2006620,4.5,7136040,1434280,187.65,1032240,549200
14:48,81606.35,81600,202.6,998160,-291800,4.15,6210400,-1356460,110.3,2547140,-1022680,11.7,10725840,673160,37.35,5408880,-1221820,38.45,6962500,2291500,9.5,9420220,1357420,109.4,2497640,905600,2.85,5988160,286400,204.0,548100,65060
14:49,81614.32,81600,213.9,998160,-291800,3.45,6210400,-1356460,121.1,2547140,-1022680,10.0,10725840,673160,45.4,5408880,-1221820,34.4,6962500,2291500,12.0,9420220,1357420,101.0,2497640,905600,3.55,5988160,286400,192.15,548100,65060
14:50,81616.85,81600,226.35,998160,-291800,2.55,6210400,-1356460,132.8,2547140,-1022680,7.75,10725840,673160,54.4,5408880,-1221820,29.95,6962500,2291500,16.15,9420220,1357420,91.65,2497640,905600,4.6,5988160,286400,180.15,548100,65060
14:51,81625.77,81600,223.25,998160,-291800,2.45,6210400,-1356460,130.55,2501230,-1068590,7.65,10725840,673160,53.05,5581120,-1049580,29.9,7488520,2817520,15.45,9850840,1788040,91.8,2491520,899480,4.35,5972440,270680,181.6,553780,70740
14:52,81601.7,81600,193.1,998160,-291800,3.3,6210400,-1356460,101.0,2501230,-1068590,11.8,10725840,673160,33.2,5581120,-1049580,44.05,7488520,2817520,8.1,9850840,1788040,117.75,2491520,899480,2.55,5972440,270680,213.0,553780,70740
14:53,81598.17,81600,212.35,998160,-291800,2.55,6210400,-1356460,118.45,2501230,-1068590,8.35,10725840,673160,42.6,5581120,-1049580,30.05,7488520,2817520,9.8,9850840,1788040,98.9,2491520,899480,2.8,5972440,270680,189.45,553780,70740
14:54,81604.35,81600,209.8,985500,-304460,2.7,5390740,-2176120,116.5,2369450,-1200370,8.7,10527160,474480,39.6,5191920,-1438780,32.65,7488520,2817520,9.85,10140780,2077980,102.6,2532960,940920,2.75,6180440,478680,195.25,545260,62220
14:55,81602.98,81600,211.35,985500,-304460,2.9,5390740,-2176120,116.9,2369450,-1200370,8.65,10527160,474480,40.35,5191920,-1438780,30.2,7488520,2817520,9.9,10140780,2077980,100.75,2532960,940920,2.7,6180440,478680,192.2,545260,62220
