ts,spot,atm_frozen_at_1450,ATM-2_K74200_CE_close,ATM-2_K74200_CE_OI,ATM-2_K74200_CE_OI_chg_vs_1430,ATM-2_K74200_PE_close,ATM-2_K74200_PE_OI,ATM-2_K74200_PE_OI_chg_vs_1430,ATM-1_K74300_CE_close,ATM-1_K74300_CE_OI,ATM-1_K74300_CE_OI_chg_vs_1430,ATM-1_K74300_PE_close,ATM-1_K74300_PE_OI,ATM-1_K74300_PE_OI_chg_vs_1430,ATM_K74400_CE_close,ATM_K74400_CE_OI,ATM_K74400_CE_OI_chg_vs_1430,ATM_K74400_PE_close,ATM_K74400_PE_OI,ATM_K74400_PE_OI_chg_vs_1430,ATM+1_K74500_CE_close,ATM+1_K74500_CE_OI,ATM+1_K74500_CE_OI_chg_vs_1430,ATM+1_K74500_PE_close,ATM+1_K74500_PE_OI,ATM+1_K74500_PE_OI_chg_vs_1430,ATM+2_K74600_CE_close,ATM+2_K74600_CE_OI,ATM+2_K74600_CE_OI_chg_vs_1430,ATM+2_K74600_PE_close,ATM+2_K74600_PE_OI,ATM+2_K74600_PE_OI_chg_vs_1430
14:30,74545.11,74400,421.9,132800,0,23.45,3409380,0,329.5,199960,0,34.4,4061100,0,248.25,391140,0,52.95,4136860,0,176.95,1605640,0,79.1,6075700,0,113.9,2582460,0,119.35,3148140,0
14:31,74576.94,74400,416.5,132800,0,24.0,3409380,0,328.3,199960,0,35.25,4061100,0,246.1,391140,0,53.95,4136860,0,173.75,1605640,0,81.0,6075700,0,113.1,2582460,0,121.6,3148140,0
14:32,74600.03,74400,448.65,133920,1120,20.6,3507120,97740,357.85,218640,18680,29.95,4085700,24600,274.25,391200,60,45.6,4026160,-110700,195.85,1693620,87980,69.2,5877460,-198240,130.25,2790640,208180,103.05,3177120,28980
14:33,74605.89,74400,444.5,133920,1120,20.15,3507120,97740,351.75,218640,18680,29.55,4085700,24600,267.5,391200,60,44.3,4026160,-110700,189.5,1693620,87980,68.25,5877460,-198240,126.85,2790640,208180,103.35,3177120,28980
14:34,74600.2,74400,443.05,129000,-3800,18.85,3552380,143000,348.7,216880,16920,27.95,4230560,169460,265.2,409940,18800,43.25,4175320,38460,188.95,1606980,1340,67.15,6237500,161800,122.2,2839180,256720,101.85,3508840,360700
14:35,74602.91,74400,436.25,129000,-3800,18.55,3552380,143000,344.7,216880,16920,28.3,4230560,169460,263.25,409940,18800,44.85,4175320,38460,186.7,1606980,1340,69.35,6237500,161800,123.0,2839180,256720,105.0,3508840,360700
14:36,74588.81,74400,424.6,129000,-3800,19.85,3552380,143000,335.2,216880,16920,30.4,4230560,169460,254.05,409940,18800,47.35,4175320,38460,178.05,1606980,1340,73.15,6237500,161800,116.3,2839180,256720,110.25,3508840,360700
14:37,74618.24,74400,447.4,131380,-1420,15.2,3491080,81700,357.2,218840,18880,24.0,4559960,498860,272.45,443020,51880,38.95,4304660,167800,195.05,1648380,42740,61.5,6526170,450470,127.0,2963040,380580,95.1,3735040,586900
14:38,74552.05,74400,380.45,131380,-1420,22.25,3491080,81700,294.85,218840,18880,34.05,4559960,498860,215.4,443020,51880,53.35,4304660,167800,143.75,1648380,42740,82.65,6526170,450470,86.6,2963040,380580,126.15,3735040,586900
14:39,74526.06,74400,381.6,131380,-1420,23.2,3491080,81700,300.8,218840,18880,34.65,4559960,498860,218.8,443020,51880,55.7,4304660,167800,144.8,1648380,42740,87.25,6526170,450470,88.1,2963040,380580,128.6,3735040,586900
14:40,74592.29,74400,406.65,137000,4200,18.15,3537400,128020,315.25,231020,31060,28.55,4745000,683900,235.55,556540,165400,45.95,4355680,218820,161.35,1896480,290840,72.1,6427640,351940,101.0,3441760,859300,112.6,3506340,358200
14:41,74551.08,74400,397.9,137000,4200,19.5,3537400,128020,309.55,231020,31060,30.15,4745000,683900,227.0,556540,165400,48.25,4355680,218820,153.35,1896480,290840,75.6,6427640,351940,93.9,3441760,859300,116.8,3506340,358200
14:42,74506.91,74400,345.4,137000,4200,23.0,3537400,128020,257.55,231020,31060,35.4,4745000,683900,178.55,556540,165400,57.2,4355680,218820,111.05,1896480,290840,90.2,6427640,351940,62.4,3441760,859300,140.15,3506340,358200
14:43,74530.68,74400,338.6,159980,27180,21.65,3366440,-42940,254.6,279120,79160,35.15,4597960,536860,175.9,608660,217520,58.75,4112540,-24320,109.55,2219240,613600,91.8,5601060,-474640,59.85,3689020,1106560,143.35,3011700,-136440
14:44,74548.41,74400,380.2,159980,27180,13.75,3366440,-42940,287.2,279120,79160,23.05,4597960,536860,204.0,608660,217520,40.3,4112540,-24320,131.4,2219240,613600,66.85,5601060,-474640,75.15,3689020,1106560,108.9,3011700,-136440
14:45,74511.64,74400,364.4,160800,28000,15.55,3633860,224480,274.55,297800,97840,25.4,4701400,640300,193.8,647840,256700,44.5,4532280,395420,123.4,2514240,908600,74.35,6171340,95640,69.1,3907340,1324880,122.7,2956900,-191240
14:46,74515.55,74400,353.15,160800,28000,14.4,3633860,224480,263.95,297800,97840,25.1,4701400,640300,183.2,647840,256700,44.15,4532280,395420,112.85,2514240,908600,74.9,6171340,95640,63.25,3907340,1324880,121.35,2956900,-191240
14:47,74474.36,74400,316.05,160800,28000,18.7,3633860,224480,228.35,297800,97840,32.6,4701400,640300,151.8,647840,256700,56.95,4532280,395420,88.0,2514240,908600,93.55,6171340,95640,45.6,3907340,1324880,149.65,2956900,-191240
14:48,74398.85,74400,240.7,186560,53760,28.55,3675280,265900,159.6,388080,188120,50.15,4685420,624320,98.45,908480,517340,86.95,4232420,95560,54.05,3231220,1625580,144.15,5354900,-720800,26.8,4353300,1770840,215.3,2532920,-615220
14:49,74426.32,74400,257.95,186560,53760,25.05,3675280,265900,177.75,388080,188120,44.4,4685420,624320,110.6,908480,517340,78.0,4232420,95560,60.9,3231220,1625580,128.2,5354900,-720800,30.75,4353300,1770840,198.45,2532920,-615220
