ts,spot,atm_frozen_at_1450,ATM-2_K81100_CE_close,ATM-2_K81100_CE_OI,ATM-2_K81100_CE_OI_chg_vs_1430,ATM-2_K81100_PE_close,ATM-2_K81100_PE_OI,ATM-2_K81100_PE_OI_chg_vs_1430,ATM-1_K81200_CE_close,ATM-1_K81200_CE_OI,ATM-1_K81200_CE_OI_chg_vs_1430,ATM-1_K81200_PE_close,ATM-1_K81200_PE_OI,ATM-1_K81200_PE_OI_chg_vs_1430,ATM_K81300_CE_close,ATM_K81300_CE_OI,ATM_K81300_CE_OI_chg_vs_1430,ATM_K81300_PE_close,ATM_K81300_PE_OI,ATM_K81300_PE_OI_chg_vs_1430,ATM+1_K81400_CE_close,ATM+1_K81400_CE_OI,ATM+1_K81400_CE_OI_chg_vs_1430,ATM+1_K81400_PE_close,ATM+1_K81400_PE_OI,ATM+1_K81400_PE_OI_chg_vs_1430,ATM+2_K81500_CE_close,ATM+2_K81500_CE_OI,ATM+2_K81500_CE_OI_chg_vs_1430,ATM+2_K81500_PE_close,ATM+2_K81500_PE_OI,ATM+2_K81500_PE_OI_chg_vs_1430
14:30,81266.79,81300,173.15,236440,0,20.55,2424640,0,94.75,1009040,0,39.9,3358640,0,35.6,3568680,0,82.35,3256940,0,13.05,5356840,0,161.3,1518140,0,7.5,6129860,0,252.95,1203220,0
14:31,81254.72,81300,175.95,236440,0,19.45,2424640,0,93.7,1009040,0,37.3,3358640,0,34.4,3568680,0,78.45,3256940,0,12.45,5356840,0,158.15,1518140,0,6.95,6129860,0,250.45,1203220,0
14:32,81269.66,81300,186.3,236440,0,15.25,2424640,0,102.45,1009040,0,31.45,3358640,0,39.3,3568680,0,68.0,3256940,0,14.05,5356840,0,142.8,1518140,0,7.55,6129860,0,235.3,1203220,0
14:33,81278.23,81300,193.7,287540,51100,14.35,2533920,109280,105.55,1152400,143360,28.4,3778860,420220,42.2,4162920,594240,63.2,3469860,212920,15.1,5540240,183400,137.5,1499360,-18780,7.9,6097020,-32840,228.65,1175740,-27480
14:34,81291.23,81300,196.2,287540,51100,13.8,2533920,109280,110.95,1152400,143360,27.9,3778860,420220,42.1,4162920,594240,60.0,3469860,212920,15.55,5540240,183400,130.5,1499360,-18780,8.5,6097020,-32840,229.55,1175740,-27480
14:35,81288.17,81300,185.25,287540,51100,13.45,2533920,109280,98.7,1152400,143360,29.55,3778860,420220,37.1,4162920,594240,68.2,3469860,212920,13.8,5540240,183400,143.95,1499360,-18780,7.3,6097020,-32840,237.25,1175740,-27480
14:36,81268.72,81300,176.25,315520,79080,15.2,2669980,245340,92.75,1317560,308520,31.9,4359160,1000520,33.35,4872980,1304300,72.9,3883320,626380,12.25,5747560,390720,150.8,1473340,-44800,7.05,5943500,-186360,244.9,1186600,-16620
14:37,81268.79,81300,180.6,315520,79080,14.2,2669980,245340,95.6,1317560,308520,29.9,4359160,1000520,33.75,4872980,1304300,68.1,3883320,626380,12.0,5747560,390720,146.2,1473340,-44800,6.8,5943500,-186360,240.1,1186600,-16620
14:38,81287.11,81300,189.75,315520,79080,12.05,2669980,245340,101.8,1317560,308520,25.85,4359160,1000520,37.6,4872980,1304300,61.3,3883320,626380,14.05,5747560,390720,137.3,1473340,-44800,7.35,5943500,-186360,232.85,1186600,-16620
14:39,81276.95,81300,182.85,366540,130100,12.3,2834840,410200,98.15,1474380,465340,27.8,4611860,1253220,36.8,5229780,1661100,67.15,3974040,717100,13.65,5698760,341920,142.8,1423300,-94840,7.6,5815620,-314240,236.75,1178100,-25120
14:40,81254.19,81300,144.7,366540,130100,19.35,2834840,410200,67.8,1474380,465340,42.75,4611860,1253220,23.2,5229780,1661100,99.25,3974040,717100,9.4,5698760,341920,183.35,1423300,-94840,6.05,5815620,-314240,282.35,1178100,-25120
14:41,81228.31,81300,133.15,366540,130100,20.9,2834840,410200,59.7,1474380,465340,47.45,4611860,1253220,20.35,5229780,1661100,108.25,3974040,717100,7.4,5698760,341920,193.6,1423300,-94840,4.45,5815620,-314240,291.2,1178100,-25120
14:42,81224.44,81300,126.75,374480,138040,21.6,2750280,325640,55.9,1547940,538900,50.2,4622840,1264200,18.25,5607520,2038840,113.1,4036840,779900,6.15,5845600,488760,200.2,1401000,-117140,3.95,5781160,-348700,297.55,1174620,-28600
14:43,81210.44,81300,129.95,374480,138040,21.9,2750280,325640,57.35,1547940,538900,50.45,4622840,1264200,18.9,5607520,2038840,112.85,4036840,779900,6.2,5845600,488760,199.9,1401000,-117140,3.85,5781160,-348700,294.8,1174620,-28600
14:44,81212.36,81300,128.15,374480,138040,22.75,2750280,325640,56.6,1547940,538900,51.45,4622840,1264200,18.9,5607520,2038840,114.05,4036840,779900,6.25,5845600,488760,200.6,1401000,-117140,3.9,5781160,-348700,298.5,1174620,-28600
14:45,81219.71,81300,124.4,459460,223020,22.05,2767520,342880,53.2,2284040,1275000,50.85,3761980,403340,17.7,5954400,2385720,115.4,2681020,-575920,7.2,5049300,-307540,203.55,1120580,-397560,4.9,4908980,-1220880,301.65,1099580,-103640
14:46,81224.77,81300,122.5,459460,223020,18.65,2767520,342880,49.55,2284040,1275000,45.85,3761980,403340,14.9,5954400,2385720,110.55,2681020,-575920,6.4,5049300,-307540,200.7,1120580,-397560,4.45,4908980,-1220880,299.65,1099580,-103640
14:47,81245.17,81300,133.1,459460,223020,14.2,2767520,342880,56.4,2284040,1275000,38.6,3761980,403340,17.2,5954400,2385720,99.3,2681020,-575920,7.05,5049300,-307540,188.75,1120580,-397560,5.0,4908980,-1220880,286.5,1099580,-103640
14:48,81249.92,81300,138.0,599980,363540,11.15,3360200,935560,60.5,3129880,2120840,34.0,4396040,1037400,19.2,6976740,3408060,93.5,2614380,-642560,7.4,4849480,-507360,181.05,1015340,-502800,4.95,4630800,-1499060,278.6,1071080,-132140
14:49,81266.72,81300,132.85,599980,363540,11.75,3360200,935560,56.7,3129880,2120840,36.35,4396040,1037400,17.9,6976740,3408060,96.8,2614380,-642560,7.25,4849480,-507360,187.3,1015340,-502800,4.95,4630800,-1499060,283.3,1071080,-132140
14:50,81271.01,81300,143.35,599980,363540,11.2,3360200,935560,62.15,3129880,2120840,33.75,4396040,1037400,21.75,6976740,3408060,90.4,2614380,-642560,8.75,4849480,-507360,180.0,1015340,-502800,5.45,4630800,-1499060,272.9,1071080,-132140
14:51,81251.91,81300,133.1,582960,346520,12.75,3621120,1196480,56.6,3206080,2197040,36.15,4659040,1300400,17.4,7426760,3858080,98.7,2804700,-452240,6.6,5066140,-290700,186.6,1045120,-473020,4.4,4673380,-1456480,284.65,1071340,-131880
14:52,81246.69,81300,130.35,582960,346520,13.95,3621120,1196480,53.8,3206080,2197040,37.75,4659040,1300400,16.1,7426760,3858080,100.85,2804700,-452240,6.0,5066140,-290700,189.45,1045120,-473020,3.8,4673380,-1456480,287.05,1071340,-131880
14:53,81239.67,81300,131.25,582960,346520,13.05,3621120,1196480,53.45,3206080,2197040,36.6,4659040,1300400,16.3,7426760,3858080,98.45,2804700,-452240,5.85,5066140,-290700,187.6,1045120,-473020,3.9,4673380,-1456480,285.0,1071340,-131880
14:54,81232.9,81300,123.7,574460,338020,12.85,3722200,1297560,46.85,3240240,2231200,38.2,4792760,1434120,12.8,7406680,3838000,102.6,2902560,-354380,4.35,4925200,-431640,193.5,1068800,-449340,3.2,4496120,-1633740,293.25,1075180,-128040
14:55,81228.73,81300,127.7,574460,338020,10.4,3722200,1297560,50.15,3240240,2231200,31.8,4792760,1434120,13.45,7406680,3838000,96.75,2902560,-354380,4.4,4925200,-431640,187.3,1068800,-449340,3.4,4496120,-1633740,284.85,1075180,-128040
14:56,81198.67,81300,116.85,574460,338020,11.25,3722200,1297560,39.2,3240240,2231200,33.25,4792760,1434120,9.6,7406680,3838000,103.65,2902560,-354380,3.6,4925200,-431640,196.85,1068800,-449340,2.65,4496120,-1633740,296.25,1075180,-128040
14:57,81211.56,81300,112.9,616420,379980,12.5,3789480,1364840,36.55,3383640,2374600,35.8,5015860,1657220,9.75,7646720,4078040,109.4,3002940,-254000,3.7,4775940,-580900,203.3,1072320,-445820,2.65,4457600,-1672260,302.1,1064360,-138860
14:58,81202.69,81300,111.8,616420,379980,11.2,3789480,1364840,33.45,3383640,2374600,33.75,5015860,1657220,8.15,7646720,4078040,108.4,3002940,-254000,3.5,4775940,-580900,203.25,1072320,-445820,2.7,4457600,-1672260,302.6,1064360,-138860
14:59,81185.15,81300,100.1,616420,379980,12.5,3789480,1364840,23.9,3383640,2374600,36.9,5015860,1657220,5.1,7646720,4078040,118.8,3002940,-254000,3.6,4775940,-580900,215.95,1072320,-445820,2.9,4457600,-1672260,315.95,1064360,-138860
15:00,81165.69,81300,92.65,931340,694900,7.15,4796640,2372000,18.95,4695860,3686820,34.2,5853560,2494920,4.05,7658980,4090300,118.95,2553720,-703220,2.35,4233320,-1123520,216.3,945400,-572740,2.35,3867020,-2262840,316.9,1019440,-183780
15:01,81214.97,81300,109.3,931340,694900,3.75,4796640,2372000,26.8,4695860,3686820,21.55,5853560,2494920,4.9,7658980,4090300,100.25,2553720,-703220,2.4,4233320,-1123520,196.05,945400,-572740,1.95,3867020,-2262840,297.0,1019440,-183780
15:02,81251.5,81300,138.15,931340,694900,2.85,4796640,2372000,49.3,4695860,3686820,14.55,5853560,2494920,8.0,7658980,4090300,73.9,2553720,-703220,1.6,4233320,-1123520,167.55,945400,-572740,1.25,3867020,-2262840,268.2,1019440,-183780
15:03,81202.36,81300,103.8,878620,642180,2.65,4787260,2362620,20.85,5963840,4954800,19.2,6422740,3064100,4.3,7685080,4116400,102.5,2622080,-634860,1.2,3720840,-1636000,199.9,890960,-627180,1.1,3550740,-2579120,299.05,977060,-226160
15:04,81179.16,81300,96.3,878620,642180,3.7,4787260,2362620,15.95,5963840,4954800,23.35,6422740,3064100,2.2,7685080,4116400,109.05,2622080,-634860,0.95,3720840,-1636000,207.95,890960,-627180,0.9,3550740,-2579120,307.15,977060,-226160
15:05,81188.26,81300,97.8,878620,642180,3.1,4787260,2362620,14.3,5963840,4954800,19.9,6422740,3064100,1.6,7685080,4116400,108.55,2622080,-634860,0.75,3720840,-1636000,205.15,890960,-627180,0.6,3550740,-2579120,306.85,977060,-226160
15:06,81173.72,81300,78.35,756700,520260,4.3,4780840,2356200,10.2,5791720,4782680,35.7,6910460,3551820,1.4,8840360,5271680,127.65,2449880,-807060,0.6,3372100,-1984740,225.4,882340,-635800,0.55,3109260,-3020600,324.9,944260,-258960
15:07,81184.23,81300,84.5,756700,520260,2.9,4780840,2356200,10.4,5791720,4782680,28.1,6910460,3551820,1.05,8840360,5271680,120.0,2449880,-807060,0.45,3372100,-1984740,218.65,882340,-635800,0.45,3109260,-3020600,318.65,944260,-258960
15:08,81200.8,81300,92.6,756700,520260,1.9,4780840,2356200,11.25,5791720,4782680,20.2,6910460,3551820,1.0,8840360,5271680,110.8,2449880,-807060,0.5,3372100,-1984740,209.35,882340,-635800,0.45,3109260,-3020600,308.55,944260,-258960
15:09,81204.25,81300,95.15,1002660,766220,1.3,5429260,3004620,12.25,7215120,6206080,18.75,6236020,2877380,1.25,7919280,4350600,107.95,2240220,-1016720,0.7,3010840,-2346000,206.95,848040,-670100,0.6,2773200,-3356660,306.9,938740,-264480
15:10,81235.54,81300,107.7,1002660,766220,0.9,5429260,3004620,18.0,7215120,6206080,10.95,6236020,2877380,1.4,7919280,4350600,93.9,2240220,-1016720,0.65,3010840,-2346000,192.15,848040,-670100,0.5,2773200,-3356660,292.25,938740,-264480
15:11,81254.81,81300,111.9,1002660,766220,1.05,5429260,3004620,20.85,7215120,6206080,10.75,6236020,2877380,1.9,7919280,4350600,91.1,2240220,-1016720,0.7,3010840,-2346000,189.9,848040,-670100,0.65,2773200,-3356660,290.0,938740,-264480
15:12,81261.08,81300,120.5,905780,669340,0.8,4764400,2339760,26.4,7573350,6564310,7.35,7635040,4276400,2.3,7422060,3853380,82.85,2185480,-1071460,0.9,2445600,-2911240,181.75,822200,-695940,0.9,2347400,-3782460,281.0,916940,-286280
15:13,81262.21,81300,115.6,905780,669340,0.6,4764400,2339760,22.25,7573350,6564310,7.65,7635040,4276400,2.3,7422060,3853380,88.0,2185480,-1071460,0.95,2445600,-2911240,185.95,822200,-695940,0.85,2347400,-3782460,285.05,916940,-286280
15:14,81241.9,81300,110.45,905780,669340,0.5,4764400,2339760,17.7,7573350,6564310,7.8,7635040,4276400,1.25,7422060,3853380,91.55,2185480,-1071460,0.95,2445600,-2911240,191.0,822200,-695940,0.9,2347400,-3782460,290.65,916940,-286280
15:15,81214.18,81300,101.2,883320,646880,0.5,3931840,1507200,9.65,6621580,5612540,10.15,8044840,4686200,0.7,8185460,4616780,101.35,2501000,-755940,0.6,2357600,-2999240,200.05,819640,-698500,0.6,2251080,-3878780,300.3,905480,-297740
15:16,81205.98,81300,97.2,883320,646880,0.55,3931840,1507200,8.15,6621580,5612540,11.15,8044840,4686200,0.9,8185460,4616780,103.95,2501000,-755940,0.55,2357600,-2999240,203.5,819640,-698500,0.55,2251080,-3878780,302.6,905480,-297740
15:17,81210.35,81300,97.0,883320,646880,0.4,3931840,1507200,6.95,6621580,5612540,10.2,8044840,4686200,0.8,8185460,4616780,104.3,2501000,-755940,0.55,2357600,-2999240,203.45,819640,-698500,0.5,2251080,-3878780,303.0,905480,-297740
15:18,81193.75,81300,88.05,785100,548660,0.45,3461860,1037220,4.1,7309400,6300360,15.7,7121860,3763220,0.35,7352950,3784270,112.9,2208320,-1048620,0.4,2270040,-3086800,212.6,785220,-732920,0.4,2052480,-4077380,311.5,887660,-315560
15:19,81187.76,81300,91.25,785100,548660,0.35,3461860,1037220,3.7,7309400,6300360,12.9,7121860,3763220,0.3,7352950,3784270,109.25,2208320,-1048620,0.35,2270040,-3086800,208.6,785220,-732920,0.35,2052480,-4077380,307.6,887660,-315560
15:20,81196.63,81300,88.8,785100,548660,0.4,3461860,1037220,3.35,7309400,6300360,15.35,7121860,3763220,0.3,7352950,3784270,112.65,2208320,-1048620,0.3,2270040,-3086800,212.05,785220,-732920,0.2,2052480,-4077380,310.9,887660,-315560
15:21,81211.83,81300,90.45,856340,619900,0.25,3206000,781360,3.05,8650160,7641120,12.7,6269340,2910700,0.4,5920880,2352200,110.15,2153080,-1103860,0.35,2030020,-3326820,208.8,759480,-758660,0.25,1947240,-4182620,310.15,870980,-332240
15:22,81211.05,81300,88.0,856340,619900,0.2,3206000,781360,1.95,8650160,7641120,14.2,6269340,2910700,0.55,5920880,2352200,113.0,2153080,-1103860,0.3,2030020,-3326820,212.3,759480,-758660,0.3,1947240,-4182620,311.55,870980,-332240
15:23,81224.96,81300,90.3,856340,619900,0.2,3206000,781360,2.35,8650160,7641120,12.65,6269340,2910700,0.55,5920880,2352200,110.75,2153080,-1103860,0.35,2030020,-3326820,210.1,759480,-758660,0.3,1947240,-4182620,309.3,870980,-332240
15:24,81209.44,81300,86.2,783060,546620,0.15,2966360,541720,1.2,8617500,7608460,15.2,5403600,2044960,0.45,4277040,708360,114.75,1984680,-1272260,0.35,1743120,-3613720,214.25,714860,-803280,0.45,1746140,-4383720,313.75,846720,-356500
15:25,81257.74,81300,89.25,783060,546620,0.1,2966360,541720,1.95,8617500,7608460,13.1,5403600,2044960,0.65,4277040,708360,111.8,1984680,-1272260,0.45,1743120,-3613720,210.8,714860,-803280,0.4,1746140,-4383720,310.8,846720,-356500
15:26,81284.84,81300,90.4,783060,546620,0.15,2966360,541720,1.95,8617500,7608460,11.65,5403600,2044960,0.6,4277040,708360,110.5,1984680,-1272260,0.35,1743120,-3613720,209.3,714860,-803280,0.4,1746140,-4383720,309.85,846720,-356500
15:27,81281.11,81300,89.5,661640,425200,0.1,2643260,218620,1.6,7933380,6924340,11.75,4574520,1215880,0.65,3920040,351360,111.45,1807380,-1449560,0.4,1632540,-3724300,210.85,684340,-833800,0.35,1823660,-4306200,310.6,822480,-380740
15:28,81302.09,81300,89.15,661640,425200,0.05,2643260,218620,0.35,7933380,6924340,10.8,4574520,1215880,0.15,3920040,351360,110.6,1807380,-1449560,0.15,1632540,-3724300,210.0,684340,-833800,0.15,1823660,-4306200,310.1,822480,-380740
15:29,81272.85,81300,86.5,702380,465940,0.05,2643260,218620,0.05,7933380,6924340,13.25,3921700,563060,0.05,3629600,60920,113.45,1653260,-1603680,0.05,1632540,-3724300,212.65,684340,-833800,0.05,1823660,-4306200,313.9,806380,-396840
15:30,,81300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
