ts,spot,atm_frozen_at_1450,ATM-2_K82100_CE_close,ATM-2_K82100_CE_OI,ATM-2_K82100_CE_OI_chg_vs_1430,ATM-2_K82100_PE_close,ATM-2_K82100_PE_OI,ATM-2_K82100_PE_OI_chg_vs_1430,ATM-1_K82200_CE_close,ATM-1_K82200_CE_OI,ATM-1_K82200_CE_OI_chg_vs_1430,ATM-1_K82200_PE_close,ATM-1_K82200_PE_OI,ATM-1_K82200_PE_OI_chg_vs_1430,ATM_K82300_CE_close,ATM_K82300_CE_OI,ATM_K82300_CE_OI_chg_vs_1430,ATM_K82300_PE_close,ATM_K82300_PE_OI,ATM_K82300_PE_OI_chg_vs_1430,ATM+1_K82400_CE_close,ATM+1_K82400_CE_OI,ATM+1_K82400_CE_OI_chg_vs_1430,ATM+1_K82400_PE_close,ATM+1_K82400_PE_OI,ATM+1_K82400_PE_OI_chg_vs_1430,ATM+2_K82500_CE_close,ATM+2_K82500_CE_OI,ATM+2_K82500_CE_OI_chg_vs_1430,ATM+2_K82500_PE_close,ATM+2_K82500_PE_OI,ATM+2_K82500_PE_OI_chg_vs_1430
14:30,82131.23,82300,142.45,3711760,0,72.8,2279200,0,89.25,4907520,0,119.5,1398940,0,54.0,5400310,0,184.3,623620,0,32.4,4188700,0,263.4,454160,0,20.85,6653500,0,352.1,547720,0
14:31,82201.68,82300,208.6,3711760,0,54.3,2279200,0,140.7,4907520,0,88.35,1398940,0,95.0,5400310,0,137.75,623620,0,59.0,4188700,0,204.05,454160,0,35.5,6653500,0,280.3,547720,0
14:32,82231.32,82300,237.5,2560660,-1151100,46.25,2900720,621520,166.2,3923860,-983660,73.95,1925960,527020,113.65,4361140,-1039170,122.05,783580,159960,69.3,3862000,-326700,185.95,501260,47100,46.4,6034320,-619180,257.0,608240,60520
14:33,82247.63,82300,245.3,2560660,-1151100,41.8,2900720,621520,173.95,3923860,-983660,68.6,1925960,527020,113.85,4361140,-1039170,110.95,783580,159960,73.0,3862000,-326700,169.2,501260,47100,45.6,6034320,-619180,242.35,608240,60520
14:34,82270.4,82300,244.3,1918340,-1793420,35.35,3176940,897740,166.45,3055980,-1851540,61.8,2963260,1564320,109.2,3872500,-1527810,101.75,1395780,772160,67.0,3541780,-646920,157.8,640000,185840,41.55,6360040,-293460,232.05,716820,169100
14:35,82240.45,82300,219.65,1918340,-1793420,41.95,3176940,897740,148.8,3055980,-1851540,70.0,2963260,1564320,96.55,3872500,-1527810,115.6,1395780,772160,55.75,3541780,-646920,174.7,640000,185840,33.0,6360040,-293460,249.65,716820,169100
14:36,82298.68,82300,285.2,1918340,-1793420,29.6,3176940,897740,204.35,3055980,-1851540,49.95,2963260,1564320,137.15,3872500,-1527810,84.7,1395780,772160,88.1,3541780,-646920,136.3,640000,185840,54.55,6360040,-293460,204.05,716820,169100
14:37,82292.27,82300,306.8,1561700,-2150060,24.0,3252440,973240,222.4,2469280,-2438240,41.7,3612400,2213460,151.55,3498120,-1902190,71.8,2037980,1414360,99.8,3371440,-817260,119.0,935620,481460,63.0,6211720,-441780,183.35,846040,298320
14:38,82319.1,82300,305.9,1561700,-2150060,23.95,3252440,973240,221.55,2469280,-2438240,41.9,3612400,2213460,155.05,3498120,-1902190,73.75,2037980,1414360,101.3,3371440,-817260,121.75,935620,481460,63.85,6211720,-441780,183.6,846040,298320
14:39,82271.79,82300,266.75,1561700,-2150060,28.7,3252440,973240,191.35,2469280,-2438240,52.0,3612400,2213460,130.05,3498120,-1902190,88.75,2037980,1414360,81.55,3371440,-817260,140.6,935620,481460,49.6,6211720,-441780,209.9,846040,298320
