ts,spot,atm_frozen_at_1450,ATM-2_K84600_CE_close,ATM-2_K84600_CE_OI,ATM-2_K84600_CE_OI_chg_vs_1430,ATM-2_K84600_PE_close,ATM-2_K84600_PE_OI,ATM-2_K84600_PE_OI_chg_vs_1430,ATM-1_K84700_CE_close,ATM-1_K84700_CE_OI,ATM-1_K84700_CE_OI_chg_vs_1430,ATM-1_K84700_PE_close,ATM-1_K84700_PE_OI,ATM-1_K84700_PE_OI_chg_vs_1430,ATM_K84800_CE_close,ATM_K84800_CE_OI,ATM_K84800_CE_OI_chg_vs_1430,ATM_K84800_PE_close,ATM_K84800_PE_OI,ATM_K84800_PE_OI_chg_vs_1430,ATM+1_K84900_CE_close,ATM+1_K84900_CE_OI,ATM+1_K84900_CE_OI_chg_vs_1430,ATM+1_K84900_PE_close,ATM+1_K84900_PE_OI,ATM+1_K84900_PE_OI_chg_vs_1430,ATM+2_K85000_CE_close,ATM+2_K85000_CE_OI,ATM+2_K85000_CE_OI_chg_vs_1430,ATM+2_K85000_PE_close,ATM+2_K85000_PE_OI,ATM+2_K85000_PE_OI_chg_vs_1430
14:30,84707.32,84800,157.15,817660,0,39.0,4157960,0,90.0,2570340,0,73.5,4486720,0,45.4,5150040,0,128.5,2607620,0,20.8,5283360,0,201.55,1656140,0,10.1,7973960,0,291.15,1895840,0
14:31,84672.02,84800,125.65,817660,0,51.65,4157960,0,66.5,2570340,0,93.0,4486720,0,31.0,5150040,0,157.75,2607620,0,13.8,5283360,0,238.65,1656140,0,6.85,7973960,0,333.6,1895840,0
14:32,84676.73,84800,136.75,817660,0,42.2,4157960,0,71.75,2570340,0,79.55,4486720,0,33.2,5150040,0,141.1,2607620,0,14.7,5283360,0,222.5,1656140,0,7.5,7973960,0,314.3,1895840,0
14:33,84684.57,84800,133.35,905560,87900,40.0,4558230,400270,70.2,2977740,407400,77.35,4774400,287680,31.95,5567760,417720,138.75,2560090,-47530,13.75,5411630,128270,222.05,1689500,33360,6.95,7777760,-196200,314.1,1909320,13480
14:34,84697.88,84800,140.6,905560,87900,36.3,4558230,400270,74.45,2977740,407400,72.1,4774400,287680,34.5,5567760,417720,130.5,2560090,-47530,14.75,5411630,128270,210.9,1689500,33360,7.3,7777760,-196200,302.15,1909320,13480
14:35,84725.8,84800,187.6,905560,87900,22.2,4558230,400270,110.95,2977740,407400,46.0,4774400,287680,54.25,5567760,417720,90.5,2560090,-47530,25.0,5411630,128270,161.5,1689500,33360,11.95,7777760,-196200,248.45,1909320,13480
14:36,84754.74,84800,196.95,1156260,338600,23.6,5641760,1483800,121.25,3919220,1348880,46.8,4974300,487580,59.5,6277600,1127560,88.65,2486460,-121160,27.35,5546020,262660,155.6,1643680,-12460,13.2,7583740,-390220,239.45,1832000,-63840
14:37,84693.46,84800,161.25,1156260,338600,30.4,5641760,1483800,93.4,3919220,1348880,60.4,4974300,487580,44.55,6277600,1127560,111.5,2486460,-121160,18.35,5546020,262660,185.55,1643680,-12460,8.95,7583740,-390220,275.55,1832000,-63840
14:38,84696.05,84800,167.4,1156260,338600,25.3,5641760,1483800,93.65,3919220,1348880,51.85,4974300,487580,42.95,6277600,1127560,101.0,2486460,-121160,17.75,5546020,262660,176.1,1643680,-12460,8.05,7583740,-390220,262.35,1832000,-63840
14:39,84743.7,84800,187.7,842660,25000,19.4,5576120,1418160,107.5,3216400,646060,41.15,5991400,1504680,51.8,6001580,851540,85.25,2675680,68060,21.75,5472310,188950,153.85,1604860,-51280,9.7,8068800,94840,241.2,1790860,-104980
14:40,84745.52,84800,229.05,842660,25000,10.15,5576120,1418160,142.2,3216400,646060,23.3,5991400,1504680,70.05,6001580,851540,53.1,2675680,68060,29.75,5472310,188950,110.95,1604860,-51280,12.45,8068800,94840,192.7,1790860,-104980
14:41,84786.27,84800,247.5,842660,25000,8.1,5576120,1418160,157.9,3216400,646060,18.15,5991400,1504680,81.55,6001580,851540,43.5,2675680,68060,34.2,5472310,188950,95.0,1604860,-51280,13.6,8068800,94840,173.65,1790860,-104980
14:42,84840.42,84800,325.9,832300,14640,6.8,5997440,1839480,232.1,3115100,544760,12.45,6033360,1546640,144.05,6278660,1128620,26.7,3340060,732440,77.1,5545740,262380,56.8,1746280,90140,31.45,8478180,504220,112.8,1811600,-84240
14:43,84879.36,84800,361.6,832300,14640,5.8,5997440,1839480,263.05,3115100,544760,10.1,6033360,1546640,175.85,6278660,1128620,21.3,3340060,732440,96.7,5545740,262380,43.85,1746280,90140,44.5,8478180,504220,89.05,1811600,-84240
14:44,84858.17,84800,319.6,832300,14640,6.55,5997440,1839480,226.7,3115100,544760,12.3,6033360,1546640,141.1,6278660,1128620,27.2,3340060,732440,73.3,5545740,262380,58.55,1746280,90140,30.45,8478180,504220,116.0,1811600,-84240
