ts,spot,atm_frozen_at_1450,ATM-2_K85200_CE_close,ATM-2_K85200_CE_OI,ATM-2_K85200_CE_OI_chg_vs_1430,ATM-2_K85200_PE_close,ATM-2_K85200_PE_OI,ATM-2_K85200_PE_OI_chg_vs_1430,ATM-1_K85300_CE_close,ATM-1_K85300_CE_OI,ATM-1_K85300_CE_OI_chg_vs_1430,ATM-1_K85300_PE_close,ATM-1_K85300_PE_OI,ATM-1_K85300_PE_OI_chg_vs_1430,ATM_K85400_CE_close,ATM_K85400_CE_OI,ATM_K85400_CE_OI_chg_vs_1430,ATM_K85400_PE_close,ATM_K85400_PE_OI,ATM_K85400_PE_OI_chg_vs_1430,ATM+1_K85500_CE_close,ATM+1_K85500_CE_OI,ATM+1_K85500_CE_OI_chg_vs_1430,ATM+1_K85500_PE_close,ATM+1_K85500_PE_OI,ATM+1_K85500_PE_OI_chg_vs_1430,ATM+2_K85600_CE_close,ATM+2_K85600_CE_OI,ATM+2_K85600_CE_OI_chg_vs_1430,ATM+2_K85600_PE_close,ATM+2_K85600_PE_OI,ATM+2_K85600_PE_OI_chg_vs_1430
14:30,85422.85,85400,220.95,695180,0,5.09,5516480,0,130.94,2065340,0,15.05,8860300,0,60.1,6286360,0,44.1,7171960,0,20.5,12494100,0,104.9,5213360,0,6.2,10020960,0,190.65,1820890,0
14:31,85399.19,85400,210.3,695180,0,5.7,5516480,0,119.95,2065340,0,17.39,8860300,0,53.1,6286360,0,49.1,7171960,0,17.14,12494100,0,113.2,5213360,0,5.15,10020960,0,200.65,1820890,0
14:32,85400.88,85400,202.4,668860,-26320,6.95,5434100,-82380,114.8,1968300,-97040,20.55,9512180,651880,48.8,6799780,513420,54.65,8271240,1099280,15.3,12921800,427700,121.85,4569140,-644220,4.45,9695540,-325420,209.6,1874220,53330
14:33,85414.94,85400,212.95,668860,-26320,6.1,5434100,-82380,123.4,1968300,-97040,17.3,9512180,651880,54.15,6799780,513420,48.65,8271240,1099280,16.95,12921800,427700,112.05,4569140,-644220,4.65,9695540,-325420,198.65,1874220,53330
14:34,85403.0,85400,210.35,680480,-14700,5.5,5434100,-82380,120.9,1968300,-97040,16.8,10216160,1355860,51.15,7000080,713720,46.95,8271240,1099280,15.0,12921800,427700,111.25,4569140,-644220,3.9,9416980,-603980,199.2,1874220,53330
14:35,85369.5,85400,203.2,680480,-14700,6.35,5434100,-82380,116.0,1968300,-97040,18.85,10216160,1355860,47.85,7000080,713720,51.65,8271240,1099280,13.75,12921800,427700,117.5,4569140,-644220,3.5,9416980,-603980,207.35,1874220,53330
14:36,85378.71,85400,194.25,680480,-14700,6.55,5434100,-82380,106.75,1968300,-97040,20.35,10216160,1355860,41.3,7000080,713720,56.0,8271240,1099280,11.0,12921800,427700,124.45,4569140,-644220,3.05,9416980,-603980,218.05,1874220,53330
14:37,85380.64,85400,195.65,797480,102300,7.35,5860540,344060,109.55,2319080,253740,21.95,10416060,1555760,43.0,8049760,1763400,57.05,7936360,764400,11.4,12664200,170100,124.0,3978800,-1234560,2.9,8683580,-1337380,216.25,1782500,-38390
14:38,85391.56,85400,201.55,797480,102300,5.7,5860540,344060,111.85,2319080,253740,18.85,10416060,1555760,45.1,8049760,1763400,50.4,7936360,764400,11.55,12664200,170100,117.8,3978800,-1234560,2.8,8683580,-1337380,207.1,1782500,-38390
14:39,85388.77,85400,210.15,797480,102300,4.65,5860540,344060,120.0,2319080,253740,15.05,10416060,1555760,49.8,8049760,1763400,44.15,7936360,764400,13.65,12664200,170100,108.75,3978800,-1234560,3.2,8683580,-1337380,197.4,1782500,-38390
14:40,85378.12,85400,205.4,771960,76780,5.25,5813600,297120,116.4,2343980,278640,16.39,10409240,1548940,45.9,8536280,2249920,46.4,8111860,939900,12.55,12955280,461180,112.65,4119180,-1094180,3.1,8598880,-1422080,202.3,1751600,-69290
14:41,85379.14,85400,201.1,771960,76780,5.2,5813600,297120,111.65,2343980,278640,16.85,10409240,1548940,42.6,8536280,2249920,48.3,8111860,939900,10.55,12955280,461180,116.3,4119180,-1094180,2.5,8598880,-1422080,207.4,1751600,-69290
14:42,85389.5,85400,198.8,776720,81540,4.45,6008060,491580,109.65,2412860,347520,15.9,11272060,2411760,41.1,8675540,2389180,47.7,8314260,1142300,9.85,12798300,304200,117.25,4032240,-1181120,2.54,8119880,-1901080,209.2,1762260,-58630
14:43,85402.15,85400,207.8,776720,81540,3.2,6008060,491580,116.45,2412860,347520,12.7,11272060,2411760,45.35,8675540,2389180,42.05,8314260,1142300,11.45,12798300,304200,108.05,4032240,-1181120,2.75,8119880,-1901080,198.9,1762260,-58630
14:44,85416.29,85400,218.9,776720,81540,2.85,6008060,491580,126.55,2412860,347520,9.69,11272060,2411760,51.3,8675540,2389180,35.9,8314260,1142300,13.4,12798300,304200,98.5,4032240,-1181120,3.4,8119880,-1901080,186.9,1762260,-58630
14:45,85434.06,85400,222.7,669240,-25940,2.5,6008060,491580,130.44,2412860,347520,8.75,10663640,1803340,53.8,8227880,1941520,34.15,8314260,1142300,15.65,12798300,304200,95.4,4032240,-1181120,3.9,8014080,-2006880,185.3,1762260,-58630
14:46,85439.05,85400,237.05,669240,-25940,2.5,6008060,491580,146.44,2412860,347520,7.45,10663640,1803340,65.59,8227880,1941520,27.7,8314260,1142300,18.39,12798300,304200,84.7,4032240,-1181120,4.55,8014080,-2006880,169.05,1762260,-58630
14:47,85448.22,85400,242.55,669240,-25940,1.6,6008060,491580,145.0,2412860,347520,5.2,10663640,1803340,64.25,8227880,1941520,24.55,8314260,1142300,19.45,12798300,304200,78.59,4032240,-1181120,4.34,8014080,-2006880,166.3,1762260,-58630
14:48,85409.71,85400,213.9,576980,-118200,2.15,6008060,491580,119.65,1860640,-204700,7.7,9403140,542840,45.8,7146680,860320,33.54,8314260,1142300,11.7,13975340,1481240,98.05,4789100,-424260,2.6,8603280,-1417680,189.15,1774880,-46010
