ts,spot,atm_frozen_at_1450,ATM-2_K81000_CE_close,ATM-2_K81000_CE_OI,ATM-2_K81000_CE_OI_chg_vs_1430,ATM-2_K81000_PE_close,ATM-2_K81000_PE_OI,ATM-2_K81000_PE_OI_chg_vs_1430,ATM-1_K81100_CE_close,ATM-1_K81100_CE_OI,ATM-1_K81100_CE_OI_chg_vs_1430,ATM-1_K81100_PE_close,ATM-1_K81100_PE_OI,ATM-1_K81100_PE_OI_chg_vs_1430,ATM_K81200_CE_close,ATM_K81200_CE_OI,ATM_K81200_CE_OI_chg_vs_1430,ATM_K81200_PE_close,ATM_K81200_PE_OI,ATM_K81200_PE_OI_chg_vs_1430,ATM+1_K81300_CE_close,ATM+1_K81300_CE_OI,ATM+1_K81300_CE_OI_chg_vs_1430,ATM+1_K81300_PE_close,ATM+1_K81300_PE_OI,ATM+1_K81300_PE_OI_chg_vs_1430,ATM+2_K81400_CE_close,ATM+2_K81400_CE_OI,ATM+2_K81400_CE_OI_chg_vs_1430,ATM+2_K81400_PE_close,ATM+2_K81400_PE_OI,ATM+2_K81400_PE_OI_chg_vs_1430
14:30,81319.05,81200,322.05,1436960,0,5.0,4543890,0,227.55,1157860,0,8.15,3921480,0,138.35,2089820,0,18.85,5144400,0,72.45,4356480,0,51.0,2951300,0,33.65,4376340,0,114.65,799920,0
14:31,81322.07,81200,332.1,1436960,0,4.75,4543890,0,235.25,1157860,0,7.75,3921480,0,145.2,2089820,0,17.8,5144400,0,76.15,4356480,0,47.7,2951300,0,34.95,4376340,0,107.65,799920,0
14:32,81329.23,81200,328.85,1436960,0,4.4,4543890,0,232.0,1157860,0,7.15,3921480,0,140.2,2089820,0,16.95,5144400,0,71.75,4356480,0,47.3,2951300,0,32.6,4376340,0,109.45,799920,0
14:33,81325.36,81200,320.55,1436960,0,4.15,4496080,-47810,223.3,1058580,-99280,7.1,3921480,0,136.55,2089820,0,17.7,5144400,0,66.55,4014720,-341760,49.25,2951300,0,30.5,4426960,50620,114.0,931920,132000
14:34,81288.33,81200,299.75,1436960,0,4.7,4496080,-47810,205.1,1058580,-99280,9.4,3921480,0,120.3,2089820,0,24.55,5144400,0,59.65,4014720,-341760,62.15,2951300,0,25.5,4426960,50620,129.0,931920,132000
14:35,81263.55,81200,282.2,1436960,0,5.9,4496080,-47810,189.2,1058580,-99280,12.15,3921480,0,108.1,2089820,0,30.5,5144400,0,51.15,4014720,-341760,74.1,2951300,0,21.4,4426960,50620,146.15,931920,132000
14:36,81187.12,81200,204.5,1436960,0,11.6,4372960,-170930,118.55,1094840,-63020,26.85,3921480,0,52.2,1994020,-95800,65.65,5283160,138760,24.45,4014720,-341760,126.25,2951300,0,9.75,5011180,634840,222.3,931920,132000
14:37,81233.71,81200,246.2,1436960,0,6.05,4372960,-170930,152.0,1094840,-63020,12.15,3921480,0,75.7,1994020,-95800,33.4,5283160,138760,32.85,4014720,-341760,89.05,2951300,0,13.9,5011180,634840,170.25,931920,132000
14:38,81215.01,81200,212.45,1436960,0,7.8,4372960,-170930,121.9,1094840,-63020,17.4,3921480,0,51.95,1994020,-95800,46.1,5283160,138760,21.05,4014720,-341760,116.1,2951300,0,8.8,5011180,634840,202.95,931920,132000
14:39,81200.7,81200,184.8,1377700,-59260,9.5,5060620,516730,101.2,1243100,85240,23.45,4312440,390960,41.15,2628480,538660,63.8,5283160,138760,16.65,4014720,-341760,137.3,2211080,-740220,7.9,4614140,237800,232.15,931920,132000
14:40,81194.67,81200,188.1,1377700,-59260,9.3,5060620,516730,102.55,1243100,85240,23.9,4312440,390960,42.55,2628480,538660,64.0,5283160,138760,17.35,4014720,-341760,138.85,2211080,-740220,7.95,4614140,237800,229.75,931920,132000
14:41,81191.95,81200,183.9,1377700,-59260,9.9,5060620,516730,100.65,1243100,85240,25.25,4312440,390960,42.0,2628480,538660,66.8,5283160,138760,14.8,4014720,-341760,139.9,2211080,-740220,5.65,4614140,237800,232.35,931920,132000
14:42,81196.25,81200,193.55,1399940,-37020,8.0,5425040,881150,105.65,1497340,339480,18.95,4742400,820920,40.55,3509140,1419320,53.35,4260100,-884300,13.9,6070040,1713560,124.35,1873040,-1078260,5.35,4349140,-27200,219.45,462600,-337320
14:43,81200.43,81200,202.75,1399940,-37020,7.4,5425040,881150,112.0,1497340,339480,17.15,4742400,820920,46.1,3509140,1419320,50.05,4260100,-884300,15.5,6070040,1713560,119.7,1873040,-1078260,5.7,4349140,-27200,210.5,462600,-337320
14:44,81230.06,81200,220.7,1399940,-37020,6.35,5425040,881150,129.15,1497340,339480,13.0,4742400,820920,57.25,3509140,1419320,38.1,4260100,-884300,20.4,6070040,1713560,101.15,1873040,-1078260,7.6,4349140,-27200,188.85,462600,-337320
14:45,81198.94,81200,186.05,1359320,-77640,7.9,6023860,1479970,95.8,1494360,336500,20.1,5201140,1279660,34.3,3697380,1607560,57.7,4260100,-884300,11.9,6070040,1713560,135.9,1755300,-1196000,4.4,4349140,-27200,229.45,462600,-337320
14:46,81198.97,81200,199.1,1359320,-77640,7.25,6023860,1479970,108.6,1494360,336500,16.55,5201140,1279660,41.0,3697380,1607560,49.3,4260100,-884300,13.3,6070040,1713560,122.1,1755300,-1196000,4.7,4349140,-27200,213.4,462600,-337320
14:47,81185.72,81200,196.25,1359320,-77640,7.3,6023860,1479970,106.15,1494360,336500,16.8,5201140,1279660,38.45,3697380,1607560,49.6,4260100,-884300,10.85,6070040,1713560,122.25,1755300,-1196000,3.2,4349140,-27200,215.1,462600,-337320
14:48,81197.82,81200,188.75,1405580,-31380,6.0,6341620,1797730,96.75,1494360,336500,15.05,5940380,2018900,32.0,4437490,2347670,51.0,4648120,-496280,8.35,6547760,2191280,127.05,1737280,-1214020,2.9,3495780,-880560,222.95,417860,-382060
14:49,81168.1,81200,165.9,1405580,-31380,7.15,6341620,1797730,79.35,1494360,336500,18.55,5940380,2018900,22.4,4437490,2347670,61.75,4648120,-496280,5.55,6547760,2191280,145.9,1737280,-1214020,2.5,3495780,-880560,241.35,417860,-382060
14:50,81157.13,81200,162.95,1405580,-31380,6.9,6341620,1797730,74.4,1494360,336500,17.95,5940380,2018900,19.4,4437490,2347670,63.1,4648120,-496280,4.2,6547760,2191280,146.0,1737280,-1214020,2.15,3495780,-880560,245.8,417860,-382060
14:51,81176.13,81200,172.55,1433300,-3660,6.3,6333340,1789450,82.5,1494360,336500,15.05,6459870,2538390,22.7,5586900,3497080,55.55,4498820,-645580,5.0,6516320,2159840,137.15,1607690,-1343610,2.1,3106520,-1269820,235.9,417860,-382060
14:52,81198.92,81200,200.4,1433300,-3660,3.2,6333340,1789450,105.2,1494360,336500,7.55,6459870,2538390,33.3,5586900,3497080,35.2,4498820,-645580,7.7,6516320,2159840,109.6,1607690,-1343610,3.15,3106520,-1269820,205.95,417860,-382060
14:53,81198.46,81200,195.8,1433300,-3660,3.65,6333340,1789450,101.4,1494360,336500,8.1,6459870,2538390,30.75,5586900,3497080,37.45,4498820,-645580,6.5,6516320,2159840,112.9,1607690,-1343610,2.5,3106520,-1269820,210.8,417860,-382060
14:54,81207.17,81200,213.2,1450840,13880,2.25,6574360,2030470,116.0,2022820,864960,4.05,7234430,3312950,39.3,6221800,4131980,26.1,4588600,-555800,9.0,6165920,1809440,96.1,1541220,-1410080,3.15,2876080,-1500260,190.65,349100,-450820
14:55,81230.9,81200,246.0,1450840,13880,1.95,6574360,2030470,148.9,2022820,864960,4.05,7234430,3312950,60.0,6221800,4131980,15.1,4588600,-555800,15.65,6165920,1809440,72.3,1541220,-1410080,4.4,2876080,-1500260,158.8,349100,-450820
14:56,81246.09,81200,257.55,1450840,13880,1.75,6574360,2030470,159.0,2022820,864960,3.25,7234430,3312950,67.6,6221800,4131980,12.2,4588600,-555800,15.4,6165920,1809440,59.75,1541220,-1410080,3.85,2876080,-1500260,147.5,349100,-450820
14:57,81212.44,81200,212.95,1378180,-58780,1.55,5371240,827350,116.1,1845860,688000,3.7,6972740,3051260,33.35,6076940,3987120,21.45,4588600,-555800,6.15,6849640,2493160,93.6,1633560,-1317740,2.25,3126660,-1249680,189.75,374040,-425880
14:58,81192.67,81200,188.8,1378180,-58780,1.8,5371240,827350,93.4,1845860,688000,5.1,6972740,3051260,19.5,6076940,3987120,30.9,4588600,-555800,4.75,6849640,2493160,115.45,1633560,-1317740,2.25,3126660,-1249680,214.6,374040,-425880
14:59,81216.06,81200,221.6,1378180,-58780,1.85,5371240,827350,126.55,1845860,688000,2.65,6972740,3051260,34.65,6076940,3987120,13.8,4588600,-555800,7.5,6849640,2493160,86.9,1633560,-1317740,2.65,3126660,-1249680,180.3,374040,-425880
15:00,81216.73,81200,213.4,1289240,-147720,1.75,4319140,-224750,115.6,1562040,404180,3.0,6606480,2685000,27.7,6076940,3987120,15.8,4588600,-555800,3.55,8026780,3670300,91.9,1825740,-1125560,1.25,3126660,-1249680,191.3,374040,-425880
15:01,81246.21,81200,243.75,1289240,-147720,1.2,4319140,-224750,144.4,1562040,404180,1.35,6606480,2685000,51.75,6076940,3987120,8.05,4588600,-555800,6.2,8026780,3670300,62.35,1825740,-1125560,1.4,3126660,-1249680,158.7,374040,-425880
