ts,spot,atm_frozen_at_1450,ATM-2_K79600_CE_close,ATM-2_K79600_CE_OI,ATM-2_K79600_CE_OI_chg_vs_1430,ATM-2_K79600_PE_close,ATM-2_K79600_PE_OI,ATM-2_K79600_PE_OI_chg_vs_1430,ATM-1_K79700_CE_close,ATM-1_K79700_CE_OI,ATM-1_K79700_CE_OI_chg_vs_1430,ATM-1_K79700_PE_close,ATM-1_K79700_PE_OI,ATM-1_K79700_PE_OI_chg_vs_1430,ATM_K79800_CE_close,ATM_K79800_CE_OI,ATM_K79800_CE_OI_chg_vs_1430,ATM_K79800_PE_close,ATM_K79800_PE_OI,ATM_K79800_PE_OI_chg_vs_1430,ATM+1_K79900_CE_close,ATM+1_K79900_CE_OI,ATM+1_K79900_CE_OI_chg_vs_1430,ATM+1_K79900_PE_close,ATM+1_K79900_PE_OI,ATM+1_K79900_PE_OI_chg_vs_1430,ATM+2_K80000_CE_close,ATM+2_K80000_CE_OI,ATM+2_K80000_CE_OI_chg_vs_1430,ATM+2_K80000_PE_close,ATM+2_K80000_PE_OI,ATM+2_K80000_PE_OI_chg_vs_1430
14:30,79784.2,79800,197.2,463350,0,11.7,2679300,0,108.55,1835320,0,21.8,5189960,0,37.6,4524760,0,51.2,3444430,0,14.85,3138410,0,129.0,723870,0,8.55,4765180,0,222.0,726910,0
14:31,79803.99,79800,225.9,463350,0,9.5,2679300,0,135.55,1835320,0,17.6,5189960,0,55.4,4524760,0,39.29,3444430,0,23.1,3138410,0,106.4,723870,0,12.8,4765180,0,195.65,726910,0
14:32,79819.25,79800,225.65,463350,0,9.25,2679300,0,135.94,1835320,0,17.7,5189960,0,56.5,4524760,0,39.9,3444430,0,25.75,3138410,0,109.15,723870,0,14.65,4765180,0,197.5,726910,0
14:33,79823.64,79800,217.65,406840,-56510,8.75,2479400,-199900,126.8,1835320,0,17.89,5284010,94050,52.4,4524760,0,41.4,3689040,244610,22.95,3052620,-85790,114.4,878020,154150,13.35,4907400,142220,204.65,744230,17320
14:34,79833.41,79800,224.8,406840,-56510,7.75,2479400,-199900,133.65,1835320,0,15.95,5284010,94050,56.35,4524760,0,39.0,3689040,244610,25.1,3052620,-85790,107.65,878020,154150,13.9,4907400,142220,196.35,744230,17320
14:35,79831.48,79800,230.5,406840,-56510,7.9,2479400,-199900,140.0,1835320,0,16.1,5284010,94050,62.2,4524760,0,39.25,3689040,244610,27.8,3052620,-85790,105.55,878020,154150,15.05,4907400,142220,192.3,744230,17320
14:36,79826.22,79800,225.4,399270,-64080,7.75,2460420,-218880,134.69,1508050,-327270,16.25,5074920,-115040,56.7,3675890,-848870,40.35,3866730,422300,23.55,3121070,-17340,108.15,1020630,296760,12.45,4964800,199620,194.95,771410,44500
14:37,79819.73,79800,216.2,399270,-64080,8.25,2460420,-218880,126.0,1508050,-327270,17.89,5074920,-115040,50.0,3675890,-848870,43.4,3866730,422300,20.14,3121070,-17340,113.4,1020630,296760,11.2,4964800,199620,203.3,771410,44500
14:38,79822.36,79800,220.15,399270,-64080,6.4,2460420,-218880,129.3,1508050,-327270,14.75,5074920,-115040,51.65,3675890,-848870,38.6,3866730,422300,19.6,3121070,-17340,107.0,1020630,296760,10.7,4964800,199620,197.45,771410,44500
14:39,79812.25,79800,221.0,397520,-65830,5.9,2482590,-196710,129.6,1508050,-327270,13.7,5176640,-13320,53.2,3675890,-848870,37.7,3797110,352680,19.45,3471770,333360,104.45,1031630,307760,10.25,5056700,291520,195.2,747490,20580
14:40,79812.94,79800,214.8,397520,-65830,6.55,2482590,-196710,123.75,1508050,-327270,15.4,5176640,-13320,48.0,3675890,-848870,41.0,3797110,352680,16.3,3471770,333360,108.55,1031630,307760,8.55,5056700,291520,201.0,747490,20580
14:41,79824.42,79800,225.35,397520,-65830,5.75,2482590,-196710,131.9,1508050,-327270,12.4,5176640,-13320,51.9,3675890,-848870,33.54,3797110,352680,17.75,3471770,333360,99.3,1031630,307760,8.65,5056700,291520,190.35,747490,20580
14:42,79895.82,79800,304.95,394600,-68750,6.3,2477640,-201660,216.65,1525640,-309680,10.3,5361010,171050,128.4,3777210,-747550,22.6,4093750,649320,65.59,3617110,478700,60.85,1066380,342510,34.65,5211130,445950,127.7,743930,17020
