expiry,status,atm,spot_at_1450,spot_at_1530,spot_move,ce_atm_at_1450,ce_atm_at_1530,pe_atm_at_1450,pe_atm_at_1530,ce_change_pct,pe_change_pct
04_OCT_24,ok,81700,81680.65,,0,38.5,,33.65,,,
11_OCT_24,ok,81400,81386.74,,0,23.85,,15.0,,,
18_OCT_24,ok,81300,81339.52,,0,22.6,,16.8,,,
31_OCT_24,ok,79400,79406.48,,0,36.7,,33.29,,,
08_NOV_24,ok,79500,79497.8,,0,14.4,,25.95,,,
14_NOV_24,ok,77600,77608.88,,0,9.6,,42.95,,,
22_NOV_24,ok,79000,79005.02,,0,215.5,,170.6,,,
29_NOV_24,ok,79800,79839.58,,0,47.1,,23.8,,,
06_DEC_24,ok,81700,81697.83,,0,30.3,,24.85,,,
13_DEC_24,ok,81900,81911.0,,0,86.75,,68.0,,,
20_DEC_24,ok,78300,78278.45,,0,29.9,,81.0,,,
27_DEC_24,ok,78700,78698.61,,0,34.85,,24.25,,,
03_JAN_25,ok,79300,79293.32,,0,64.34,,16.95,,,
07_JAN_25,ok,78100,78112.36,,0,42.7,,24.25,,,
14_JAN_25,ok,76500,76531.0,,0,35.6,,10.5,,,
21_JAN_25,ok,75800,75808.05,,0,89.85,,136.25,,,
28_JAN_25,ok,76000,76034.03,,0,135.15,,125.65,,,
04_FEB_25,ok,78500,78458.64,,0,89.95,,93.55,,,
11_MAR_25,ok,74100,74094.21,,0,15.95,,20.6,,,
18_MAR_25,ok,75200,75167.74,,0,22.35,,49.2,,,
25_MAR_25,ok,78000,78034.38,,0,100.95,,,,,
01_APR_25,ok,76100,76071.79,,0,28.1,,80.15,,,
08_APR_25,ok,74200,74248.4,,0,132.4,,125.35,,,
15_APR_25,ok,76700,76725.35,,0,22.95,,8.9,,,
22_APR_25,ok,79500,79542.57,,0,79.1,,10.55,,,
29_APR_25,ok,80400,80352.59,,0,5.25,,72.45,,,
06_MAY_25,ok,80600,80605.41,,0,29.95,,17.65,,,
13_MAY_25,ok,81300,81271.58,,0,84.8,,135.55,,,
20_MAY_25,ok,81300,81271.01,,0,21.75,,90.4,,,
27_MAY_25,ok,81400,81418.32,,0,81.3,,88.0,,,
03_JUN_25,ok,80800,80831.89,,0,67.25,,42.25,,,
10_JUN_25,ok,82400,82421.15,,0,46.6,,18.5,,,
17_JUN_25,ok,81500,81547.09,,0,70.1,,12.0,,,
24_JUN_25,ok,82100,82095.8,,0,32.3,,83.05,,,
01_JUL_25,ok,83700,83663.0,,0,17.05,,31.65,,,
08_JUL_25,ok,83500,83490.21,,0,14.2,,26.35,,,
15_JUL_25,ok,82500,82502.03,,0,53.85,,33.35,,,
22_JUL_25,ok,82200,82241.32,,0,56.4,,18.55,,,
29_JUL_25,ok,81200,81157.13,,0,19.4,,63.1,,,
05_AUG_25,ok,80600,80593.56,,0,46.45,,36.15,,,
12_AUG_25,ok,80300,80262.19,,0,55.4,,77.05,,,
19_AUG_25,ok,81600,81616.85,,0,54.4,,29.95,,,
26_AUG_25,ok,81000,80989.02,,0,32.6,,52.35,,,
04_SEP_25,ok,80800,80796.3,,0,72.95,,44.25,,,
11_SEP_25,ok,81600,81554.52,,0,23.05,,55.6,,,
18_SEP_25,ok,82900,82873.25,,0,21.4,,80.05,,,
25_SEP_25,ok,81300,81332.61,,0,97.9,,31.05,,,
01_OCT_25,ok,81000,81036.42,,0,81.85,,20.6,,,
09_OCT_25,ok,82000,81987.35,,0,74.75,,20.2,,,
16_OCT_25,ok,83500,83488.29,,0,54.55,,48.6,,,
23_OCT_25,ok,84800,84847.91,,0,120.55,,21.65,,,
30_OCT_25,ok,84400,84414.89,,0,66.0,,62.0,,,
06_NOV_25,ok,83400,83382.01,,0,42.55,,34.8,,,
13_NOV_25,ok,84600,84614.75,,0,42.4,,71.9,,,
20_NOV_25,ok,85700,85691.57,,0,47.1,,62.25,,,
27_NOV_25,ok,85600,85629.52,,0,56.75,,63.15,,,
04_DEC_25,ok,85200,85206.02,,0,29.4,,50.75,,,
11_DEC_25,ok,84700,84665.69,,0,53.6,,74.7,,,
18_DEC_25,ok,84400,84420.49,,0,55.05,,37.2,,,
24_DEC_25,ok,85400,85377.76,,0,37.1,,39.79,,,
01_JAN_26,ok,85300,85266.35,,0,13.7,,61.45,,,
08_JAN_26,ok,84300,84341.64,,0,80.35,,20.3,,,
14_JAN_26,ok,83500,83488.8,,0,69.75,,51.1,,,
22_JAN_26,ok,82300,82324.45,,0,114.85,,60.65,,,
29_JAN_26,ok,82700,82668.41,,0,57.0,,80.3,,,
05_MAR_26,ok,80000,80002.66,,0,130.95,,98.35,,,
12_MAR_26,ok,76000,76045.17,,0,121.9,,76.0,,,
19_MAR_26,ok,74400,74379.89,,0,104.85,,75.25,,,
25_MAR_26,ok,75400,75378.69,,0,76.5,,95.1,,,
02_APR_26,ok,73000,73000.92,,0,95.25,,100.8,,,
09_APR_26,ok,76500,76462.65,,0,79.65,,92.7,,,
16_APR_26,ok,78100,78133.29,,0,97.95,,42.5,,,
23_APR_26,ok,77700,77711.92,,0,64.4,,39.35,,,
30_APR_26,ok,77000,77006.62,,0,70.5,,56.7,,,
