expiry,spot_1450,atm,ce,pe,combined
04_OCT_24,81680.65,81700,38.5,33.65,72.15
11_OCT_24,81386.74,81400,23.85,15.0,38.85
18_OCT_24,81339.52,81300,22.6,16.8,39.4
31_OCT_24,79406.48,79400,36.7,33.29,69.99
08_NOV_24,79497.8,79500,14.4,25.95,40.35
14_NOV_24,77608.88,77600,9.6,42.95,52.55
22_NOV_24,79005.02,79000,215.5,170.6,386.1
29_NOV_24,79839.58,79800,47.1,23.8,70.9
06_DEC_24,81697.83,81700,30.3,24.85,55.15
13_DEC_24,81911.0,81900,86.75,68.0,154.75
20_DEC_24,78278.45,78300,29.9,81.0,110.9
27_DEC_24,78698.61,78700,34.85,24.25,59.1
03_JAN_25,79293.32,79300,64.34,16.95,81.29
07_JAN_25,78112.36,78100,42.7,24.25,66.95
14_JAN_25,76531.0,76500,35.6,10.5,46.1
21_JAN_25,75808.05,75800,89.85,136.25,226.1
28_JAN_25,76034.03,76000,135.15,125.65,260.8
04_FEB_25,78458.64,78500,89.95,93.55,183.5
11_MAR_25,74094.21,74100,15.95,20.6,36.55
18_MAR_25,75167.74,75200,22.35,49.2,71.55
25_MAR_25,78034.38,78000,100.95,,
01_APR_25,76071.79,76100,28.1,80.15,108.25
08_APR_25,74248.4,74200,132.4,125.35,257.75
15_APR_25,76725.35,76700,22.95,8.9,31.85
22_APR_25,79542.57,79500,79.1,10.55,89.65
29_APR_25,80352.59,80400,5.25,72.45,77.7
06_MAY_25,80605.41,80600,29.95,17.65,47.6
13_MAY_25,81271.58,81300,84.8,135.55,220.35
20_MAY_25,81271.01,81300,21.75,90.4,112.15
27_MAY_25,81418.32,81400,81.3,88.0,169.3
03_JUN_25,80831.89,80800,67.25,42.25,109.5
10_JUN_25,82421.15,82400,46.6,18.5,65.1
17_JUN_25,81547.09,81500,70.1,12.0,82.1
24_JUN_25,82095.8,82100,32.3,83.05,115.35
01_JUL_25,83663.0,83700,17.05,31.65,48.7
08_JUL_25,83490.21,83500,14.2,26.35,40.55
15_JUL_25,82502.03,82500,53.85,33.35,87.2
22_JUL_25,82241.32,82200,56.4,18.55,74.95
29_JUL_25,81157.13,81200,19.4,63.1,82.5
05_AUG_25,80593.56,80600,46.45,36.15,82.6
12_AUG_25,80262.19,80300,55.4,77.05,132.45
19_AUG_25,81616.85,81600,54.4,29.95,84.35
26_AUG_25,80989.02,81000,32.6,52.35,84.95
04_SEP_25,80796.3,80800,72.95,44.25,117.2
11_SEP_25,81554.52,81600,23.05,55.6,78.65
18_SEP_25,82873.25,82900,21.4,80.05,101.45
25_SEP_25,81332.61,81300,97.9,31.05,128.95
01_OCT_25,81036.42,81000,81.85,20.6,102.45
09_OCT_25,81987.35,82000,74.75,20.2,94.95
16_OCT_25,83488.29,83500,54.55,48.6,103.15
23_OCT_25,84847.91,84800,120.55,21.65,142.2
30_OCT_25,84414.89,84400,66.0,62.0,128.0
06_NOV_25,83382.01,83400,42.55,34.8,77.35
13_NOV_25,84614.75,84600,42.4,71.9,114.3
20_NOV_25,85691.57,85700,47.1,62.25,109.35
27_NOV_25,85629.52,85600,56.75,63.15,119.9
04_DEC_25,85206.02,85200,29.4,50.75,80.15
11_DEC_25,84665.69,84700,53.6,74.7,128.3
18_DEC_25,84420.49,84400,55.05,37.2,92.25
24_DEC_25,85377.76,85400,37.1,39.79,76.89
01_JAN_26,85266.35,85300,13.7,61.45,75.15
08_JAN_26,84341.64,84300,80.35,20.3,100.65
14_JAN_26,83488.8,83500,69.75,51.1,120.85
22_JAN_26,82324.45,82300,114.85,60.65,175.5
29_JAN_26,82668.41,82700,57.0,80.3,137.3
05_MAR_26,80002.66,80000,130.95,98.35,229.3
12_MAR_26,76045.17,76000,121.9,76.0,197.9
19_MAR_26,74379.89,74400,104.85,75.25,180.1
25_MAR_26,75378.69,75400,76.5,95.1,171.6
02_APR_26,73000.92,73000,95.25,100.8,196.05
09_APR_26,76462.65,76500,79.65,92.7,172.35
16_APR_26,78133.29,78100,97.95,42.5,140.45
23_APR_26,77711.92,77700,64.4,39.35,103.75
30_APR_26,77006.62,77000,70.5,56.7,127.2
