date,weekday,day_open,day_high,day_low,day_close,prev_close,prev_high,prev_low,pivot_PP,pivot_R1,pivot_S1,pivot_R2,pivot_S2,pivot_R3,pivot_S3,cam_R1,cam_S1,cam_R2,cam_S2,cam_R3,cam_S3,cam_R4,cam_S4,or15_high,or15_low,or30_high,or30_low
2024-01-02,Tuesday,21751.35,21755.6,21555.65,21661.5,21689.45,21834.35,21680.85,21734.88,21788.92,21635.42,21888.38,21581.38,21942.42,21481.92,21703.52,21675.38,21717.59,21661.31,21731.66,21647.24,21773.88,21605.03,21755.6,21699.0,21755.6,21699.0
2024-01-03,Wednesday,21661.1,21677.0,21500.35,21523.7,21661.5,21755.6,21555.65,21657.58,21759.52,21559.57,21857.53,21457.63,21959.47,21359.62,21679.83,21643.17,21698.16,21624.84,21716.49,21606.51,21771.47,21551.53,21677.0,21594.45,21677.0,21556.7
2024-01-04,Thursday,21605.8,21685.65,21564.55,21669.6,21523.7,21677.0,21500.35,21567.02,21633.68,21457.03,21743.67,21390.37,21810.33,21280.38,21539.89,21507.51,21556.09,21491.31,21572.28,21475.12,21620.86,21426.54,21624.8,21564.55,21624.8,21564.55
2024-01-05,Friday,21705.75,21749.6,21629.2,21709.55,21669.6,21685.65,21564.55,21639.93,21715.32,21594.22,21761.03,21518.83,21836.42,21473.12,21680.7,21658.5,21691.8,21647.4,21702.9,21636.3,21736.2,21602.99,21749.6,21698.2,21749.6,21698.2
2024-01-08,Monday,21747.6,21763.95,21492.9,21511.35,21709.55,21749.6,21629.2,21696.12,21763.03,21642.63,21816.52,21575.72,21883.43,21522.23,21720.59,21698.51,21731.62,21687.48,21742.66,21676.44,21775.77,21643.33,21763.95,21706.7,21763.95,21649.65
2024-01-09,Tuesday,21653.6,21724.45,21517.85,21551.95,21511.35,21763.95,21492.9,21589.4,21685.9,21414.85,21860.45,21318.35,21956.95,21143.8,21536.2,21486.5,21561.04,21461.66,21585.89,21436.81,21660.43,21362.27,21673.65,21632.2,21673.65,21602.35
2024-01-10,Wednesday,21529.3,21641.85,21448.65,21625.4,21551.95,21724.45,21517.85,21598.08,21678.32,21471.72,21804.68,21391.48,21884.92,21265.12,21570.89,21533.01,21589.83,21514.07,21608.77,21495.13,21665.58,21438.32,21564.5,21448.65,21564.8,21448.65
2024-01-11,Thursday,21688.0,21726.5,21593.75,21669.4,21625.4,21641.85,21448.65,21571.97,21695.28,21502.08,21765.17,21378.77,21888.48,21308.88,21643.11,21607.69,21660.82,21589.98,21678.53,21572.27,21731.66,21519.14,21726.5,21683.4,21726.5,21674.05
2024-01-12,Friday,21773.55,21928.25,21715.15,21908.25,21669.4,21726.5,21593.75,21663.22,21732.68,21599.93,21795.97,21530.47,21865.43,21467.18,21681.57,21657.23,21693.74,21645.06,21705.91,21632.89,21742.41,21596.39,21789.15,21715.15,21789.15,21715.15
2024-01-15,Monday,22053.15,22115.55,21963.55,22109.8,21908.25,21928.25,21715.15,21850.55,21985.95,21772.85,22063.65,21637.45,22199.05,21559.75,21927.78,21888.72,21947.32,21869.18,21966.85,21849.65,22025.45,21791.05,22081.95,22021.1,22081.95,22021.1
2024-01-16,Tuesday,22080.5,22124.15,21969.8,22031.6,22109.8,22115.55,21963.55,22062.97,22162.38,22010.38,22214.97,21910.97,22314.38,21858.38,22123.73,22095.87,22137.67,22081.93,22151.6,22068.0,22193.4,22026.2,22088.2,22029.2,22088.2,22029.2
2024-01-17,Wednesday,21647.25,21851.5,21550.45,21577.25,22031.6,22124.15,21969.8,22041.85,22113.9,21959.55,22196.2,21887.5,22268.25,21805.2,22045.75,22017.45,22059.9,22003.3,22074.05,21989.15,22116.49,21946.71,21851.5,21636.95,21851.5,21636.95
