trade_date,expiry,dte,vix_at_decision,vix_pct_change,vix_regime,signal,spot_at_decision,strike,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,peak_premium,trail_armed,net_pnl,return_pct
2024-09-23,03_OCT_24,10,13.64,2.79,Normal,BUY_PE,25909.9,25900,199.0,1,65,2024-09-23T15:25:00+05:30,184.05,25931.6,EOD,325,210.6,False,-1038.25,-7.56
2024-09-25,03_OCT_24,8,13.27,-2.28,Normal,BUY_CE,25944.3,25950,196.3,1,65,2024-09-25T15:25:00+05:30,206.65,26015.85,EOD,325,219.3,False,606.25,5.22
2024-10-04,10_OCT_24,6,13.23,1.85,Normal,BUY_PE,25290.6,25300,158.25,1,65,2024-10-04T10:16:00+05:30,207.1,25191.1,TP,16,207.1,True,3108.75,30.8
2024-10-07,10_OCT_24,3,14.22,1.14,Normal,BUY_PE,25070.25,25050,140.25,2,130,2024-10-07T10:38:00+05:30,188.9,24986.8,TP,38,188.9,True,6251.5,34.6
2024-10-08,10_OCT_24,2,15.15,0.93,Elevated,BUY_PE,24867.2,24850,159.55,1,65,2024-10-08T11:08:00+05:30,110.2,24952.5,SL,68,191.05,False,-3274.25,-30.98
2024-10-14,17_OCT_24,3,13.37,-2.62,Normal,BUY_CE,25122.65,25100,153.0,2,130,2024-10-14T15:25:00+05:30,133.69,25137.6,EOD,325,158.25,False,-2583.3,-12.68
2024-10-15,17_OCT_24,2,13.05,1.16,Normal,BUY_PE,25082.15,25100,128.85,2,130,2024-10-15T10:30:00+05:30,169.4,25020.6,TP,30,169.4,True,5198.5,31.38
2024-10-17,17_OCT_24,0,13.28,1.53,Normal,BUY_PE,24829.7,24850,51.95,5,325,2024-10-17T10:36:00+05:30,33.15,24845.9,SL,36,59.15,False,-6202.5,-36.35
2024-10-18,24_OCT_24,6,13.55,-0.88,Normal,BUY_CE,24641.85,24650,175.25,1,65,2024-10-18T10:31:00+05:30,228.8,24726.6,TP,31,228.8,True,3414.25,30.49
2024-10-21,24_OCT_24,3,13.8,2.6,Normal,BUY_PE,24749.0,24750,144.1,2,130,2024-10-21T10:06:00+05:30,95.0,24817.85,SL,6,144.1,False,-6456.0,-34.13
2024-10-22,24_OCT_24,2,13.63,-2.64,Normal,BUY_CE,24878.9,24900,99.05,3,195,2024-10-22T10:09:00+05:30,68.0,24818.65,SL,9,99.05,False,-6134.25,-31.43
2024-10-23,24_OCT_24,1,14.68,1.94,Normal,BUY_PE,24484.25,24500,114.7,2,130,2024-10-23T11:00:00+05:30,75.95,24540.9,SL,60,119.1,False,-5110.5,-33.86
2024-10-24,24_OCT_24,0,14.47,-1.7,Normal,BUY_CE,24415.6,24400,43.1,7,455,2024-10-24T10:08:00+05:30,57.95,24444.15,TP,8,57.95,True,6651.25,34.18
2024-10-25,31_OCT_24,6,14.46,3.14,Normal,BUY_PE,24255.15,24250,164.35,1,65,2024-10-25T10:54:00+05:30,225.1,24126.3,TP,54,225.1,True,3882.25,36.89
2024-10-29,31_OCT_24,2,14.8,2.99,Normal,BUY_PE,24203.7,24200,110.6,2,130,2024-10-29T10:13:00+05:30,108.7,24203.8,BE_STOP,13,134.05,True,-320.0,-1.81
2024-10-30,31_OCT_24,1,15.2,3.33,Elevated,BUY_PE,24398.1,24400,84.95,3,195,2024-10-30T11:20:00+05:30,59.15,24444.55,SL,80,92.4,False,-5110.5,-30.47
2024-10-31,31_OCT_24,0,15.67,-1.82,Elevated,BUY_CE,24301.75,24300,41.5,7,455,2024-10-31T10:11:00+05:30,28.2,24273.65,SL,11,41.5,False,-6157.0,-32.25
2024-11-06,07_NOV_24,1,15.28,-1.23,Elevated,BUY_CE,24371.9,24350,114.7,2,130,2024-11-06T10:30:00+05:30,75.3,24290.1,SL,30,137.6,False,-5195.0,-34.42
2024-11-07,07_NOV_24,0,15.26,1.4,Elevated,BUY_PE,24258.35,24250,74.2,4,260,2024-11-07T10:18:00+05:30,74.0,24235.6,BE_STOP,18,93.3,True,-138.0,-0.4
2024-11-08,14_NOV_24,6,14.95,-2.99,Normal,BUY_CE,24173.5,24150,197.6,1,65,2024-11-08T11:57:00+05:30,137.85,24114.25,SL,117,211.0,False,-3950.25,-30.28
2024-11-11,14_NOV_24,3,14.66,-1.81,Normal,BUY_CE,24155.4,24150,131.5,2,130,2024-11-11T10:28:00+05:30,173.6,24211.15,TP,28,173.6,True,5400.0,31.93
2024-11-13,14_NOV_24,1,15.06,3.36,Elevated,BUY_PE,23784.9,23800,112.5,2,130,2024-11-13T10:07:00+05:30,150.75,23710.45,TP,7,150.75,True,4899.5,33.9
2024-11-14,14_NOV_24,0,15.21,2.63,Elevated,BUY_PE,23641.1,23650,72.2,4,260,2024-11-14T10:39:00+05:30,109.8,23573.2,TP,39,109.8,True,9690.0,51.9
2024-11-18,21_NOV_24,3,15.68,-1.82,Elevated,BUY_CE,23415.6,23400,143.55,2,130,2024-11-18T10:09:00+05:30,188.7,23487.05,TP,9,188.7,True,5796.5,31.37
2024-11-19,21_NOV_24,2,14.29,-5.24,Normal,BUY_CE,23692.2,23700,93.7,3,195,2024-11-19T10:25:00+05:30,123.75,23732.8,TP,25,123.75,True,5780.25,31.95
2024-11-21,21_NOV_24,0,16.01,2.23,Elevated,BUY_PE,23303.4,23300,54.25,5,325,2024-11-21T10:02:00+05:30,35.6,23340.15,SL,2,54.25,False,-6153.75,-34.53
