sr_method,tp_pct,buffer,n,win_rate,total,avg,dd,best,worst,tp,break_sr,be,eod
cam_3,30,0,54,55.6,65318,1209,20188,9806,-17707,26,16,4,8
cam_3,30,10,54,57.4,88651,1641,17707,24445,-17707,27,15,4,8
cam_3,50,0,54,37.0,54030,1000,29564,13667,-17707,15,16,14,9
cam_3,50,10,54,38.9,77363,1432,27057,24445,-17707,16,15,14,9
cam_3,75,0,54,31.5,61930,1146,35446,15845,-17707,10,16,17,11
cam_3,75,10,54,33.3,85263,1578,27507,24445,-17707,11,15,17,11
cam_3,100,0,54,25.9,49573,918,36361,19011,-17707,7,16,20,11
cam_3,100,10,54,27.8,72906,1350,27507,24445,-17707,8,15,20,11
cam_3,150,0,54,24.1,73101,1353,36361,29511,-17707,5,16,21,12
cam_3,150,10,54,25.9,102804,1903,27507,30815,-17707,6,15,21,12
cam_4,30,0,54,59.3,72622,1344,21503,24445,-17707,29,11,4,10
cam_4,30,10,54,61.1,72030,1333,21678,24445,-17707,29,10,4,11
cam_4,50,0,54,40.7,66250,1226,30879,24445,-17707,18,11,14,11
cam_4,50,10,54,42.6,65659,1215,31694,24445,-17707,18,10,14,12
cam_4,75,0,54,33.3,68568,1269,35483,24445,-17707,12,11,18,13
cam_4,75,10,54,35.2,67976,1258,37531,24445,-17707,12,10,18,14
cam_4,100,0,54,27.8,56162,1040,35881,24445,-17707,8,11,21,14
cam_4,100,10,54,29.6,55570,1029,37929,24445,-17707,8,10,21,15
cam_4,150,0,54,25.9,86060,1593,35881,30815,-17707,6,11,22,15
cam_4,150,10,54,27.8,85469,1582,37929,30815,-17707,6,10,22,16
classic_1,30,0,54,57.4,80132,1483,21503,24445,-17707,28,12,4,10
classic_1,30,10,54,59.3,78917,1461,21815,24445,-17707,28,11,4,11
classic_1,50,0,54,38.9,71496,1324,30879,24445,-17707,17,12,14,11
classic_1,50,10,54,40.7,70281,1301,31191,24445,-17707,17,11,14,12
classic_1,75,0,54,31.5,70739,1309,31329,24445,-17707,11,12,18,13
classic_1,75,10,54,33.3,69523,1287,31641,24445,-17707,11,11,18,14
classic_1,100,0,54,25.9,58381,1081,31329,24445,-17707,8,12,21,13
classic_1,100,10,54,27.8,57166,1058,31641,24445,-17707,8,11,21,14
classic_1,150,0,54,24.1,88280,1634,31329,30815,-17707,6,12,22,14
classic_1,150,10,54,25.9,87065,1612,31641,30815,-17707,6,11,22,15
prev_hl,30,0,54,59.3,79651,1475,22088,24445,-17707,27,14,4,9
prev_hl,30,10,54,61.1,97314,1802,21142,24445,-17707,28,11,5,10
prev_hl,50,0,54,42.6,77811,1440,31464,24445,-17707,17,14,13,10
prev_hl,50,10,54,42.6,88678,1642,30518,24445,-17707,17,11,15,11
prev_hl,75,0,54,35.2,77053,1426,31914,24445,-17707,11,14,17,12
prev_hl,75,10,54,35.2,87920,1628,30968,24445,-17707,11,11,19,13
prev_hl,100,0,54,29.6,64696,1198,31914,24445,-17707,8,14,20,12
prev_hl,100,10,54,29.6,75563,1399,30968,24445,-17707,8,11,22,13
prev_hl,150,0,54,27.8,94595,1751,31914,30815,-17707,6,14,21,13
prev_hl,150,10,54,27.8,105462,1953,30968,30815,-17707,6,11,23,14
