tp_pct,sl_pct,n,wins,win_rate,total,avg,dd,best,worst,tp_hits,sl_hits,be_hits,eod_hits
30,10,54,17,31.5,24040,445,22645,9806,-6153,17,34,3,0
30,15,54,23,42.6,38519,713,21661,9806,-6153,22,27,3,2
30,20,54,26,48.1,37208,689,22238,9806,-6153,24,24,3,3
30,25,54,29,53.7,53236,985,24569,9806,-6153,27,19,4,4
30,30,54,30,55.6,71827,1330,31485,24445,-6456,28,18,4,4
30,40,54,31,57.4,53189,984,34485,24445,-10151,29,16,4,5
40,10,54,13,24.1,25753,476,24481,11168,-6153,13,34,7,0
40,15,54,17,31.5,30306,561,25211,11168,-6153,16,27,9,2
40,20,54,20,37.0,31518,583,25446,11168,-6153,18,24,9,3
40,25,54,21,38.9,37685,697,27777,11168,-6153,19,19,12,4
40,30,54,22,40.7,56275,1042,34693,24445,-6456,20,18,12,4
40,40,54,22,40.7,32822,607,41376,24445,-10151,20,16,13,5
50,10,54,12,22.2,29328,543,23341,13667,-6153,11,34,8,1
50,15,54,16,29.6,37967,703,22842,13667,-6153,14,27,10,3
50,20,54,18,33.3,33101,612,30949,13667,-6153,15,24,11,4
50,25,54,19,35.2,41121,761,33280,13667,-6153,16,19,14,5
50,30,54,20,37.0,59711,1105,40195,24445,-6456,17,18,14,5
50,40,54,20,37.0,36258,671,46879,24445,-10151,17,16,15,6
60,10,54,10,18.5,13754,254,25759,13667,-6153,8,34,10,2
60,15,54,14,25.9,26026,481,21833,13667,-6153,11,27,12,4
60,20,54,16,29.6,22674,419,27834,13667,-6153,12,24,13,5
60,25,54,16,29.6,22036,408,30166,13667,-6153,12,19,17,6
60,30,54,17,31.5,40627,752,37081,24445,-6456,13,18,17,6
60,40,54,17,31.5,17173,318,43765,24445,-10151,13,16,18,7
75,10,54,10,18.5,34395,636,24560,15845,-6153,8,34,10,2
75,15,54,13,24.1,41431,767,25922,15845,-6153,9,27,13,5
75,20,54,15,27.8,39783,736,33710,15845,-6153,10,24,14,6
75,25,54,15,27.8,39145,724,36042,15845,-6153,10,19,18,7
75,30,54,16,29.6,57735,1069,42957,24445,-6456,11,18,18,7
75,40,54,16,29.6,34282,634,49641,24445,-10151,11,16,19,8
100,10,54,8,14.8,26211,485,25475,19011,-6153,5,34,12,3
100,15,54,10,18.5,19877,368,26320,19011,-6153,5,27,16,6
100,20,54,12,22.2,23266,430,34157,19011,-6153,6,24,17,7
100,25,54,12,22.2,22628,419,36489,19011,-6153,6,19,21,8
100,30,54,13,24.1,41218,763,43404,24445,-6456,7,18,21,8
100,40,54,13,24.1,17765,328,50087,24445,-10151,7,16,22,9
125,10,54,8,14.8,54307,1005,25475,26021,-6153,5,34,12,3
125,15,54,10,18.5,47973,888,26320,26021,-6153,5,27,16,6
125,20,54,12,22.2,52877,979,34157,26021,-6153,6,24,17,7
125,25,54,12,22.2,52238,967,36489,26021,-6153,6,19,21,8
125,30,54,13,24.1,70829,1311,43404,26021,-6456,7,18,21,8
125,40,54,13,24.1,47376,877,50087,26021,-10151,7,16,22,9
150,10,54,7,13.0,45856,849,36944,29511,-6153,4,34,13,3
150,15,54,9,16.7,39522,731,36183,29511,-6153,4,27,17,6
150,20,54,11,20.4,48273,893,34157,29511,-6153,5,24,18,7
150,25,54,11,20.4,47635,882,36489,29511,-6153,5,19,22,8
150,30,54,12,22.2,72596,1344,43404,30815,-6456,6,18,22,8
150,40,54,12,22.2,49142,910,50087,30815,-10151,6,16,23,9
