decision,vix_min,vix_max,vix_chg,tp,sl,trail_be,n,wins,win_rate,total,avg,dd
10:00,12,18,0.5,30,30,15,77,34,44.2,41330,536,31728
10:00,12,18,0.5,30,30,20,77,39,50.6,59985,779,31485
10:00,12,18,0.5,40,25,15,77,25,32.5,3369,43,35954
10:00,12,18,0.5,40,25,20,77,28,36.4,14614,189,33131
10:00,12,18,0.5,25,30,15,77,36,46.8,4151,53,34110
10:00,12,18,0.5,25,30,20,77,41,53.2,16819,218,29779
10:00,12,18,0.5,50,30,15,77,24,31.2,31555,409,39742
10:00,12,18,0.5,50,30,20,77,28,36.4,58153,755,40195
10:00,12,18,1.0,30,30,15,62,25,40.3,-2031,-32,41715
10:00,12,18,1.0,30,30,20,62,28,45.2,10409,167,34240
10:00,12,18,1.0,40,25,15,62,18,29.0,-18558,-299,54279
10:00,12,18,1.0,40,25,20,62,19,30.6,-15538,-250,54279
10:00,12,18,1.0,25,30,15,62,27,43.5,-16577,-267,44914
10:00,12,18,1.0,25,30,20,62,30,48.4,-8433,-136,40326
10:00,12,18,1.0,50,30,15,62,16,25.8,-23376,-377,59220
10:00,12,18,1.0,50,30,20,62,18,29.0,-7005,-112,42910
10:00,12,18,1.5,30,30,15,51,21,41.2,-227,-4,36891
10:00,12,18,1.5,30,30,20,51,23,45.1,10419,204,34935
10:00,12,18,1.5,40,25,15,51,16,31.4,-15515,-304,45145
10:00,12,18,1.5,40,25,20,51,16,31.4,-18444,-361,47996
10:00,12,18,1.5,25,30,15,51,22,43.1,-18348,-359,45457
10:00,12,18,1.5,25,30,20,51,24,47.1,-10841,-212,40201
10:00,12,18,1.5,50,30,15,51,14,27.5,-19950,-391,50732
10:00,12,18,1.5,50,30,20,51,15,29.4,-9527,-186,43583
10:00,13,18,0.5,30,30,15,54,26,48.1,61566,1140,26048
10:00,13,18,0.5,30,30,20,54,30,55.6,71827,1330,31485
10:00,13,18,0.5,40,25,15,54,18,33.3,26440,489,21352
10:00,13,18,0.5,40,25,20,54,21,38.9,37685,697,27777
10:00,13,18,0.5,25,30,15,54,28,51.9,36514,676,23351
10:00,13,18,0.5,25,30,20,54,32,59.3,43927,813,28788
10:00,13,18,0.5,50,30,15,54,17,31.5,46991,870,33188
10:00,13,18,0.5,50,30,20,54,20,37.0,59711,1105,40195
10:00,13,18,1.0,30,30,15,44,21,47.7,35695,811,29462
10:00,13,18,1.0,30,30,20,44,23,52.3,39741,903,34240
10:00,13,18,1.0,40,25,15,44,14,31.8,21105,479,25502
10:00,13,18,1.0,40,25,20,44,15,34.1,24125,548,29623
10:00,13,18,1.0,25,30,15,44,23,52.3,29122,661,26489
10:00,13,18,1.0,25,30,20,44,25,56.8,32012,727,31266
10:00,13,18,1.0,50,30,15,44,12,27.3,12696,288,38479
10:00,13,18,1.0,50,30,20,44,13,29.5,15189,345,42600
10:00,13,18,1.5,30,30,15,34,17,50.0,32727,962,31490
10:00,13,18,1.5,30,30,20,34,18,52.9,34979,1028,31490
10:00,13,18,1.5,40,25,15,34,12,35.3,20272,596,24053
10:00,13,18,1.5,40,25,20,34,12,35.3,17344,510,24053
10:00,13,18,1.5,25,30,15,34,18,52.9,22579,664,32605
10:00,13,18,1.5,25,30,20,34,19,55.9,24831,730,32605
10:00,13,18,1.5,50,30,15,34,10,29.4,11349,333,37030
10:00,13,18,1.5,50,30,20,34,10,29.4,7895,232,37030
10:00,15,18,0.5,30,30,15,17,8,47.1,22818,1342,11823
10:00,15,18,0.5,30,30,20,17,9,52.9,20784,1222,16600
10:00,15,18,0.5,40,25,15,17,5,29.4,10569,621,10474
10:00,15,18,0.5,40,25,20,17,5,29.4,3409,200,15251
10:00,15,18,0.5,25,30,15,17,9,52.9,18849,1108,11685
10:00,15,18,0.5,25,30,20,17,10,58.8,16814,989,16462
10:00,15,18,0.5,50,30,15,17,4,23.5,10289,605,11823
10:00,15,18,0.5,50,30,20,17,4,23.5,2548,149,16600
10:00,15,18,1.0,30,30,15,16,8,50.0,23206,1450,6712
10:00,15,18,1.0,30,30,20,16,9,56.2,24058,1503,11490
10:00,15,18,1.0,40,25,15,16,5,31.2,10957,684,6574
10:00,15,18,1.0,40,25,20,16,5,31.2,6102,381,10238
10:00,15,18,1.0,25,30,15,16,9,56.2,19237,1202,6574
10:00,15,18,1.0,25,30,20,16,10,62.5,20088,1255,11352
10:00,15,18,1.0,50,30,15,16,4,25.0,10678,667,10430
10:00,15,18,1.0,50,30,20,16,4,25.0,5822,363,11490
10:00,15,18,1.5,30,30,15,12,7,58.3,24967,2080,6157
10:00,15,18,1.5,30,30,20,12,8,66.7,30596,2549,6157
10:00,15,18,1.5,40,25,15,12,5,41.7,17262,1438,6376
10:00,15,18,1.5,40,25,20,12,5,41.7,17184,1432,6376
10:00,15,18,1.5,25,30,15,12,7,58.3,16318,1359,6507
10:00,15,18,1.5,25,30,20,12,8,66.7,21947,1828,6507
10:00,15,18,1.5,50,30,15,12,4,33.3,17314,1442,10045
10:00,15,18,1.5,50,30,20,12,4,33.3,17236,1436,10045
10:00,12,20,0.5,30,30,15,80,36,45.0,42245,528,31728
10:00,12,20,0.5,30,30,20,80,41,51.2,60900,761,31485
10:00,12,20,0.5,40,25,15,80,27,33.8,7372,92,35954
10:00,12,20,0.5,40,25,20,80,30,37.5,18617,232,33131
10:00,12,20,0.5,25,30,15,80,38,47.5,4143,51,34110
10:00,12,20,0.5,25,30,20,80,43,53.8,16811,210,29779
10:00,12,20,0.5,50,30,15,80,25,31.2,29265,365,39742
10:00,12,20,0.5,50,30,20,80,29,36.2,55863,698,40195
10:00,12,20,1.0,30,30,15,64,26,40.6,-5017,-78,41715
10:00,12,20,1.0,30,30,20,64,29,45.3,7423,115,34240
10:00,12,20,1.0,40,25,15,64,19,29.7,-19549,-305,54279
10:00,12,20,1.0,40,25,20,64,20,31.2,-16529,-258,54279
10:00,12,20,1.0,25,30,15,64,28,43.8,-19986,-312,44914
10:00,12,20,1.0,25,30,20,64,31,48.4,-11842,-185,40326
10:00,12,20,1.0,50,30,15,64,17,26.6,-25569,-399,59220
10:00,12,20,1.0,50,30,20,64,19,29.7,-9199,-143,42910
10:00,12,20,1.5,30,30,15,52,22,42.3,2891,55,36891
10:00,12,20,1.5,30,30,20,52,24,46.2,13538,260,34935
10:00,12,20,1.5,40,25,15,52,17,32.7,-11363,-218,45145
10:00,12,20,1.5,40,25,20,52,17,32.7,-14292,-274,47996
10:00,12,20,1.5,25,30,15,52,23,44.2,-15652,-301,45457
10:00,12,20,1.5,25,30,20,52,25,48.1,-8145,-156,40201
10:00,12,20,1.5,50,30,15,52,15,28.8,-16038,-308,50732
10:00,12,20,1.5,50,30,20,52,16,30.8,-5616,-108,43583
10:00,15,20,0.5,30,30,15,20,10,50.0,23734,1186,11823
10:00,15,20,0.5,30,30,20,20,11,55.0,21699,1084,16600
10:00,15,20,0.5,40,25,15,20,7,35.0,14572,728,10474
10:00,15,20,0.5,40,25,20,20,7,35.0,7412,370,15251
10:00,15,20,0.5,25,30,15,20,11,55.0,18841,942,11685
10:00,15,20,0.5,25,30,20,20,12,60.0,16806,840,16462
