method,tol,n,win_rate,total,avg,dd
camarilla_3,0.15,396,21.5,19946,50,87138
camarilla_3,0.25,449,23.6,36433,81,91622
camarilla_3,0.4,459,27.7,2450,5,74284
camarilla_4,0.15,299,24.1,-30239,-101,79796
camarilla_4,0.25,348,27.9,-53000,-152,123786
camarilla_4,0.4,404,30.0,-36812,-91,111013
classic_1,0.15,334,23.4,-34608,-103,91649
classic_1,0.25,379,24.3,-113140,-298,152899
classic_1,0.4,430,26.3,-79309,-184,144020
prev_hl,0.15,374,19.8,-136100,-363,143723
prev_hl,0.25,394,22.8,-150640,-382,182032
prev_hl,0.4,423,26.0,-55145,-130,92052
or30,0.15,458,23.6,-53664,-117,108373
or30,0.25,458,26.9,24719,53,77239
or30,0.4,481,28.5,-1022,-2,120548
