trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-09-23,03_OCT_24,10,2024-09-23T09:48:00+05:30,resistance,PE,26000,25902.75,244.35,1,65,,0.0,2024-09-23T15:25:00+05:30,225.55,EOD,337,-1288.5,-7.73
2024-09-24,03_OCT_24,9,2024-09-24T09:45:00+05:30,support,CE,25850,25958.3,286.89,1,65,,0.0,2024-09-24T15:25:00+05:30,267.05,EOD,340,-1356.1,-6.95
2024-09-25,03_OCT_24,8,2024-09-25T09:45:00+05:30,support,CE,25850,25940.3,254.5,1,65,,0.0,2024-09-25T15:25:00+05:30,271.39,EOD,340,1031.35,6.6
2024-09-26,03_OCT_24,7,2024-09-26T09:45:00+05:30,support,CE,25950,26031.55,233.75,1,65,,0.0,2024-09-26T15:25:00+05:30,295.25,EOD,340,3931.0,26.26
2024-09-27,03_OCT_24,6,2024-09-27T09:49:00+05:30,resistance,PE,26350,26260.85,179.1,1,65,,0.0,2024-09-27T15:25:00+05:30,190.55,EOD,336,677.75,6.34
2024-10-01,03_OCT_24,2,2024-10-01T09:47:00+05:30,resistance,PE,25950,25865.75,132.0,2,130,,0.0,2024-10-01T10:32:00+05:30,208.5,TP,45,9872.0,57.86
2024-10-01,03_OCT_24,2,2024-10-01T11:02:00+05:30,support,CE,25700,25785.85,156.0,1,65,,0.0,2024-10-01T12:33:00+05:30,150.44,BE_STOP,91,-427.9,-3.63
2024-10-01,03_OCT_24,2,2024-10-01T13:09:00+05:30,support,CE,25700,25780.3,153.19,2,130,,0.0,2024-10-01T15:25:00+05:30,147.9,EOD,136,-760.7,-3.52
2024-10-04,10_OCT_24,6,2024-10-04T09:45:00+05:30,support,CE,25100,25195.45,294.14,1,65,,0.0,2024-10-04T12:03:00+05:30,441.45,TP,138,9508.65,50.04
2024-10-04,10_OCT_24,6,2024-10-04T12:36:00+05:30,resistance,PE,25500,25382.15,223.15,1,65,,0.0,2024-10-04T12:47:00+05:30,351.35,TP,11,8266.5,57.39
2024-10-07,10_OCT_24,3,2024-10-07T10:50:00+05:30,support,CE,24850,24926.1,255.95,1,65,,0.0,2024-10-07T11:04:00+05:30,206.75,BREAK_SR,14,-3264.5,-19.26
2024-10-07,10_OCT_24,3,2024-10-07T11:34:00+05:30,support,CE,24850,24966.9,283.2,1,65,,0.0,2024-10-07T12:48:00+05:30,203.0,BREAK_SR,74,-5279.5,-28.35
2024-10-08,10_OCT_24,2,2024-10-08T09:51:00+05:30,resistance,PE,24950,24869.75,201.3,1,65,,0.0,2024-10-08T10:26:00+05:30,194.05,BE_STOP,35,-537.75,-3.65
2024-10-08,10_OCT_24,2,2024-10-08T10:57:00+05:30,resistance,PE,25000,24895.8,215.55,1,65,,0.0,2024-10-08T11:30:00+05:30,145.94,SL,33,-4591.15,-32.33
