trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-09-23,03_OCT_24,10,2024-09-23T09:49:00+05:30,resistance,PE,26000,25896.1,245.0,1,65,SHOOTING_STAR,0.0,2024-09-23T15:25:00+05:30,225.55,EOD,336,-1330.75,-7.98
2024-09-24,03_OCT_24,9,2024-09-24T10:05:00+05:30,support,CE,25850,25959.2,290.2,1,65,BULL_PIN,0.0,2024-09-24T15:25:00+05:30,267.05,EOD,320,-1571.25,-8.01
2024-09-25,03_OCT_24,8,2024-09-25T09:50:00+05:30,resistance,PE,26050,25943.7,214.05,1,65,SHOOTING_STAR,0.0,2024-09-25T15:25:00+05:30,175.1,EOD,335,-2598.25,-18.24
2024-09-26,03_OCT_24,7,2024-09-26T09:46:00+05:30,support,CE,25950,26038.3,237.4,1,65,BULL_PIN,0.0,2024-09-26T15:25:00+05:30,295.25,EOD,339,3693.75,24.32
2024-09-27,03_OCT_24,6,2024-09-27T09:59:00+05:30,resistance,PE,26350,26260.75,180.45,1,65,BEAR_ENGULF,0.0,2024-09-27T15:25:00+05:30,190.55,EOD,326,590.0,5.54
2024-10-01,03_OCT_24,2,2024-10-01T09:53:00+05:30,resistance,PE,25950,25852.55,142.0,2,130,BEAR_PIN,0.0,2024-10-01T10:33:00+05:30,214.0,TP,40,9287.0,50.62
2024-10-01,03_OCT_24,2,2024-10-01T12:34:00+05:30,support,CE,25700,25789.35,158.25,1,65,HAMMER,0.0,2024-10-01T15:25:00+05:30,147.9,EOD,171,-739.25,-6.6
2024-10-04,10_OCT_24,6,2024-10-04T09:49:00+05:30,support,CE,25100,25205.75,295.0,1,65,BULL_ENGULF,0.0,2024-10-04T12:08:00+05:30,449.35,TP,139,9966.25,52.28
2024-10-04,10_OCT_24,6,2024-10-04T13:06:00+05:30,support,CE,25050,25142.45,298.25,1,65,BULL_ENGULF,0.0,2024-10-04T13:20:00+05:30,269.0,BREAK_SR,14,-1967.75,-9.84
2024-10-07,10_OCT_24,3,2024-10-07T10:50:00+05:30,support,CE,24850,24926.1,255.95,1,65,BULL_PIN,0.0,2024-10-07T11:04:00+05:30,206.75,BREAK_SR,14,-3264.5,-19.26
2024-10-07,10_OCT_24,3,2024-10-07T11:40:00+05:30,support,CE,24850,24960.85,278.05,1,65,BULL_PIN,0.0,2024-10-07T12:48:00+05:30,203.0,BREAK_SR,68,-4944.75,-27.02
2024-10-08,10_OCT_24,2,2024-10-08T10:45:00+05:30,resistance,PE,25000,24907.35,209.7,1,65,BEAR_ENGULF,0.0,2024-10-08T11:30:00+05:30,145.94,SL,45,-4210.9,-30.45
2024-10-08,10_OCT_24,2,2024-10-08T12:07:00+05:30,resistance,PE,25000,24910.4,197.9,1,65,BEAR_ENGULF,0.0,2024-10-08T13:37:00+05:30,138.25,SL,90,-3943.75,-30.18
2024-10-09,10_OCT_24,1,2024-10-09T09:50:00+05:30,resistance,PE,25200,25092.4,216.9,1,65,SHOOTING_STAR,0.0,2024-10-09T10:08:00+05:30,143.44,SL,18,-4841.4,-33.91
2024-10-09,10_OCT_24,1,2024-10-09T12:08:00+05:30,resistance,PE,25200,25124.45,156.94,1,65,BEAR_PIN,0.0,2024-10-09T13:45:00+05:30,152.65,BE_STOP,97,-345.35,-2.8
