trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-09-23,03_OCT_24,10,2024-09-23T09:48:00+05:30,resistance,PE,26000,25902.75,244.35,1,65,,3.17,2024-09-23T15:25:00+05:30,225.55,EOD,337,-1288.5,-7.73
2024-09-24,03_OCT_24,9,2024-09-24T09:45:00+05:30,support,CE,25850,25958.3,286.89,1,65,,-0.86,2024-09-24T15:25:00+05:30,267.05,EOD,340,-1356.1,-6.95
2024-09-25,03_OCT_24,8,2024-09-25T09:45:00+05:30,support,CE,25850,25940.3,254.5,1,65,,-1.69,2024-09-25T15:25:00+05:30,271.39,EOD,340,1031.35,6.6
2024-09-26,03_OCT_24,7,2024-09-26T09:45:00+05:30,support,CE,25950,26031.55,233.75,1,65,,-2.14,2024-09-26T15:25:00+05:30,295.25,EOD,340,3931.0,26.26
2024-09-27,03_OCT_24,6,2024-09-27T13:14:00+05:30,support,CE,26100,26189.85,215.3,1,65,,-1.25,2024-09-27T15:25:00+05:30,204.4,EOD,131,-775.0,-5.11
2024-10-01,03_OCT_24,2,2024-10-01T10:59:00+05:30,support,CE,25700,25786.9,157.19,1,65,,-1.35,2024-10-01T12:32:00+05:30,156.44,BE_STOP,93,-115.25,-0.54
2024-10-01,03_OCT_24,2,2024-10-01T13:09:00+05:30,support,CE,25700,25780.3,153.19,2,130,,-2.78,2024-10-01T15:25:00+05:30,147.9,EOD,136,-760.7,-3.52
2024-10-04,10_OCT_24,6,2024-10-04T10:46:00+05:30,resistance,PE,25400,25304.45,200.4,1,65,,2.93,2024-10-04T12:09:00+05:30,154.0,BREAK_SR,83,-3082.5,-23.2
2024-10-04,10_OCT_24,6,2024-10-04T12:39:00+05:30,resistance,PE,25400,25291.45,225.35,1,65,,4.16,2024-10-04T13:00:00+05:30,339.9,TP,21,7379.25,50.78
2024-10-08,10_OCT_24,2,2024-10-08T09:51:00+05:30,resistance,PE,24950,24869.75,201.3,1,65,,1.4,2024-10-08T10:26:00+05:30,194.05,BE_STOP,35,-537.75,-3.65
2024-10-08,10_OCT_24,2,2024-10-08T10:57:00+05:30,resistance,PE,25000,24895.8,215.55,1,65,,0.27,2024-10-08T11:30:00+05:30,145.94,SL,33,-4591.15,-32.33
2024-10-09,10_OCT_24,1,2024-10-09T09:47:00+05:30,resistance,PE,25200,25105.45,205.0,1,65,,0.63,2024-10-09T10:08:00+05:30,143.44,SL,21,-4067.9,-30.07
2024-10-09,10_OCT_24,1,2024-10-09T14:27:00+05:30,resistance,PE,25150,25052.5,183.35,1,65,,-0.49,2024-10-09T15:25:00+05:30,190.35,EOD,58,388.5,3.76
2024-10-10,10_OCT_24,0,2024-10-10T09:58:00+05:30,resistance,PE,25150,25071.1,124.1,2,130,,0.0,2024-10-10T10:06:00+05:30,86.2,SL,8,-5000.0,-30.61
2024-10-10,10_OCT_24,0,2024-10-10T11:36:00+05:30,support,CE,24900,25014.45,106.05,2,130,,-0.44,2024-10-10T12:51:00+05:30,105.75,BE_STOP,75,-112.0,-0.38
2024-10-11,17_OCT_24,6,2024-10-11T09:45:00+05:30,support,CE,24900,25003.4,238.0,1,65,,-0.15,2024-10-11T15:25:00+05:30,181.6,EOD,340,-3732.5,-23.73
2024-10-15,17_OCT_24,2,2024-10-15T09:48:00+05:30,support,CE,25050,25142.25,163.35,1,65,,-0.85,2024-10-15T10:02:00+05:30,110.45,SL,14,-3505.0,-32.44
2024-10-15,17_OCT_24,2,2024-10-15T10:52:00+05:30,support,CE,25000,25091.7,156.85,1,65,,0.39,2024-10-15T13:02:00+05:30,109.45,BREAK_SR,130,-3147.5,-30.27
2024-10-15,17_OCT_24,2,2024-10-15T14:30:00+05:30,support,CE,24950,25064.9,157.0,1,65,,0.39,2024-10-15T14:37:00+05:30,135.35,BREAK_SR,7,-1473.75,-13.85
2024-10-16,17_OCT_24,1,2024-10-16T09:45:00+05:30,resistance,PE,25150,25071.0,123.85,2,130,,-0.38,2024-10-16T11:15:00+05:30,192.6,TP,90,8864.5,55.41
2024-10-16,17_OCT_24,1,2024-10-16T14:01:00+05:30,support,CE,24900,24987.8,123.4,2,130,,0.23,2024-10-16T14:27:00+05:30,199.25,TP,26,9787.5,61.36
2024-10-18,24_OCT_24,6,2024-10-18T09:45:00+05:30,support,CE,24550,24654.75,248.2,1,65,,-0.44,2024-10-18T12:25:00+05:30,373.45,TP,160,8074.75,50.41
2024-10-22,24_OCT_24,2,2024-10-22T10:20:00+05:30,support,CE,24600,24721.05,187.6,1,65,,-1.07,2024-10-22T12:50:00+05:30,129.19,SL,150,-3863.15,-31.18
2024-10-23,24_OCT_24,1,2024-10-23T10:19:00+05:30,resistance,PE,24650,24545.5,154.3,1,65,,1.6,2024-10-23T10:51:00+05:30,151.35,BE_STOP,32,-258.25,-1.98
2024-10-23,24_OCT_24,1,2024-10-23T11:22:00+05:30,resistance,PE,24650,24565.65,134.19,2,130,,1.46,2024-10-23T12:41:00+05:30,133.25,BE_STOP,79,-195.2,-0.77
2024-10-23,24_OCT_24,1,2024-10-23T13:11:00+05:30,resistance,PE,24650,24543.65,149.05,2,130,,1.39,2024-10-23T14:23:00+05:30,240.75,TP,72,11848.0,61.44
2024-10-24,24_OCT_24,0,2024-10-24T10:07:00+05:30,support,CE,24350,24427.2,79.15,3,195,,-1.77,2024-10-24T10:36:00+05:30,74.84,BE_STOP,29,-919.95,-5.57
2024-10-28,31_OCT_24,3,2024-10-28T09:59:00+05:30,resistance,PE,24400,24287.95,185.45,1,65,,0.2,2024-10-28T10:20:00+05:30,128.19,BREAK_SR,21,-3788.4,-30.92
2024-10-29,31_OCT_24,2,2024-10-29T14:10:00+05:30,resistance,PE,24500,24408.5,132.0,2,130,,0.97,2024-10-29T15:07:00+05:30,91.05,SL,57,-5396.5,-31.09
2024-10-30,31_OCT_24,1,2024-10-30T13:07:00+05:30,resistance,PE,24600,24493.65,129.65,2,130,,4.69,2024-10-30T13:16:00+05:30,215.0,TP,9,11022.5,65.73
2024-10-31,31_OCT_24,0,2024-10-31T09:45:00+05:30,support,CE,24200,24284.25,107.5,2,130,,-1.82,2024-10-31T10:44:00+05:30,69.8,SL,59,-4974.0,-35.15
