trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2024-09-23,03_OCT_24,10,2024-09-23T09:49:00+05:30,resistance,PE,26000,25896.1,245.0,1,65,SHOOTING_STAR,2.94,2024-09-23T15:25:00+05:30,225.55,EOD,336,-1330.75,-7.98
2024-09-24,03_OCT_24,9,2024-09-24T10:05:00+05:30,support,CE,25850,25959.2,290.2,1,65,BULL_PIN,-1.14,2024-09-24T15:25:00+05:30,267.05,EOD,320,-1571.25,-8.01
2024-09-25,03_OCT_24,8,2024-09-25T10:18:00+05:30,support,CE,25800,25911.0,273.1,1,65,HAMMER,-1.03,2024-09-25T15:25:00+05:30,307.55,EOD,307,2172.75,12.58
2024-09-26,03_OCT_24,7,2024-09-26T09:46:00+05:30,support,CE,25950,26038.3,237.4,1,65,BULL_PIN,-1.58,2024-09-26T15:25:00+05:30,295.25,EOD,339,3693.75,24.32
2024-09-27,03_OCT_24,6,2024-09-27T13:14:00+05:30,support,CE,26100,26189.85,215.3,1,65,HAMMER,-1.25,2024-09-27T15:25:00+05:30,204.4,EOD,131,-775.0,-5.11
2024-10-01,03_OCT_24,2,2024-10-01T10:59:00+05:30,support,CE,25700,25786.9,157.19,1,65,BULL_ENGULF,-1.35,2024-10-01T12:32:00+05:30,156.44,BE_STOP,93,-115.25,-0.54
2024-10-01,03_OCT_24,2,2024-10-01T13:55:00+05:30,support,CE,25700,25794.35,155.44,1,65,HAMMER,-3.09,2024-10-01T15:25:00+05:30,147.9,EOD,90,-556.6,-4.91
2024-10-04,10_OCT_24,6,2024-10-04T10:57:00+05:30,resistance,PE,25450,25331.9,216.35,1,65,BEAR_PIN,3.77,2024-10-04T12:09:00+05:30,172.95,BREAK_SR,72,-2887.5,-20.1
2024-10-08,10_OCT_24,2,2024-10-08T10:45:00+05:30,resistance,PE,25000,24907.35,209.7,1,65,BEAR_ENGULF,-0.47,2024-10-08T11:30:00+05:30,145.94,SL,45,-4210.9,-30.45
2024-10-09,10_OCT_24,1,2024-10-09T09:50:00+05:30,resistance,PE,25200,25092.4,216.9,1,65,SHOOTING_STAR,0.7,2024-10-09T10:08:00+05:30,143.44,SL,18,-4841.4,-33.91
2024-10-10,10_OCT_24,0,2024-10-10T10:01:00+05:30,resistance,PE,25150,25066.2,123.3,2,130,BEAR_PIN,-0.29,2024-10-10T10:06:00+05:30,86.2,SL,5,-4896.0,-30.16
2024-10-11,17_OCT_24,6,2024-10-11T09:50:00+05:30,support,CE,24900,25008.0,239.0,1,65,BULL_PIN,-0.08,2024-10-11T15:25:00+05:30,181.6,EOD,335,-3797.5,-24.05
2024-10-15,17_OCT_24,2,2024-10-15T10:54:00+05:30,support,CE,25000,25095.95,161.19,1,65,BULL_ENGULF,0.31,2024-10-15T13:02:00+05:30,109.45,BREAK_SR,128,-3429.6,-32.15
2024-10-16,17_OCT_24,1,2024-10-16T09:47:00+05:30,resistance,PE,25150,25068.6,129.05,2,130,BEAR_PIN,-0.31,2024-10-16T11:16:00+05:30,199.3,TP,89,9059.5,54.34
2024-10-16,17_OCT_24,1,2024-10-16T14:17:00+05:30,support,CE,24900,25017.4,159.35,1,65,BULL_ENGULF,-0.31,2024-10-16T14:45:00+05:30,158.94,BE_STOP,28,-93.15,-0.32
2024-10-18,24_OCT_24,6,2024-10-18T09:46:00+05:30,support,CE,24550,24659.55,252.15,1,65,HAMMER,-0.51,2024-10-18T12:26:00+05:30,384.9,TP,160,8562.25,52.6
2024-10-22,24_OCT_24,2,2024-10-22T10:57:00+05:30,support,CE,24600,24721.0,191.7,1,65,BULL_PIN,0.0,2024-10-22T12:49:00+05:30,133.25,SL,112,-3865.75,-30.53
2024-10-23,24_OCT_24,1,2024-10-23T11:11:00+05:30,resistance,PE,24650,24544.4,149.69,2,130,BEAR_ENGULF,2.36,2024-10-23T12:31:00+05:30,141.0,BE_STOP,80,-1202.7,-5.87
2024-10-23,24_OCT_24,1,2024-10-23T13:10:00+05:30,resistance,PE,24650,24550.85,142.0,2,130,SHOOTING_STAR,1.18,2024-10-23T14:22:00+05:30,216.15,TP,72,9566.5,52.13
