trade_date,expiry,days_to_expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,net_pnl,return_pct
2024-09-20,03_OCT_24,13,2024-09-20T11:50:00+05:30,PE,25700,25724.0,34.75,195.0,1,65,2024-09-20T12:10:00+05:30,203.6,25714.45,TIME_STOP,20,492.5,4.36
2024-09-20,03_OCT_24,13,2024-09-20T14:16:00+05:30,PE,25700,25719.35,48.7,200.0,1,65,2024-09-20T14:36:00+05:30,210.45,25685.8,TIME_STOP,20,612.75,5.17
2024-09-25,03_OCT_24,8,2024-09-25T11:46:00+05:30,CE,25900,25883.6,30.4,189.75,1,65,2024-09-25T12:06:00+05:30,199.05,25896.7,TIME_STOP,20,538.0,4.85
2024-09-26,03_OCT_24,7,2024-09-26T14:20:00+05:30,PE,26150,26127.2,34.2,164.65,1,65,2024-09-26T14:40:00+05:30,149.1,26181.0,TIME_STOP,20,-1077.25,-9.5
2024-09-27,03_OCT_24,6,2024-09-27T11:10:00+05:30,CE,26200,26215.2,32.15,164.75,1,65,2024-09-27T11:30:00+05:30,173.25,26227.65,TIME_STOP,20,486.0,5.1
2024-09-30,03_OCT_24,3,2024-09-30T09:30:00+05:30,CE,26050,26039.15,34.55,140.55,2,130,2024-09-30T09:50:00+05:30,107.25,25987.6,TIME_STOP,20,-4402.0,-23.76
2024-09-30,03_OCT_24,3,2024-09-30T09:57:00+05:30,PE,26000,26003.35,33.9,109.85,2,130,2024-09-30T10:17:00+05:30,117.65,25979.7,TIME_STOP,20,941.0,7.01
2024-09-30,03_OCT_24,3,2024-09-30T10:33:00+05:30,CE,25950,25959.15,33.95,146.0,2,130,2024-09-30T10:53:00+05:30,146.44,25957.35,TIME_STOP,20,-15.8,0.23
2024-09-30,03_OCT_24,3,2024-09-30T13:34:00+05:30,PE,25850,25863.65,31.95,112.7,2,130,2024-09-30T13:54:00+05:30,120.55,25856.0,TIME_STOP,20,947.5,6.87
2024-10-01,03_OCT_24,2,2024-10-01T09:30:00+05:30,CE,25850,25836.8,56.25,108.95,2,130,2024-10-01T09:50:00+05:30,109.15,25849.55,TIME_STOP,20,-47.0,0.09
2024-10-01,03_OCT_24,2,2024-10-01T10:32:00+05:30,CE,25750,25770.6,30.9,110.6,2,130,2024-10-01T10:52:00+05:30,108.15,25766.6,TIME_STOP,20,-391.5,-2.3
2024-10-01,03_OCT_24,2,2024-10-01T10:59:00+05:30,PE,25800,25786.9,40.05,91.2,3,195,2024-10-01T11:12:00+05:30,118.6,25745.8,TP,13,5263.5,29.92
2024-10-01,03_OCT_24,2,2024-10-01T11:12:00+05:30,CE,25750,25745.8,30.85,97.65,3,195,2024-10-01T11:32:00+05:30,103.85,25746.55,TIME_STOP,20,1129.5,6.24
2024-10-01,03_OCT_24,2,2024-10-01T11:45:00+05:30,PE,25800,25810.9,42.1,69.55,4,260,2024-10-01T12:05:00+05:30,65.15,25826.15,TIME_STOP,20,-1230.0,-6.47
2024-10-04,10_OCT_24,6,2024-10-04T09:33:00+05:30,PE,25150,25159.45,61.1,159.69,1,65,2024-10-04T09:53:00+05:30,132.65,25237.95,TIME_STOP,20,-1824.1,-16.99
2024-10-04,10_OCT_24,6,2024-10-04T09:58:00+05:30,PE,25250,25272.8,38.65,149.19,2,130,2024-10-04T10:18:00+05:30,184.5,25191.65,TIME_STOP,20,4517.3,23.59
2024-10-04,10_OCT_24,6,2024-10-04T10:33:00+05:30,PE,25250,25230.95,31.85,170.15,1,65,2024-10-04T10:53:00+05:30,135.4,25328.95,TIME_STOP,20,-2325.25,-20.48
2024-10-04,10_OCT_24,6,2024-10-04T11:08:00+05:30,PE,25300,25317.55,31.0,154.9,1,65,2024-10-04T11:28:00+05:30,168.7,25296.5,TIME_STOP,20,830.5,8.84
2024-10-04,10_OCT_24,6,2024-10-04T11:38:00+05:30,PE,25300,25312.15,31.05,164.4,1,65,2024-10-04T11:58:00+05:30,126.9,25407.6,TIME_STOP,20,-2504.0,-22.86
2024-10-04,10_OCT_24,6,2024-10-04T12:10:00+05:30,PE,25450,25463.45,43.85,163.0,1,65,2024-10-04T12:30:00+05:30,178.6,25445.7,TIME_STOP,20,947.5,9.51
2024-10-04,10_OCT_24,6,2024-10-04T12:30:00+05:30,CE,25450,25445.7,33.25,197.05,1,65,2024-10-04T12:38:00+05:30,143.65,25324.75,SL,8,-3537.5,-27.14
2024-10-04,10_OCT_24,6,2024-10-04T12:54:00+05:30,PE,25150,25161.85,38.45,164.3,1,65,2024-10-04T13:14:00+05:30,195.7,25114.4,TIME_STOP,20,1974.5,19.04
2024-10-04,10_OCT_24,6,2024-10-04T13:50:00+05:30,PE,25050,25071.35,30.8,168.75,1,65,2024-10-04T14:10:00+05:30,182.95,25042.6,TIME_STOP,20,856.5,8.35
2024-10-04,10_OCT_24,6,2024-10-04T14:29:00+05:30,PE,25050,25037.7,34.3,188.35,1,65,2024-10-04T14:49:00+05:30,207.0,24998.05,TIME_STOP,20,1145.75,9.85
