trade_date,expiry,days_to_expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,net_pnl,return_pct
2024-09-20,03_OCT_24,13,2024-09-20T11:50:00+05:30,PE,25700,25724.0,34.75,195.0,1,65,2024-09-20T13:37:00+05:30,257.5,25505.95,TP,107,3996.0,31.99
2024-09-20,03_OCT_24,13,2024-09-20T14:16:00+05:30,PE,25700,25719.35,48.7,200.0,1,65,2024-09-20T15:25:00+05:30,165.1,25813.45,EOD,69,-2335.0,-17.5
2024-09-25,03_OCT_24,8,2024-09-25T11:46:00+05:30,CE,25900,25883.6,30.4,189.75,1,65,2024-09-25T15:12:00+05:30,249.2,26027.35,TP,206,3797.75,31.27
2024-09-26,03_OCT_24,7,2024-09-26T14:20:00+05:30,PE,26150,26127.2,34.2,164.65,1,65,2024-09-26T15:02:00+05:30,122.85,26244.35,SL,42,-2783.5,-25.44
2024-09-27,03_OCT_24,6,2024-09-27T11:10:00+05:30,CE,26200,26215.2,32.15,164.75,1,65,2024-09-27T15:25:00+05:30,141.44,26161.95,EOD,255,-1581.65,-14.21
2024-09-30,03_OCT_24,3,2024-09-30T09:30:00+05:30,CE,26050,26039.15,34.55,140.55,2,130,2024-09-30T09:51:00+05:30,101.0,25969.45,SL,21,-5214.5,-28.2
2024-09-30,03_OCT_24,3,2024-09-30T09:57:00+05:30,PE,26000,26003.35,33.9,109.85,2,130,2024-09-30T11:24:00+05:30,144.0,25915.6,TP,87,4366.5,30.98
2024-09-30,03_OCT_24,3,2024-09-30T13:34:00+05:30,PE,25850,25863.65,31.95,112.7,2,130,2024-09-30T14:26:00+05:30,147.94,25801.3,TP,52,4508.2,31.17
2024-10-01,03_OCT_24,2,2024-10-01T09:30:00+05:30,CE,25850,25836.8,56.25,108.95,2,130,2024-10-01T10:18:00+05:30,79.59,25812.55,SL,48,-3889.8,-27.03
2024-10-01,03_OCT_24,2,2024-10-01T10:32:00+05:30,CE,25750,25770.6,30.9,110.6,2,130,2024-10-01T11:45:00+05:30,149.85,25810.9,TP,73,5029.5,35.38
2024-10-01,03_OCT_24,2,2024-10-01T11:45:00+05:30,PE,25800,25810.9,42.1,69.55,4,260,2024-10-01T12:32:00+05:30,91.4,25779.95,TP,47,5595.0,31.25
2024-10-04,10_OCT_24,6,2024-10-04T09:33:00+05:30,PE,25150,25159.45,61.1,159.69,1,65,2024-10-04T09:57:00+05:30,116.5,25276.6,SL,24,-2873.85,-27.1
2024-10-04,10_OCT_24,6,2024-10-04T10:33:00+05:30,PE,25250,25230.95,31.85,170.15,1,65,2024-10-04T10:55:00+05:30,125.95,25353.75,SL,22,-2939.5,-26.03
2024-10-04,10_OCT_24,6,2024-10-04T11:08:00+05:30,PE,25300,25317.55,31.0,154.9,1,65,2024-10-04T12:10:00+05:30,113.65,25463.45,SL,62,-2747.75,-26.69
2024-10-04,10_OCT_24,6,2024-10-04T12:17:00+05:30,CE,25450,25431.75,37.1,198.75,1,65,2024-10-04T12:38:00+05:30,143.65,25324.75,SL,21,-3648.0,-27.77
