entry_IST,side,strike,spot_at_entry,entry_premium,lots,qty,exit_IST,exit_premium,spot_at_exit,hold_minutes,roi_pct,pnl,max_pain,support,resistance,oi_pcr,prem_pcr_atm,atm_ce_delta,ce_oi_delta_5m,pe_oi_delta_5m,total_ce_oi,total_pe_oi
09:15,CE,23950,23951.75,66.05,4,260,09:19,143.85,24062.35,4,117.8,20168,24000,23800,24100,2.57,1.03,0.58,-15136615,213330,12712960,32720545
09:24,PE,24050,24052.15,64.6,4,260,10:58,140.6,23918.05,94,117.6,19700,24000,24000,24200,1.18,0.9,0.509,10847720,11920545,59779850,70433740
09:45,CE,24000,24005.85,65.85,4,260,09:55,92.95,24051.9,10,41.2,6986,24000,24000,24100,1.36,0.86,0.527,6096090,-2343445,67550405,92055925
09:55,PE,24050,24051.9,56.05,5,325,11:55,166.4,23886.65,119,196.9,35803,24000,24000,24200,0.97,0.89,0.508,256100,8564660,99189155,96504200
10:32,PE,23950,23964.1,44.8,6,390,11:59,82.55,23890.05,86,84.3,14662,24000,23900,24000,0.94,0.78,0.556,11755965,-15544035,101762375,95842110
10:53,CE,23950,23929.45,42.4,7,455,12:51,68.35,23992.65,118,61.2,11747,24000,23900,24000,0.79,1.38,0.442,3759275,1102855,124197125,97773130
11:04,PE,23950,23948.6,46.95,6,390,11:59,82.55,23890.05,54,75.8,13823,24000,23900,24000,0.76,0.96,0.506,30386850,-7373210,129490855,98606690
11:23,CE,23950,23929.95,38.25,8,520,13:12,140.0,24072.45,108,266.0,52850,24000,23900,24000,0.74,1.48,0.439,1726075,-2570035,135994430,100924590
11:35,PE,23950,23965.4,38.0,8,520,11:59,82.55,23890.05,23,117.2,23106,24000,23900,24000,0.76,0.71,0.555,-2960750,2593890,138339630,104492245
11:58,CE,23900,23887.5,38.8,7,455,13:12,185.35,24072.45,73,377.7,66620,24000,23800,24000,0.81,1.25,0.458,1693445,-2898480,124583485,100485125
12:25,PE,23950,23971.6,31.45,9,585,12:32,44.55,23936.55,7,41.7,7603,24000,23900,24000,0.83,0.56,0.587,-12096240,2617550,129978680,108397705
12:32,CE,23950,23936.55,34.45,8,520,13:12,140.0,24072.45,39,306.4,54826,24000,23900,24000,0.9,1.29,0.453,2991170,4036305,131845740,118416415
13:06,CE,24000,24015.95,50.1,6,390,13:12,96.15,24072.45,6,91.9,17899,24000,23900,24100,0.98,0.56,0.565,-19343350,10966800,122814120,120815500
13:12,PE,24050,24072.45,25.8,11,715,14:13,50.0,24007.6,61,93.8,17243,24000,24000,24100,1.08,0.42,0.577,-33516535,14229475,112128510,121217850
13:36,CE,24050,24027.7,28.8,10,650,13:45,40.15,24059.6,9,39.4,7317,24000,24000,24100,0.99,1.43,0.411,4837170,2338960,132235350,131275755
13:48,PE,24050,24054.15,26.9,11,715,14:13,50.0,24007.6,25,85.9,16456,24000,24000,24100,0.95,0.7,0.509,2026635,3827720,138881860,132389725
14:13,CE,24000,24007.6,33.2,9,585,14:29,69.65,24059.9,16,109.8,21263,24000,24000,24100,1.25,0.62,0.547,157950,-1045655,118418820,148240690
14:29,PE,24050,24059.9,15.7,19,1235,15:00,49.35,24002.6,30,214.3,41497,24000,24000,24100,0.95,0.5,0.566,-2625610,1622140,149049485,142249640
15:00,CE,24000,24002.6,12.85,23,1495,15:29,32.75,24051.25,29,154.9,29690,24000,24000,24050,1.11,0.79,0.569,-18843630,13266630,120934970,134268940
