entry_ts,side,entry_premium,best_exit_ts,best_exit_premium,hold_minutes,lots,qty,pnl,roi_pct,spot_at_entry,spot_at_exit,entry_IST,exit_IST
2026-05-05 06:09:54,CE,127.0,2026-05-05 07:30:06,227.4,80,2,130,12992,79.1,24119.3,23936.35,07:39,09:00
2026-05-05 06:40:28,CE,127.0,2026-05-05 07:30:06,227.4,49,2,130,12992,79.1,24119.3,23936.35,08:10,09:00
2026-05-05 07:10:53,CE,127.0,2026-05-05 07:30:06,227.4,19,2,130,12992,79.1,24119.3,23936.35,08:40,09:00
2026-05-05 07:30:06,PE,30.75,2026-05-05 07:47:17,81.65,17,10,650,33025,165.5,23936.35,24043.6,09:00,09:17
2026-05-05 07:57:26,CE,55.4,2026-05-05 08:01:29,80.95,4,5,325,8243,46.1,23979.85,24024.75,09:27,09:31
2026-05-05 08:01:29,PE,49.6,2026-05-05 08:02:30,75.35,1,6,390,9982,51.9,24024.75,24029.25,09:31,09:32
2026-05-05 08:46:09,PE,43.5,2026-05-05 08:48:09,67.1,2,7,455,10677,54.3,23972.3,23978.25,10:16,10:18
2026-05-05 08:48:09,CE,42.1,2026-05-05 08:53:12,64.6,5,7,455,10177,53.4,23978.25,23969.75,10:18,10:23
2026-05-05 09:27:35,PE,37.0,2026-05-05 09:32:38,60.4,5,8,520,12108,63.2,23922.15,23926.65,10:57,11:02
2026-05-05 09:32:38,CE,38.45,2026-05-05 09:51:50,61.45,19,8,520,11900,59.8,23926.65,23924.7,11:02,11:21
2026-05-05 10:05:59,PE,38.0,2026-05-05 10:42:26,55.75,36,8,520,9170,46.7,23965.4,23926.0,11:35,12:12
2026-05-05 10:11:03,CE,37.45,2026-05-05 11:42:03,61.45,91,8,520,12420,64.1,23928.85,24072.45,11:41,13:12
2026-05-05 10:40:24,PE,31.5,2026-05-05 10:42:26,55.75,2,9,585,14126,77.0,23923.25,23926.0,12:10,12:12
2026-05-05 10:42:26,CE,31.8,2026-05-05 11:42:03,61.45,59,9,585,17285,93.2,23926.0,24072.45,12:12,13:12
2026-05-05 11:16:47,PE,25.25,2026-05-05 11:18:49,49.9,2,12,780,19167,97.6,23970.15,23979.45,12:46,12:48
2026-05-05 11:18:49,CE,31.1,2026-05-05 11:42:03,61.45,23,9,585,17694,97.6,23979.45,24072.45,12:48,13:12
2026-05-05 12:03:17,CE,27.8,2026-05-05 12:04:18,49.85,1,11,715,15705,79.3,24027.35,24019.6,13:33,13:34
2026-05-05 12:04:18,PE,20.75,2026-05-05 12:06:20,41.3,2,14,910,18640,99.0,24019.6,24027.7,13:34,13:36
2026-05-05 12:36:41,CE,20.7,2026-05-05 12:45:47,42.0,9,14,910,19323,102.9,24028.65,24020.1,14:06,14:15
2026-05-05 12:45:47,PE,15.0,2026-05-05 13:06:02,31.7,20,20,1300,21650,111.3,24020.1,24031.8,14:15,14:36
2026-05-05 13:17:11,PE,6.55,2026-05-05 13:28:20,30.5,11,46,2990,71550,365.6,24021.2,24025.75,14:47,14:58
2026-05-05 13:22:15,CE,5.3,2026-05-05 13:27:19,28.25,5,58,3770,86461,433.0,24028.2,24023.35,14:52,14:57
