trade_date,expiry,dte,vix_open,vix_at_decision,vix_pct_change,vix_regime,signal,spot_at_decision,strike,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,net_pnl,return_pct
2024-10-30,31_OCT_24,1,14.71,15.29,3.94,Elevated,BUY_PE,24401.9,24400,82.1,3,195,2024-10-30T11:23:00+05:30,56.9,24448.5,SL,53,-4993.5,-30.8
2024-11-13,14_NOV_24,1,14.57,15.27,4.8,Elevated,BUY_PE,23739.05,23750,108.85,2,130,2024-11-13T14:20:00+05:30,163.75,23625.9,TP,230,7064.0,50.32
2024-11-14,14_NOV_24,0,14.82,15.08,1.75,Elevated,BUY_PE,23599.45,23600,50.75,6,390,2024-11-14T10:56:00+05:30,77.95,23552.0,TP,26,10509.0,53.35
2024-11-18,21_NOV_24,3,15.97,15.68,-1.82,Elevated,BUY_CE,23409.95,23400,145.05,2,130,2024-11-18T12:28:00+05:30,222.75,23529.85,TP,118,10028.0,53.48
2024-11-25,28_NOV_24,3,16.71,15.73,-5.86,Elevated,BUY_CE,24324.2,24300,175.3,1,65,2024-11-25T12:53:00+05:30,114.25,24219.75,SL,143,-4034.75,-34.87
2024-11-26,28_NOV_24,2,15.4,15.67,1.75,Elevated,BUY_PE,24204.4,24200,127.45,2,130,2024-11-26T14:42:00+05:30,88.25,24218.55,SL,252,-5169.0,-30.82
2024-12-05,05_DEC_24,0,14.47,15.32,5.87,Elevated,BUY_PE,24406.6,24400,139.85,2,130,2024-12-05T12:08:00+05:30,85.2,24536.2,SL,98,-7177.5,-39.14
2026-01-27,27_JAN_26,0,14.83,15.19,2.43,Elevated,BUY_PE,25123.85,25100,58.55,5,325,2026-01-27T10:41:00+05:30,96.75,25055.75,TP,11,12322.5,65.02
2026-02-02,03_FEB_26,1,15.38,15.04,-2.21,Elevated,BUY_CE,24840.65,24850,124.4,2,130,2026-02-02T11:00:00+05:30,85.95,24769.95,SL,30,-5071.5,-30.98
2026-03-10,10_MAR_26,0,20.82,20.39,-2.07,High,BUY_CE,24166.25,24150,89.1,3,195,2026-03-10T12:22:00+05:30,55.2,24144.4,SL,112,-6690.0,-38.14
2026-03-17,17_MAR_26,0,21.1,20.24,-4.08,High,BUY_CE,23484.7,23500,58.35,5,325,2026-03-17T11:16:00+05:30,40.3,23456.75,SL,46,-5958.75,-31.08
2026-04-07,07_APR_26,0,26.25,25.39,-3.28,High,BUY_CE,22934.2,22950,78.55,3,195,2026-04-07T10:56:00+05:30,49.65,22865.65,SL,26,-5715.0,-36.9
2026-04-17,21_APR_26,4,18.3,17.83,-2.57,Elevated,BUY_CE,24287.0,24300,162.45,1,65,2026-04-17T15:25:00+05:30,189.55,24361.95,EOD,295,1695.0,16.62
2026-04-21,21_APR_26,0,18.33,17.87,-2.51,Elevated,BUY_CE,24505.0,24500,53.75,5,325,2026-04-21T10:58:00+05:30,82.0,24552.45,TP,28,9088.75,52.32
