trade_date,expiry,dte,vix_at_decision,vix_pct_change,vix_regime,signal,spot_at_decision,strike,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,peak_premium,trail_armed,net_pnl,return_pct
2024-10-30,31_OCT_24,1,15.29,3.94,Elevated,BUY_PE,24401.9,24400,82.1,3,195,2024-10-30T11:23:00+05:30,56.9,24448.5,SL,53,85.85,False,-4993.5,-30.8
2024-11-13,14_NOV_24,1,15.27,4.8,Elevated,BUY_PE,23739.05,23750,108.85,2,130,2024-11-13T10:52:00+05:30,106.1,23748.65,BE_STOP,22,126.7,True,-430.5,-2.62
2024-11-14,14_NOV_24,0,15.08,1.75,Elevated,BUY_PE,23599.45,23600,50.75,6,390,2024-11-14T10:39:00+05:30,69.09,23573.2,TP,9,69.09,True,7053.6,35.91
2024-11-18,21_NOV_24,3,15.68,-1.82,Elevated,BUY_CE,23409.95,23400,145.05,2,130,2024-11-18T12:25:00+05:30,192.9,23493.5,TP,115,192.9,True,6147.5,32.91
2024-11-25,28_NOV_24,3,15.73,-5.86,Elevated,BUY_CE,24324.2,24300,175.3,1,65,2024-11-25T12:53:00+05:30,114.25,24219.75,SL,143,185.5,False,-4034.75,-34.87
2024-11-26,28_NOV_24,2,15.67,1.75,Elevated,BUY_PE,24204.4,24200,127.45,2,130,2024-11-26T12:45:00+05:30,126.3,24167.6,BE_STOP,135,152.4,True,-222.5,-0.98
2024-12-05,05_DEC_24,0,15.32,5.87,Elevated,BUY_PE,24406.6,24400,139.85,2,130,2024-12-05T10:58:00+05:30,192.8,24326.0,TP,28,192.8,True,6810.5,37.78
2026-01-27,27_JAN_26,0,15.19,2.43,Elevated,BUY_PE,25123.85,25100,58.55,5,325,2026-01-27T10:41:00+05:30,96.75,25055.75,TP,11,96.75,True,12322.5,65.02
2026-02-02,03_FEB_26,1,15.04,-2.21,Elevated,BUY_CE,24840.65,24850,124.4,2,130,2026-02-02T11:00:00+05:30,85.95,24769.95,SL,30,134.4,False,-5071.5,-30.98
2026-04-17,21_APR_26,4,17.83,-2.57,Elevated,BUY_CE,24287.0,24300,162.45,1,65,2026-04-17T15:25:00+05:30,189.55,24361.95,EOD,295,193.45,True,1695.0,16.62
2026-04-21,21_APR_26,0,17.87,-2.51,Elevated,BUY_CE,24505.0,24500,53.75,5,325,2026-04-21T10:35:00+05:30,72.5,24533.95,TP,5,72.5,True,6001.25,34.67
